,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8518518518518519,0.8548387096774194,0.99375,0.9190751445086704,0.6666666666666666,0.06896551724137931,0.125
1,LSTM,200 layers,0.8465608465608465,0.8465608465608465,1.0,0.9169054441260744,0.0,0.0,0.0
2,LSTM,100 layers,0.8465608465608465,0.8465608465608465,1.0,0.9169054441260744,0.0,0.0,0.0
3,LSTM,50 layers,0.8465608465608465,0.8465608465608465,1.0,0.9169054441260744,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.7777777777777778,0.8511904761904762,0.89375,0.8719512195121951,0.19047619047619047,0.13793103448275862,0.16
5,CNN with Attention,"32 filters, kernel size 5",0.8518518518518519,0.8586956521739131,0.9875,0.9186046511627908,0.6,0.10344827586206896,0.17647058823529413
6,CNN with Attention,"32 filters, kernel size 3",0.8465608465608465,0.8465608465608465,1.0,0.9169054441260744,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.8253968253968254,0.8713450292397661,0.93125,0.9003021148036253,0.3888888888888889,0.2413793103448276,0.2978723404255319
8,CNN with Attention,"64 filters, kernel size 5",0.8042328042328042,0.8397790055248618,0.95,0.8914956011730205,0.0,0.0,0.0
9,CNN with Attention,"64 filters, kernel size 3",0.6984126984126984,0.8551724137931035,0.775,0.8131147540983606,0.18181818181818182,0.27586206896551724,0.2191780821917808
10,CNN with Attention,"128 filters, kernel size 7",0.8253968253968254,0.8848484848484849,0.9125,0.8984615384615385,0.4166666666666667,0.3448275862068966,0.37735849056603776
11,CNN with Attention,"128 filters, kernel size 5",0.6825396825396826,0.8731343283582089,0.73125,0.7959183673469388,0.21818181818181817,0.41379310344827586,0.2857142857142857
12,CNN with Attention,"128 filters, kernel size 3",0.8465608465608465,0.8465608465608465,1.0,0.9169054441260744,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.8412698412698413,0.877906976744186,0.94375,0.9096385542168676,0.47058823529411764,0.27586206896551724,0.34782608695652173
14,CNN with Attention,"256 filters, kernel size 5",0.7619047619047619,0.8616352201257862,0.85625,0.8589341692789968,0.23333333333333334,0.2413793103448276,0.23728813559322037
15,CNN with Attention,"256 filters, kernel size 3",0.8465608465608465,0.8742857142857143,0.95625,0.9134328358208955,0.5,0.2413793103448276,0.32558139534883723
16,RNN,200 units,0.8465608465608465,0.8465608465608465,1.0,0.9169054441260744,0.0,0.0,0.0
17,RNN,150 units,0.7195767195767195,0.8364779874213837,0.83125,0.8338557993730408,0.1,0.10344827586206896,0.10169491525423728
18,RNN,100 units,0.8465608465608465,0.8465608465608465,1.0,0.9169054441260744,0.0,0.0,0.0
19,RNN,50 units,0.8465608465608465,0.8465608465608465,1.0,0.9169054441260744,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.8465608465608465,0.8465608465608465,1.0,0.9169054441260744,0.0,0.0,0.0
21,CNN,"32 filters, kernel size 5",0.7407407407407407,0.8404907975460123,0.85625,0.848297213622291,0.11538461538461539,0.10344827586206896,0.10909090909090909
22,CNN,"32 filters, kernel size 3",0.7724867724867724,0.8342857142857143,0.9125,0.8716417910447761,0.0,0.0,0.0
23,CNN,"64 filters, kernel size 7",0.8201058201058201,0.8539325842696629,0.95,0.8994082840236686,0.2727272727272727,0.10344827586206896,0.15
24,CNN,"64 filters, kernel size 5",0.746031746031746,0.8414634146341463,0.8625,0.8518518518518519,0.12,0.10344827586206896,0.11111111111111112
25,CNN,"64 filters, kernel size 3",0.5238095238095238,0.972972972972973,0.45,0.6153846153846154,0.23478260869565218,0.9310344827586207,0.375
26,CNN,"128 filters, kernel size 7",0.8465608465608465,0.8465608465608465,1.0,0.9169054441260744,0.0,0.0,0.0
27,CNN,"128 filters, kernel size 5",0.7354497354497355,0.8666666666666667,0.8125,0.8387096774193549,0.23076923076923078,0.3103448275862069,0.2647058823529412
28,CNN,"128 filters, kernel size 3",0.8359788359788359,0.8524590163934426,0.975,0.9096209912536443,0.3333333333333333,0.06896551724137931,0.1142857142857143
29,CNN,"256 filters, kernel size 7",0.8518518518518519,0.8837209302325582,0.95,0.9156626506024096,0.5294117647058824,0.3103448275862069,0.391304347826087
30,CNN,"256 filters, kernel size 5",0.6296296296296297,0.8515625,0.68125,0.7569444444444445,0.16393442622950818,0.3448275862068966,0.22222222222222224
31,CNN,"256 filters, kernel size 3",0.8095238095238095,0.8444444444444444,0.95,0.8941176470588236,0.1111111111111111,0.034482758620689655,0.05263157894736842
