,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8516746411483254,0.9157894736842105,0.9206349206349206,0.9182058047493402,0.21052631578947367,0.2,0.20512820512820512
1,LSTM,200 layers,0.7942583732057417,0.9244186046511628,0.8412698412698413,0.8808864265927978,0.1891891891891892,0.35,0.24561403508771934
2,LSTM,100 layers,0.8708133971291866,0.9175257731958762,0.9417989417989417,0.9295039164490861,0.26666666666666666,0.2,0.2285714285714286
3,LSTM,50 layers,0.8325358851674641,0.9010416666666666,0.9153439153439153,0.9081364829396326,0.058823529411764705,0.05,0.05405405405405405
4,CNN with Attention,"32 filters, kernel size 7",0.8947368421052632,0.9073170731707317,0.9841269841269841,0.9441624365482233,0.25,0.05,0.08333333333333334
5,CNN with Attention,"32 filters, kernel size 5",0.8899521531100478,0.9029126213592233,0.9841269841269841,0.9417721518987341,0.0,0.0,0.0
6,CNN with Attention,"32 filters, kernel size 3",0.8755980861244019,0.9054726368159204,0.9629629629629629,0.9333333333333332,0.125,0.05,0.07142857142857144
7,CNN with Attention,"64 filters, kernel size 7",0.8708133971291866,0.905,0.9576719576719577,0.9305912596401028,0.1111111111111111,0.05,0.06896551724137932
8,CNN with Attention,"64 filters, kernel size 5",0.8995215311004785,0.9077669902912622,0.9894179894179894,0.9468354430379746,0.3333333333333333,0.05,0.08695652173913045
9,CNN with Attention,"64 filters, kernel size 3",0.8803827751196173,0.905940594059406,0.9682539682539683,0.9360613810741688,0.14285714285714285,0.05,0.07407407407407408
10,CNN with Attention,"128 filters, kernel size 7",0.8851674641148325,0.9104477611940298,0.9682539682539683,0.9384615384615386,0.25,0.1,0.14285714285714288
11,CNN with Attention,"128 filters, kernel size 5",0.8660287081339713,0.9045226130653267,0.9523809523809523,0.9278350515463917,0.1,0.05,0.06666666666666667
12,CNN with Attention,"128 filters, kernel size 3",0.9043062200956937,0.9082125603864735,0.9947089947089947,0.9494949494949495,0.5,0.05,0.09090909090909091
13,CNN with Attention,"256 filters, kernel size 7",0.861244019138756,0.9040404040404041,0.9470899470899471,0.9250645994832041,0.09090909090909091,0.05,0.06451612903225806
14,CNN with Attention,"256 filters, kernel size 5",0.9090909090909091,0.9086538461538461,1.0,0.9521410579345088,1.0,0.05,0.09523809523809523
15,CNN with Attention,"256 filters, kernel size 3",0.9043062200956937,0.9043062200956937,1.0,0.949748743718593,0.0,0.0,0.0
16,RNN,200 units,0.8708133971291866,0.921875,0.9365079365079365,0.9291338582677166,0.29411764705882354,0.25,0.27027027027027023
17,RNN,150 units,0.8851674641148325,0.9024390243902439,0.9788359788359788,0.9390862944162437,0.0,0.0,0.0
18,RNN,100 units,0.8516746411483254,0.9072164948453608,0.9312169312169312,0.9190600522193212,0.13333333333333333,0.1,0.1142857142857143
19,RNN,50 units,0.7368421052631579,0.9036144578313253,0.7936507936507936,0.8450704225352113,0.09302325581395349,0.2,0.12698412698412698
20,CNN,"32 filters, kernel size 7",0.8851674641148325,0.9064039408866995,0.9735449735449735,0.9387755102040816,0.16666666666666666,0.05,0.07692307692307691
21,CNN,"32 filters, kernel size 5",0.8660287081339713,0.9045226130653267,0.9523809523809523,0.9278350515463917,0.1,0.05,0.06666666666666667
22,CNN,"32 filters, kernel size 3",0.8755980861244019,0.9095477386934674,0.9576719576719577,0.9329896907216496,0.2,0.1,0.13333333333333333
23,CNN,"64 filters, kernel size 7",0.8421052631578947,0.8979591836734694,0.9312169312169312,0.9142857142857141,0.0,0.0,0.0
24,CNN,"64 filters, kernel size 5",0.8851674641148325,0.9104477611940298,0.9682539682539683,0.9384615384615386,0.25,0.1,0.14285714285714288
25,CNN,"64 filters, kernel size 3",0.8899521531100478,0.9068627450980392,0.9788359788359788,0.9414758269720102,0.2,0.05,0.08000000000000002
26,CNN,"128 filters, kernel size 7",0.8421052631578947,0.9020618556701031,0.9259259259259259,0.9138381201044387,0.06666666666666667,0.05,0.05714285714285715
27,CNN,"128 filters, kernel size 5",0.8755980861244019,0.9054726368159204,0.9629629629629629,0.9333333333333332,0.125,0.05,0.07142857142857144
28,CNN,"128 filters, kernel size 3",0.8660287081339713,0.9086294416243654,0.9470899470899471,0.927461139896373,0.16666666666666666,0.1,0.125
29,CNN,"256 filters, kernel size 7",0.8516746411483254,0.9030612244897959,0.9365079365079365,0.9194805194805193,0.07692307692307693,0.05,0.060606060606060615
30,CNN,"256 filters, kernel size 5",0.8708133971291866,0.905,0.9576719576719577,0.9305912596401028,0.1111111111111111,0.05,0.06896551724137932
31,CNN,"256 filters, kernel size 3",0.8803827751196173,0.905940594059406,0.9682539682539683,0.9360613810741688,0.14285714285714285,0.05,0.07407407407407408
