,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9301310043668122,0.961352657004831,0.961352657004831,0.961352657004831,0.6363636363636364,0.6363636363636364,0.6363636363636364
1,LSTM,200 layers,0.8777292576419214,0.958974358974359,0.9033816425120773,0.9303482587064676,0.4117647058823529,0.6363636363636364,0.5
2,LSTM,100 layers,0.9082969432314411,0.9471153846153846,0.9516908212560387,0.9493975903614458,0.5238095238095238,0.5,0.5116279069767442
3,LSTM,50 layers,0.8908296943231441,0.955,0.9227053140096618,0.9385749385749386,0.4482758620689655,0.5909090909090909,0.5098039215686274
4,CNN with Attention,"32 filters, kernel size 7",0.9519650655021834,0.9622641509433962,0.9855072463768116,0.973747016706444,0.8235294117647058,0.6363636363636364,0.717948717948718
5,CNN with Attention,"32 filters, kernel size 5",0.9388646288209607,0.9530516431924883,0.9806763285024155,0.9666666666666667,0.75,0.5454545454545454,0.631578947368421
6,CNN with Attention,"32 filters, kernel size 3",0.9432314410480349,0.9490740740740741,0.9903381642512077,0.9692671394799054,0.8461538461538461,0.5,0.6285714285714286
7,CNN with Attention,"64 filters, kernel size 7",0.9301310043668122,0.9483568075117371,0.9758454106280193,0.9619047619047619,0.6875,0.5,0.5789473684210527
8,CNN with Attention,"64 filters, kernel size 5",0.9301310043668122,0.9441860465116279,0.9806763285024155,0.962085308056872,0.7142857142857143,0.45454545454545453,0.5555555555555556
9,CNN with Attention,"64 filters, kernel size 3",0.9432314410480349,0.9490740740740741,0.9903381642512077,0.9692671394799054,0.8461538461538461,0.5,0.6285714285714286
10,CNN with Attention,"128 filters, kernel size 7",0.9388646288209607,0.9488372093023256,0.9855072463768116,0.966824644549763,0.7857142857142857,0.5,0.6111111111111112
11,CNN with Attention,"128 filters, kernel size 5",0.9388646288209607,0.9447004608294931,0.9903381642512077,0.9669811320754716,0.8333333333333334,0.45454545454545453,0.5882352941176471
12,CNN with Attention,"128 filters, kernel size 3",0.9388646288209607,0.9366515837104072,1.0,0.9672897196261683,1.0,0.36363636363636365,0.5333333333333333
13,CNN with Attention,"256 filters, kernel size 7",0.9344978165938864,0.9444444444444444,0.9855072463768116,0.9645390070921985,0.7692307692307693,0.45454545454545453,0.5714285714285714
14,CNN with Attention,"256 filters, kernel size 5",0.9344978165938864,0.9324324324324325,1.0,0.965034965034965,1.0,0.3181818181818182,0.4827586206896552
15,CNN with Attention,"256 filters, kernel size 3",0.9301310043668122,0.9282511210762332,1.0,0.9627906976744186,1.0,0.2727272727272727,0.42857142857142855
16,RNN,200 units,0.9170305676855895,0.9476190476190476,0.961352657004831,0.9544364508393286,0.5789473684210527,0.5,0.5365853658536586
17,RNN,150 units,0.925764192139738,0.9241071428571429,1.0,0.9605568445475638,1.0,0.22727272727272727,0.37037037037037035
18,RNN,100 units,0.9213973799126638,0.9237668161434978,0.9951690821256038,0.958139534883721,0.8333333333333334,0.22727272727272727,0.35714285714285715
19,RNN,50 units,0.868995633187773,0.9633507853403142,0.8888888888888888,0.9246231155778893,0.39473684210526316,0.6818181818181818,0.5
20,CNN,"32 filters, kernel size 7",0.9301310043668122,0.9483568075117371,0.9758454106280193,0.9619047619047619,0.6875,0.5,0.5789473684210527
21,CNN,"32 filters, kernel size 5",0.9344978165938864,0.9403669724770642,0.9903381642512077,0.9647058823529412,0.8181818181818182,0.4090909090909091,0.5454545454545455
22,CNN,"32 filters, kernel size 3",0.9344978165938864,0.9363636363636364,0.9951690821256038,0.964871194379391,0.8888888888888888,0.36363636363636365,0.5161290322580644
23,CNN,"64 filters, kernel size 7",0.9475982532751092,0.9620853080568721,0.9806763285024155,0.9712918660287082,0.7777777777777778,0.6363636363636364,0.7000000000000001
24,CNN,"64 filters, kernel size 5",0.9432314410480349,0.9409090909090909,1.0,0.9695550351288056,1.0,0.4090909090909091,0.5806451612903226
25,CNN,"64 filters, kernel size 3",0.9388646288209607,0.9406392694063926,0.9951690821256038,0.9671361502347416,0.9,0.4090909090909091,0.5625000000000001
26,CNN,"128 filters, kernel size 7",0.9344978165938864,0.9615384615384616,0.966183574879227,0.963855421686747,0.6666666666666666,0.6363636363636364,0.6511627906976744
27,CNN,"128 filters, kernel size 5",0.9344978165938864,0.9571428571428572,0.9710144927536232,0.9640287769784173,0.6842105263157895,0.5909090909090909,0.6341463414634148
28,CNN,"128 filters, kernel size 3",0.9301310043668122,0.9282511210762332,1.0,0.9627906976744186,1.0,0.2727272727272727,0.42857142857142855
29,CNN,"256 filters, kernel size 7",0.9213973799126638,0.9354838709677419,0.9806763285024155,0.9575471698113207,0.6666666666666666,0.36363636363636365,0.4705882352941177
30,CNN,"256 filters, kernel size 5",0.9432314410480349,0.944954128440367,0.9951690821256038,0.9694117647058824,0.9090909090909091,0.45454545454545453,0.6060606060606061
31,CNN,"256 filters, kernel size 3",0.9344978165938864,0.9324324324324325,1.0,0.965034965034965,1.0,0.3181818181818182,0.4827586206896552
