,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9467455621301775,0.9811320754716981,0.9629629629629629,0.9719626168224299,0.4,0.5714285714285714,0.47058823529411764
1,LSTM,200 layers,0.9467455621301775,0.9811320754716981,0.9629629629629629,0.9719626168224299,0.4,0.5714285714285714,0.47058823529411764
2,LSTM,100 layers,0.9585798816568047,0.9754601226993865,0.9814814814814815,0.9784615384615385,0.5,0.42857142857142855,0.4615384615384615
3,LSTM,50 layers,0.9763313609467456,0.9759036144578314,1.0,0.9878048780487805,1.0,0.42857142857142855,0.6
4,CNN with Attention,"32 filters, kernel size 7",0.9644970414201184,0.9642857142857143,1.0,0.9818181818181818,1.0,0.14285714285714285,0.25
5,CNN with Attention,"32 filters, kernel size 5",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
6,CNN with Attention,"32 filters, kernel size 3",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
8,CNN with Attention,"64 filters, kernel size 5",0.9704142011834319,0.9700598802395209,1.0,0.9848024316109423,1.0,0.2857142857142857,0.4444444444444445
9,CNN with Attention,"64 filters, kernel size 3",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
10,CNN with Attention,"128 filters, kernel size 7",0.9704142011834319,0.9700598802395209,1.0,0.9848024316109423,1.0,0.2857142857142857,0.4444444444444445
11,CNN with Attention,"128 filters, kernel size 5",0.9644970414201184,0.9642857142857143,1.0,0.9818181818181818,1.0,0.14285714285714285,0.25
12,CNN with Attention,"128 filters, kernel size 3",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
16,RNN,200 units,0.8698224852071006,0.9545454545454546,0.9074074074074074,0.9303797468354431,0.0,0.0,0.0
17,RNN,150 units,0.8520710059171598,0.9724137931034482,0.8703703703703703,0.9185667752442996,0.125,0.42857142857142855,0.19354838709677416
18,RNN,100 units,0.621301775147929,0.99,0.6111111111111112,0.7557251908396948,0.08695652173913043,0.8571428571428571,0.15789473684210523
19,RNN,50 units,0.8402366863905325,0.9655172413793104,0.8641975308641975,0.9120521172638436,0.08333333333333333,0.2857142857142857,0.12903225806451613
20,CNN,"32 filters, kernel size 7",0.9881656804733728,0.9878048780487805,1.0,0.9938650306748467,1.0,0.7142857142857143,0.8333333333333333
21,CNN,"32 filters, kernel size 5",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
22,CNN,"32 filters, kernel size 3",0.9585798816568047,0.9813664596273292,0.9753086419753086,0.978328173374613,0.5,0.5714285714285714,0.5333333333333333
23,CNN,"64 filters, kernel size 7",0.9408284023668639,0.9810126582278481,0.9567901234567902,0.96875,0.36363636363636365,0.5714285714285714,0.4444444444444444
24,CNN,"64 filters, kernel size 5",0.9644970414201184,0.975609756097561,0.9876543209876543,0.9815950920245398,0.6,0.42857142857142855,0.5
25,CNN,"64 filters, kernel size 3",0.9704142011834319,0.9700598802395209,1.0,0.9848024316109423,1.0,0.2857142857142857,0.4444444444444445
26,CNN,"128 filters, kernel size 7",0.9704142011834319,0.9700598802395209,1.0,0.9848024316109423,1.0,0.2857142857142857,0.4444444444444445
27,CNN,"128 filters, kernel size 5",0.9585798816568047,0.9754601226993865,0.9814814814814815,0.9784615384615385,0.5,0.42857142857142855,0.4615384615384615
28,CNN,"128 filters, kernel size 3",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
29,CNN,"256 filters, kernel size 7",0.9704142011834319,0.9700598802395209,1.0,0.9848024316109423,1.0,0.2857142857142857,0.4444444444444445
30,CNN,"256 filters, kernel size 5",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
31,CNN,"256 filters, kernel size 3",0.9644970414201184,0.9698795180722891,0.9938271604938271,0.9817073170731707,0.6666666666666666,0.2857142857142857,0.4
