,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.891213389121339,0.961352657004831,0.9170506912442397,0.9386792452830189,0.4375,0.6363636363636364,0.5185185185185185
1,LSTM,200 layers,0.891213389121339,0.9798994974874372,0.8986175115207373,0.9374999999999999,0.45,0.8181818181818182,0.5806451612903226
2,LSTM,100 layers,0.8870292887029289,0.975,0.8986175115207373,0.9352517985611511,0.4358974358974359,0.7727272727272727,0.5573770491803278
3,LSTM,50 layers,0.895397489539749,0.9660194174757282,0.9170506912442397,0.9408983451536644,0.45454545454545453,0.6818181818181818,0.5454545454545454
4,CNN with Attention,"32 filters, kernel size 7",0.9037656903765691,0.970873786407767,0.9216589861751152,0.9456264775413711,0.48484848484848486,0.7272727272727273,0.5818181818181818
5,CNN with Attention,"32 filters, kernel size 5",0.9121338912133892,0.9666666666666667,0.9354838709677419,0.9508196721311476,0.5172413793103449,0.6818181818181818,0.5882352941176471
6,CNN with Attention,"32 filters, kernel size 3",0.895397489539749,0.9615384615384616,0.9216589861751152,0.9411764705882352,0.45161290322580644,0.6363636363636364,0.5283018867924528
7,CNN with Attention,"64 filters, kernel size 7",0.899581589958159,0.9707317073170731,0.9170506912442397,0.943127962085308,0.47058823529411764,0.7272727272727273,0.5714285714285714
8,CNN with Attention,"64 filters, kernel size 5",0.891213389121339,0.961352657004831,0.9170506912442397,0.9386792452830189,0.4375,0.6363636363636364,0.5185185185185185
9,CNN with Attention,"64 filters, kernel size 3",0.9205020920502092,0.9583333333333334,0.9539170506912442,0.9561200923787528,0.5652173913043478,0.5909090909090909,0.5777777777777778
10,CNN with Attention,"128 filters, kernel size 7",0.9079497907949791,0.9665071770334929,0.9308755760368663,0.948356807511737,0.5,0.6818181818181818,0.576923076923077
11,CNN with Attention,"128 filters, kernel size 5",0.9079497907949791,0.9665071770334929,0.9308755760368663,0.948356807511737,0.5,0.6818181818181818,0.576923076923077
12,CNN with Attention,"128 filters, kernel size 3",0.9288702928870293,0.9587155963302753,0.9631336405529954,0.9609195402298851,0.6190476190476191,0.5909090909090909,0.6046511627906977
13,CNN with Attention,"256 filters, kernel size 7",0.9079497907949791,0.9577464788732394,0.9400921658986175,0.9488372093023255,0.5,0.5909090909090909,0.5416666666666667
14,CNN with Attention,"256 filters, kernel size 5",0.9163179916317992,0.966824644549763,0.9400921658986175,0.9532710280373832,0.5357142857142857,0.6818181818181818,0.6
15,CNN with Attention,"256 filters, kernel size 3",0.9121338912133892,0.9454545454545454,0.9585253456221198,0.9519450800915331,0.5263157894736842,0.45454545454545453,0.4878048780487805
16,RNN,200 units,0.8870292887029289,0.9279279279279279,0.9493087557603687,0.938496583143508,0.35294117647058826,0.2727272727272727,0.30769230769230765
17,RNN,150 units,0.891213389121339,0.9282511210762332,0.9539170506912442,0.9409090909090909,0.375,0.2727272727272727,0.3157894736842105
18,RNN,100 units,0.9079497907949791,0.9411764705882353,0.9585253456221198,0.9497716894977167,0.5,0.4090909090909091,0.45
19,RNN,50 units,0.899581589958159,0.9530516431924883,0.9354838709677419,0.9441860465116279,0.46153846153846156,0.5454545454545454,0.4999999999999999
20,CNN,"32 filters, kernel size 7",0.891213389121339,0.9704433497536946,0.9078341013824884,0.9380952380952381,0.4444444444444444,0.7272727272727273,0.5517241379310345
21,CNN,"32 filters, kernel size 5",0.891213389121339,0.961352657004831,0.9170506912442397,0.9386792452830189,0.4375,0.6363636363636364,0.5185185185185185
22,CNN,"32 filters, kernel size 3",0.9079497907949791,0.9665071770334929,0.9308755760368663,0.948356807511737,0.5,0.6818181818181818,0.576923076923077
23,CNN,"64 filters, kernel size 7",0.9121338912133892,0.9622641509433962,0.9400921658986175,0.9510489510489512,0.5185185185185185,0.6363636363636364,0.5714285714285714
24,CNN,"64 filters, kernel size 5",0.899581589958159,0.9617224880382775,0.9262672811059908,0.9436619718309859,0.4666666666666667,0.6363636363636364,0.5384615384615385
25,CNN,"64 filters, kernel size 3",0.891213389121339,0.9658536585365853,0.9124423963133641,0.9383886255924171,0.4411764705882353,0.6818181818181818,0.5357142857142857
26,CNN,"128 filters, kernel size 7",0.9037656903765691,0.9754901960784313,0.9170506912442397,0.9453681710213776,0.4857142857142857,0.7727272727272727,0.5964912280701754
27,CNN,"128 filters, kernel size 5",0.899581589958159,0.9617224880382775,0.9262672811059908,0.9436619718309859,0.4666666666666667,0.6363636363636364,0.5384615384615385
28,CNN,"128 filters, kernel size 3",0.8828451882845189,0.9609756097560975,0.9078341013824884,0.933649289099526,0.4117647058823529,0.6363636363636364,0.5
29,CNN,"256 filters, kernel size 7",0.9121338912133892,0.9622641509433962,0.9400921658986175,0.9510489510489512,0.5185185185185185,0.6363636363636364,0.5714285714285714
30,CNN,"256 filters, kernel size 5",0.9246861924686193,0.9627906976744186,0.9539170506912442,0.9583333333333333,0.5833333333333334,0.6363636363636364,0.6086956521739131
31,CNN,"256 filters, kernel size 3",0.9037656903765691,0.9409090909090909,0.9539170506912442,0.9473684210526316,0.47368421052631576,0.4090909090909091,0.43902439024390244
