,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9425837320574163,0.988950276243094,0.9470899470899471,0.9675675675675676,0.6428571428571429,0.9,0.75
1,LSTM,200 layers,0.937799043062201,0.9680851063829787,0.9629629629629629,0.9655172413793103,0.6666666666666666,0.7,0.6829268292682926
2,LSTM,100 layers,0.9330143540669856,0.9781420765027322,0.9470899470899471,0.9623655913978495,0.6153846153846154,0.8,0.6956521739130435
3,LSTM,50 layers,0.8899521531100478,0.9560439560439561,0.9206349206349206,0.9380053908355795,0.4444444444444444,0.6,0.5106382978723405
4,CNN with Attention,"32 filters, kernel size 7",0.9330143540669856,0.9353233830845771,0.9947089947089947,0.964102564102564,0.875,0.35,0.4999999999999999
5,CNN with Attention,"32 filters, kernel size 5",0.9330143540669856,0.9353233830845771,0.9947089947089947,0.964102564102564,0.875,0.35,0.4999999999999999
6,CNN with Attention,"32 filters, kernel size 3",0.9234449760765551,0.9303482587064676,0.9894179894179894,0.958974358974359,0.75,0.3,0.4285714285714285
7,CNN with Attention,"64 filters, kernel size 7",0.937799043062201,0.94,0.9947089947089947,0.9665809768637531,0.8888888888888888,0.4,0.5517241379310346
8,CNN with Attention,"64 filters, kernel size 5",0.9330143540669856,0.9487179487179487,0.9788359788359788,0.9635416666666666,0.7142857142857143,0.5,0.588235294117647
9,CNN with Attention,"64 filters, kernel size 3",0.9186602870813397,0.9257425742574258,0.9894179894179894,0.9565217391304348,0.7142857142857143,0.25,0.37037037037037035
10,CNN with Attention,"128 filters, kernel size 7",0.9330143540669856,0.9487179487179487,0.9788359788359788,0.9635416666666666,0.7142857142857143,0.5,0.588235294117647
11,CNN with Attention,"128 filters, kernel size 5",0.9330143540669856,0.9441624365482234,0.9841269841269841,0.9637305699481865,0.75,0.45,0.5625000000000001
12,CNN with Attention,"128 filters, kernel size 3",0.9282296650717703,0.9264705882352942,1.0,0.9618320610687023,1.0,0.25,0.4
13,CNN with Attention,"256 filters, kernel size 7",0.9425837320574163,0.9447236180904522,0.9947089947089947,0.9690721649484536,0.9,0.45,0.6
14,CNN with Attention,"256 filters, kernel size 5",0.937799043062201,0.94,0.9947089947089947,0.9665809768637531,0.8888888888888888,0.4,0.5517241379310346
15,CNN with Attention,"256 filters, kernel size 3",0.9186602870813397,0.9215686274509803,0.9947089947089947,0.9567430025445292,0.8,0.2,0.32000000000000006
16,RNN,200 units,0.9043062200956937,0.9424083769633508,0.9523809523809523,0.9473684210526315,0.5,0.45,0.4736842105263158
17,RNN,150 units,0.9234449760765551,0.9625668449197861,0.9523809523809523,0.9574468085106382,0.5909090909090909,0.65,0.6190476190476191
18,RNN,100 units,0.9282296650717703,0.953125,0.9682539682539683,0.9606299212598425,0.6470588235294118,0.55,0.5945945945945946
19,RNN,50 units,0.9186602870813397,0.9432989690721649,0.9682539682539683,0.9556135770234987,0.6,0.45,0.5142857142857143
20,CNN,"32 filters, kernel size 7",0.9521531100478469,0.949748743718593,1.0,0.9742268041237113,1.0,0.5,0.6666666666666666
21,CNN,"32 filters, kernel size 5",0.937799043062201,0.9444444444444444,0.9894179894179894,0.96640826873385,0.8181818181818182,0.45,0.5806451612903226
22,CNN,"32 filters, kernel size 3",0.9282296650717703,0.9393939393939394,0.9841269841269841,0.9612403100775193,0.7272727272727273,0.4,0.5161290322580645
23,CNN,"64 filters, kernel size 7",0.9282296650717703,0.9484536082474226,0.9735449735449735,0.9608355091383811,0.6666666666666666,0.5,0.5714285714285715
24,CNN,"64 filters, kernel size 5",0.9330143540669856,0.9487179487179487,0.9788359788359788,0.9635416666666666,0.7142857142857143,0.5,0.588235294117647
25,CNN,"64 filters, kernel size 3",0.9234449760765551,0.9261083743842364,0.9947089947089947,0.9591836734693877,0.8333333333333334,0.25,0.3846153846153846
26,CNN,"128 filters, kernel size 7",0.9282296650717703,0.953125,0.9682539682539683,0.9606299212598425,0.6470588235294118,0.55,0.5945945945945946
27,CNN,"128 filters, kernel size 5",0.9282296650717703,0.9306930693069307,0.9947089947089947,0.9616368286445013,0.8571428571428571,0.3,0.4444444444444444
28,CNN,"128 filters, kernel size 3",0.9282296650717703,0.9306930693069307,0.9947089947089947,0.9616368286445013,0.8571428571428571,0.3,0.4444444444444444
29,CNN,"256 filters, kernel size 7",0.9425837320574163,0.9447236180904522,0.9947089947089947,0.9690721649484536,0.9,0.45,0.6
30,CNN,"256 filters, kernel size 5",0.9473684210526315,0.9494949494949495,0.9947089947089947,0.9715762273901808,0.9090909090909091,0.5,0.6451612903225806
31,CNN,"256 filters, kernel size 3",0.9282296650717703,0.9306930693069307,0.9947089947089947,0.9616368286445013,0.8571428571428571,0.3,0.4444444444444444
