,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.7157894736842105,0.7157894736842105,1.0,0.8343558282208589,0.0,0.0,0.0
1,LSTM,200 layers,0.7157894736842105,0.7157894736842105,1.0,0.8343558282208589,0.0,0.0,0.0
2,LSTM,100 layers,0.7157894736842105,0.7157894736842105,1.0,0.8343558282208589,0.0,0.0,0.0
3,LSTM,50 layers,0.7157894736842105,0.7157894736842105,1.0,0.8343558282208589,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.8210526315789474,0.8493150684931506,0.9117647058823529,0.8794326241134752,0.7272727272727273,0.5925925925925926,0.6530612244897959
5,CNN with Attention,"32 filters, kernel size 5",0.8105263157894737,0.8205128205128205,0.9411764705882353,0.8767123287671232,0.7647058823529411,0.48148148148148145,0.5909090909090909
6,CNN with Attention,"32 filters, kernel size 3",0.8,0.8181818181818182,0.9264705882352942,0.8689655172413794,0.7222222222222222,0.48148148148148145,0.5777777777777777
7,CNN with Attention,"64 filters, kernel size 7",0.8210526315789474,0.8311688311688312,0.9411764705882353,0.8827586206896552,0.7777777777777778,0.5185185185185185,0.6222222222222222
8,CNN with Attention,"64 filters, kernel size 5",0.8631578947368421,0.9230769230769231,0.8823529411764706,0.9022556390977443,0.7333333333333333,0.8148148148148148,0.7719298245614035
9,CNN with Attention,"64 filters, kernel size 3",0.7894736842105263,0.8,0.9411764705882353,0.8648648648648648,0.7333333333333333,0.4074074074074074,0.5238095238095238
10,CNN with Attention,"128 filters, kernel size 7",0.8105263157894737,0.8289473684210527,0.9264705882352942,0.875,0.7368421052631579,0.5185185185185185,0.6086956521739131
11,CNN with Attention,"128 filters, kernel size 5",0.7894736842105263,0.8076923076923077,0.9264705882352942,0.863013698630137,0.7058823529411765,0.4444444444444444,0.5454545454545455
12,CNN with Attention,"128 filters, kernel size 3",0.8631578947368421,0.8767123287671232,0.9411764705882353,0.9078014184397163,0.8181818181818182,0.6666666666666666,0.7346938775510203
13,CNN with Attention,"256 filters, kernel size 7",0.7894736842105263,0.7790697674418605,0.9852941176470589,0.8701298701298702,0.8888888888888888,0.2962962962962963,0.4444444444444444
14,CNN with Attention,"256 filters, kernel size 5",0.8842105263157894,0.9253731343283582,0.9117647058823529,0.9185185185185185,0.7857142857142857,0.8148148148148148,0.7999999999999999
15,CNN with Attention,"256 filters, kernel size 3",0.8,0.810126582278481,0.9411764705882353,0.8707482993197279,0.75,0.4444444444444444,0.5581395348837209
16,RNN,200 units,0.7052631578947368,0.7127659574468085,0.9852941176470589,0.8271604938271604,0.0,0.0,0.0
17,RNN,150 units,0.4842105263157895,1.0,0.27941176470588236,0.4367816091954023,0.35526315789473684,1.0,0.5242718446601942
18,RNN,100 units,0.7052631578947368,0.7127659574468085,0.9852941176470589,0.8271604938271604,0.0,0.0,0.0
19,RNN,50 units,0.7157894736842105,0.7157894736842105,1.0,0.8343558282208589,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.7473684210526316,0.75,0.9705882352941176,0.846153846153846,0.7142857142857143,0.18518518518518517,0.2941176470588235
21,CNN,"32 filters, kernel size 5",0.7578947368421053,0.7710843373493976,0.9411764705882353,0.847682119205298,0.6666666666666666,0.2962962962962963,0.41025641025641024
22,CNN,"32 filters, kernel size 3",0.7473684210526316,0.7558139534883721,0.9558823529411765,0.8441558441558441,0.6666666666666666,0.2222222222222222,0.3333333333333333
23,CNN,"64 filters, kernel size 7",0.7263157894736842,0.7441860465116279,0.9411764705882353,0.8311688311688312,0.5555555555555556,0.18518518518518517,0.2777777777777778
24,CNN,"64 filters, kernel size 5",0.7789473684210526,0.7764705882352941,0.9705882352941176,0.8627450980392157,0.8,0.2962962962962963,0.43243243243243246
25,CNN,"64 filters, kernel size 3",0.8,0.8450704225352113,0.8823529411764706,0.8633093525179857,0.6666666666666666,0.5925925925925926,0.627450980392157
26,CNN,"128 filters, kernel size 7",0.7578947368421053,0.7710843373493976,0.9411764705882353,0.847682119205298,0.6666666666666666,0.2962962962962963,0.41025641025641024
27,CNN,"128 filters, kernel size 5",0.7789473684210526,0.7974683544303798,0.9264705882352942,0.8571428571428572,0.6875,0.4074074074074074,0.5116279069767441
28,CNN,"128 filters, kernel size 3",0.8210526315789474,0.84,0.9264705882352942,0.881118881118881,0.75,0.5555555555555556,0.6382978723404256
29,CNN,"256 filters, kernel size 7",0.7894736842105263,0.7790697674418605,0.9852941176470589,0.8701298701298702,0.8888888888888888,0.2962962962962963,0.4444444444444444
30,CNN,"256 filters, kernel size 5",0.7894736842105263,0.7926829268292683,0.9558823529411765,0.8666666666666668,0.7692307692307693,0.37037037037037035,0.5
31,CNN,"256 filters, kernel size 3",0.8210526315789474,0.8311688311688312,0.9411764705882353,0.8827586206896552,0.7777777777777778,0.5185185185185185,0.6222222222222222
