,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8378378378378378,0.8693181818181818,0.95625,0.9107142857142857,0.2222222222222222,0.08,0.11764705882352941
1,LSTM,200 layers,0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
2,LSTM,100 layers,0.8540540540540541,0.8715083798882681,0.975,0.9203539823008849,0.3333333333333333,0.08,0.12903225806451613
3,LSTM,50 layers,0.8540540540540541,0.8715083798882681,0.975,0.9203539823008849,0.3333333333333333,0.08,0.12903225806451613
4,CNN with Attention,"32 filters, kernel size 7",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
5,CNN with Attention,"32 filters, kernel size 5",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
6,CNN with Attention,"32 filters, kernel size 3",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
7,CNN with Attention,"64 filters, kernel size 7",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
8,CNN with Attention,"64 filters, kernel size 5",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
9,CNN with Attention,"64 filters, kernel size 3",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
10,CNN with Attention,"128 filters, kernel size 7",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
11,CNN with Attention,"128 filters, kernel size 5",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
12,CNN with Attention,"128 filters, kernel size 3",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
13,CNN with Attention,"256 filters, kernel size 7",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
14,CNN with Attention,"256 filters, kernel size 5",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
15,CNN with Attention,"256 filters, kernel size 3",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
16,RNN,200 units,0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
17,RNN,150 units,0.8486486486486486,0.8707865168539326,0.96875,0.9171597633136095,0.2857142857142857,0.08,0.125
18,RNN,100 units,0.8486486486486486,0.8707865168539326,0.96875,0.9171597633136095,0.2857142857142857,0.08,0.125
19,RNN,50 units,0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
20,CNN,"32 filters, kernel size 7",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
21,CNN,"32 filters, kernel size 5",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
22,CNN,"32 filters, kernel size 3",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
23,CNN,"64 filters, kernel size 7",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
24,CNN,"64 filters, kernel size 5",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
25,CNN,"64 filters, kernel size 3",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
26,CNN,"128 filters, kernel size 7",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
27,CNN,"128 filters, kernel size 5",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
28,CNN,"128 filters, kernel size 3",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
29,CNN,"256 filters, kernel size 7",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
30,CNN,"256 filters, kernel size 5",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
31,CNN,"256 filters, kernel size 3",0.8594594594594595,0.8722222222222222,0.98125,0.9235294117647059,0.4,0.08,0.13333333333333333
