,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8421052631578947,0.8666666666666667,0.9629629629629629,0.912280701754386,0.4,0.14285714285714285,0.21052631578947364
1,LSTM,200 layers,0.7263157894736842,0.8873239436619719,0.7777777777777778,0.8289473684210527,0.25,0.42857142857142855,0.3157894736842105
2,LSTM,100 layers,0.7263157894736842,0.8985507246376812,0.7654320987654321,0.8266666666666668,0.2692307692307692,0.5,0.35000000000000003
3,LSTM,50 layers,0.8315789473684211,0.891566265060241,0.9135802469135802,0.9024390243902438,0.4166666666666667,0.35714285714285715,0.3846153846153846
4,CNN with Attention,"32 filters, kernel size 7",0.6631578947368421,0.8656716417910447,0.7160493827160493,0.7837837837837838,0.17857142857142858,0.35714285714285715,0.2380952380952381
5,CNN with Attention,"32 filters, kernel size 5",0.6526315789473685,0.8529411764705882,0.7160493827160493,0.7785234899328859,0.14814814814814814,0.2857142857142857,0.1951219512195122
6,CNN with Attention,"32 filters, kernel size 3",0.6947368421052632,0.8714285714285714,0.7530864197530864,0.8079470198675497,0.2,0.35714285714285715,0.25641025641025644
7,CNN with Attention,"64 filters, kernel size 7",0.7368421052631579,0.9117647058823529,0.7654320987654321,0.832214765100671,0.2962962962962963,0.5714285714285714,0.3902439024390244
8,CNN with Attention,"64 filters, kernel size 5",0.7473684210526316,0.9014084507042254,0.7901234567901234,0.8421052631578947,0.2916666666666667,0.5,0.3684210526315789
9,CNN with Attention,"64 filters, kernel size 3",0.7473684210526316,0.88,0.8148148148148148,0.8461538461538461,0.25,0.35714285714285715,0.2941176470588235
10,CNN with Attention,"128 filters, kernel size 7",0.7157894736842105,0.8648648648648649,0.7901234567901234,0.8258064516129032,0.19047619047619047,0.2857142857142857,0.22857142857142854
11,CNN with Attention,"128 filters, kernel size 5",0.7368421052631579,0.8783783783783784,0.8024691358024691,0.8387096774193549,0.23809523809523808,0.35714285714285715,0.2857142857142857
12,CNN with Attention,"128 filters, kernel size 3",0.7052631578947368,0.8732394366197183,0.7654320987654321,0.8157894736842104,0.20833333333333334,0.35714285714285715,0.2631578947368421
13,CNN with Attention,"256 filters, kernel size 7",0.6526315789473685,0.8636363636363636,0.7037037037037037,0.7755102040816326,0.1724137931034483,0.35714285714285715,0.23255813953488377
14,CNN with Attention,"256 filters, kernel size 5",0.6736842105263158,0.8472222222222222,0.7530864197530864,0.7973856209150327,0.13043478260869565,0.21428571428571427,0.16216216216216214
15,CNN with Attention,"256 filters, kernel size 3",0.7052631578947368,0.8533333333333334,0.7901234567901234,0.8205128205128205,0.15,0.21428571428571427,0.1764705882352941
16,RNN,200 units,0.8421052631578947,0.8666666666666667,0.9629629629629629,0.912280701754386,0.4,0.14285714285714285,0.21052631578947364
17,RNN,150 units,0.8421052631578947,0.8666666666666667,0.9629629629629629,0.912280701754386,0.4,0.14285714285714285,0.21052631578947364
18,RNN,100 units,0.8210526315789474,0.8902439024390244,0.9012345679012346,0.8957055214723927,0.38461538461538464,0.35714285714285715,0.3703703703703704
19,RNN,50 units,0.8421052631578947,0.8666666666666667,0.9629629629629629,0.912280701754386,0.4,0.14285714285714285,0.21052631578947364
20,CNN,"32 filters, kernel size 7",0.6947368421052632,0.8714285714285714,0.7530864197530864,0.8079470198675497,0.2,0.35714285714285715,0.25641025641025644
21,CNN,"32 filters, kernel size 5",0.6842105263157895,0.8591549295774648,0.7530864197530864,0.8026315789473684,0.16666666666666666,0.2857142857142857,0.2105263157894737
22,CNN,"32 filters, kernel size 3",0.7473684210526316,0.88,0.8148148148148148,0.8461538461538461,0.25,0.35714285714285715,0.2941176470588235
23,CNN,"64 filters, kernel size 7",0.6947368421052632,0.8823529411764706,0.7407407407407407,0.8053691275167785,0.2222222222222222,0.42857142857142855,0.29268292682926833
24,CNN,"64 filters, kernel size 5",0.6842105263157895,0.8591549295774648,0.7530864197530864,0.8026315789473684,0.16666666666666666,0.2857142857142857,0.2105263157894737
25,CNN,"64 filters, kernel size 3",0.7368421052631579,0.8888888888888888,0.7901234567901234,0.8366013071895425,0.2608695652173913,0.42857142857142855,0.3243243243243243
26,CNN,"128 filters, kernel size 7",0.7894736842105263,0.8860759493670886,0.8641975308641975,0.8749999999999999,0.3125,0.35714285714285715,0.3333333333333333
27,CNN,"128 filters, kernel size 5",0.7157894736842105,0.875,0.7777777777777778,0.823529411764706,0.21739130434782608,0.35714285714285715,0.27027027027027023
28,CNN,"128 filters, kernel size 3",0.7263157894736842,0.8873239436619719,0.7777777777777778,0.8289473684210527,0.25,0.42857142857142855,0.3157894736842105
29,CNN,"256 filters, kernel size 7",0.6947368421052632,0.8823529411764706,0.7407407407407407,0.8053691275167785,0.2222222222222222,0.42857142857142855,0.29268292682926833
30,CNN,"256 filters, kernel size 5",0.6631578947368421,0.855072463768116,0.7283950617283951,0.7866666666666667,0.15384615384615385,0.2857142857142857,0.2
31,CNN,"256 filters, kernel size 3",0.7157894736842105,0.8857142857142857,0.7654320987654321,0.8211920529801325,0.24,0.42857142857142855,0.30769230769230765
