,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9212121212121213,0.9166666666666666,1.0,0.9565217391304348,1.0,0.4090909090909091,0.5806451612903226
1,LSTM,200 layers,0.8666666666666667,0.9060402684563759,0.9440559440559441,0.9246575342465754,0.5,0.36363636363636365,0.4210526315789474
2,LSTM,100 layers,0.8909090909090909,0.8881987577639752,1.0,0.9407894736842105,1.0,0.18181818181818182,0.3076923076923077
3,LSTM,50 layers,0.8666666666666667,0.8666666666666667,1.0,0.9285714285714286,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.8727272727272727,1.0,0.8531468531468531,0.9207547169811321,0.5116279069767442,1.0,0.676923076923077
5,CNN with Attention,"32 filters, kernel size 5",0.8424242424242424,0.9915966386554622,0.8251748251748252,0.900763358778626,0.45652173913043476,0.9545454545454546,0.6176470588235293
6,CNN with Attention,"32 filters, kernel size 3",0.806060606060606,0.9826086956521739,0.7902097902097902,0.875968992248062,0.4,0.9090909090909091,0.5555555555555556
7,CNN with Attention,"64 filters, kernel size 7",0.8,1.0,0.7692307692307693,0.8695652173913044,0.4,1.0,0.5714285714285715
8,CNN with Attention,"64 filters, kernel size 5",0.8242424242424242,0.9830508474576272,0.8111888111888111,0.8888888888888887,0.425531914893617,0.9090909090909091,0.5797101449275361
9,CNN with Attention,"64 filters, kernel size 3",0.6787878787878788,1.0,0.6293706293706294,0.7725321888412017,0.29333333333333333,1.0,0.45360824742268036
10,CNN with Attention,"128 filters, kernel size 7",0.7515151515151515,1.0,0.7132867132867133,0.8326530612244898,0.3492063492063492,1.0,0.5176470588235293
11,CNN with Attention,"128 filters, kernel size 5",0.593939393939394,1.0,0.5314685314685315,0.6940639269406392,0.24719101123595505,1.0,0.3963963963963964
12,CNN with Attention,"128 filters, kernel size 3",0.806060606060606,0.9826086956521739,0.7902097902097902,0.875968992248062,0.4,0.9090909090909091,0.5555555555555556
13,CNN with Attention,"256 filters, kernel size 7",0.703030303030303,1.0,0.6573426573426573,0.7932489451476793,0.30985915492957744,1.0,0.47311827956989244
14,CNN with Attention,"256 filters, kernel size 5",0.6484848484848484,1.0,0.5944055944055944,0.7456140350877193,0.275,1.0,0.4313725490196079
15,CNN with Attention,"256 filters, kernel size 3",0.6787878787878788,1.0,0.6293706293706294,0.7725321888412017,0.29333333333333333,1.0,0.45360824742268036
16,RNN,200 units,0.8787878787878788,0.8773006134969326,1.0,0.934640522875817,1.0,0.09090909090909091,0.16666666666666669
17,RNN,150 units,0.8666666666666667,0.8711656441717791,0.993006993006993,0.9281045751633986,0.5,0.045454545454545456,0.08333333333333334
18,RNN,100 units,0.7636363636363637,0.8823529411764706,0.8391608391608392,0.8602150537634408,0.20689655172413793,0.2727272727272727,0.23529411764705882
19,RNN,50 units,0.8121212121212121,0.8636363636363636,0.9300699300699301,0.8956228956228957,0.09090909090909091,0.045454545454545456,0.060606060606060615
20,CNN,"32 filters, kernel size 7",0.7515151515151515,1.0,0.7132867132867133,0.8326530612244898,0.3492063492063492,1.0,0.5176470588235293
21,CNN,"32 filters, kernel size 5",0.7515151515151515,1.0,0.7132867132867133,0.8326530612244898,0.3492063492063492,1.0,0.5176470588235293
22,CNN,"32 filters, kernel size 3",0.7878787878787878,0.9821428571428571,0.7692307692307693,0.8627450980392156,0.37735849056603776,0.9090909090909091,0.5333333333333334
23,CNN,"64 filters, kernel size 7",0.7878787878787878,0.9821428571428571,0.7692307692307693,0.8627450980392156,0.37735849056603776,0.9090909090909091,0.5333333333333334
24,CNN,"64 filters, kernel size 5",0.7818181818181819,0.9908256880733946,0.7552447552447552,0.8571428571428571,0.375,0.9545454545454546,0.5384615384615384
25,CNN,"64 filters, kernel size 3",0.703030303030303,0.9895833333333334,0.6643356643356644,0.794979079497908,0.30434782608695654,0.9545454545454546,0.46153846153846156
26,CNN,"128 filters, kernel size 7",0.9030303030303031,0.9922480620155039,0.8951048951048951,0.9411764705882353,0.5833333333333334,0.9545454545454546,0.7241379310344828
27,CNN,"128 filters, kernel size 5",0.8606060606060606,0.9918032786885246,0.8461538461538461,0.9132075471698113,0.4883720930232558,0.9545454545454546,0.6461538461538462
28,CNN,"128 filters, kernel size 3",0.6787878787878788,1.0,0.6293706293706294,0.7725321888412017,0.29333333333333333,1.0,0.45360824742268036
29,CNN,"256 filters, kernel size 7",0.8909090909090909,0.9562043795620438,0.916083916083916,0.9357142857142857,0.5714285714285714,0.7272727272727273,0.64
30,CNN,"256 filters, kernel size 5",0.8848484848484849,0.9920634920634921,0.8741258741258742,0.929368029739777,0.5384615384615384,0.9545454545454546,0.6885245901639344
31,CNN,"256 filters, kernel size 3",0.793939393939394,0.9097744360902256,0.8461538461538461,0.8768115942028986,0.3125,0.45454545454545453,0.3703703703703703
