,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8628571428571429,0.8705882352941177,0.9866666666666667,0.925,0.6,0.12,0.19999999999999998
1,LSTM,200 layers,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.0,0.0,0.0
2,LSTM,100 layers,0.7028571428571428,0.8602941176470589,0.78,0.8181818181818182,0.15384615384615385,0.24,0.18750000000000003
3,LSTM,50 layers,0.7371428571428571,0.8661971830985915,0.82,0.8424657534246575,0.18181818181818182,0.24,0.20689655172413793
4,CNN with Attention,"32 filters, kernel size 7",0.8742857142857143,0.8809523809523809,0.9866666666666667,0.930817610062893,0.7142857142857143,0.2,0.3125
5,CNN with Attention,"32 filters, kernel size 5",0.8742857142857143,0.8809523809523809,0.9866666666666667,0.930817610062893,0.7142857142857143,0.2,0.3125
6,CNN with Attention,"32 filters, kernel size 3",0.8685714285714285,0.8757396449704142,0.9866666666666667,0.9278996865203761,0.6666666666666666,0.16,0.25806451612903225
7,CNN with Attention,"64 filters, kernel size 7",0.8742857142857143,0.8809523809523809,0.9866666666666667,0.930817610062893,0.7142857142857143,0.2,0.3125
8,CNN with Attention,"64 filters, kernel size 5",0.8742857142857143,0.8809523809523809,0.9866666666666667,0.930817610062893,0.7142857142857143,0.2,0.3125
9,CNN with Attention,"64 filters, kernel size 3",0.8742857142857143,0.8809523809523809,0.9866666666666667,0.930817610062893,0.7142857142857143,0.2,0.3125
10,CNN with Attention,"128 filters, kernel size 7",0.8685714285714285,0.8802395209580839,0.98,0.9274447949526814,0.625,0.2,0.30303030303030304
11,CNN with Attention,"128 filters, kernel size 5",0.8742857142857143,0.8809523809523809,0.9866666666666667,0.930817610062893,0.7142857142857143,0.2,0.3125
12,CNN with Attention,"128 filters, kernel size 3",0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.8628571428571429,0.8705882352941177,0.9866666666666667,0.925,0.6,0.12,0.19999999999999998
14,CNN with Attention,"256 filters, kernel size 5",0.8628571428571429,0.8705882352941177,0.9866666666666667,0.925,0.6,0.12,0.19999999999999998
15,CNN with Attention,"256 filters, kernel size 3",0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.0,0.0,0.0
16,RNN,200 units,0.7942857142857143,0.875,0.8866666666666667,0.880794701986755,0.2608695652173913,0.24,0.24999999999999994
17,RNN,150 units,0.4,0.9090909090909091,0.3333333333333333,0.4878048780487804,0.16666666666666666,0.8,0.27586206896551724
18,RNN,100 units,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.0,0.0,0.0
19,RNN,50 units,0.4,0.835820895522388,0.37333333333333335,0.5161290322580645,0.12962962962962962,0.56,0.21052631578947367
20,CNN,"32 filters, kernel size 7",0.8685714285714285,0.8802395209580839,0.98,0.9274447949526814,0.625,0.2,0.30303030303030304
21,CNN,"32 filters, kernel size 5",0.8685714285714285,0.8802395209580839,0.98,0.9274447949526814,0.625,0.2,0.30303030303030304
22,CNN,"32 filters, kernel size 3",0.88,0.8816568047337278,0.9933333333333333,0.9341692789968652,0.8333333333333334,0.2,0.3225806451612903
23,CNN,"64 filters, kernel size 7",0.8685714285714285,0.8848484848484849,0.9733333333333334,0.926984126984127,0.6,0.24,0.34285714285714286
24,CNN,"64 filters, kernel size 5",0.8742857142857143,0.8809523809523809,0.9866666666666667,0.930817610062893,0.7142857142857143,0.2,0.3125
25,CNN,"64 filters, kernel size 3",0.8685714285714285,0.8802395209580839,0.98,0.9274447949526814,0.625,0.2,0.30303030303030304
26,CNN,"128 filters, kernel size 7",0.8628571428571429,0.8795180722891566,0.9733333333333334,0.9240506329113923,0.5555555555555556,0.2,0.29411764705882354
27,CNN,"128 filters, kernel size 5",0.8571428571428571,0.8787878787878788,0.9666666666666667,0.9206349206349207,0.5,0.2,0.28571428571428575
28,CNN,"128 filters, kernel size 3",0.8685714285714285,0.8802395209580839,0.98,0.9274447949526814,0.625,0.2,0.30303030303030304
29,CNN,"256 filters, kernel size 7",0.8742857142857143,0.8855421686746988,0.98,0.930379746835443,0.6666666666666666,0.24,0.3529411764705882
30,CNN,"256 filters, kernel size 5",0.8628571428571429,0.8795180722891566,0.9733333333333334,0.9240506329113923,0.5555555555555556,0.2,0.29411764705882354
31,CNN,"256 filters, kernel size 3",0.8628571428571429,0.8795180722891566,0.9733333333333334,0.9240506329113923,0.5555555555555556,0.2,0.29411764705882354
