,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.632258064516129,0.8362068965517241,0.7185185185185186,0.7729083665338646,0.02564102564102564,0.05,0.033898305084745756
1,LSTM,200 layers,0.8709677419354839,0.8709677419354839,1.0,0.9310344827586207,0.0,0.0,0.0
2,LSTM,100 layers,0.8,0.8768115942028986,0.8962962962962963,0.8864468864468865,0.17647058823529413,0.15,0.16216216216216214
3,LSTM,50 layers,0.8709677419354839,0.8709677419354839,1.0,0.9310344827586207,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.8387096774193549,0.8767123287671232,0.9481481481481482,0.9110320284697508,0.2222222222222222,0.1,0.13793103448275865
5,CNN with Attention,"32 filters, kernel size 5",0.8387096774193549,0.8819444444444444,0.9407407407407408,0.9103942652329748,0.2727272727272727,0.15,0.19354838709677416
6,CNN with Attention,"32 filters, kernel size 3",0.8387096774193549,0.8819444444444444,0.9407407407407408,0.9103942652329748,0.2727272727272727,0.15,0.19354838709677416
7,CNN with Attention,"64 filters, kernel size 7",0.8387096774193549,0.8767123287671232,0.9481481481481482,0.9110320284697508,0.2222222222222222,0.1,0.13793103448275865
8,CNN with Attention,"64 filters, kernel size 5",0.832258064516129,0.8758620689655172,0.9407407407407408,0.907142857142857,0.2,0.1,0.13333333333333333
9,CNN with Attention,"64 filters, kernel size 3",0.8387096774193549,0.8819444444444444,0.9407407407407408,0.9103942652329748,0.2727272727272727,0.15,0.19354838709677416
10,CNN with Attention,"128 filters, kernel size 7",0.8387096774193549,0.8767123287671232,0.9481481481481482,0.9110320284697508,0.2222222222222222,0.1,0.13793103448275865
11,CNN with Attention,"128 filters, kernel size 5",0.8193548387096774,0.8848920863309353,0.9111111111111111,0.8978102189781022,0.25,0.2,0.22222222222222224
12,CNN with Attention,"128 filters, kernel size 3",0.7806451612903226,0.8914728682170543,0.8518518518518519,0.8712121212121213,0.23076923076923078,0.3,0.2608695652173913
13,CNN with Attention,"256 filters, kernel size 7",0.7806451612903226,0.8854961832061069,0.8592592592592593,0.8721804511278195,0.20833333333333334,0.25,0.22727272727272727
14,CNN with Attention,"256 filters, kernel size 5",0.8129032258064516,0.8785714285714286,0.9111111111111111,0.8945454545454546,0.2,0.15,0.17142857142857143
15,CNN with Attention,"256 filters, kernel size 3",0.8451612903225807,0.87248322147651,0.9629629629629629,0.9154929577464789,0.16666666666666666,0.05,0.07692307692307691
16,RNN,200 units,0.7483870967741936,0.8809523809523809,0.8222222222222222,0.8505747126436781,0.1724137931034483,0.25,0.20408163265306123
17,RNN,150 units,0.8709677419354839,0.8709677419354839,1.0,0.9310344827586207,0.0,0.0,0.0
18,RNN,100 units,0.3096774193548387,0.7916666666666666,0.2814814814814815,0.41530054644808745,0.09345794392523364,0.5,0.15748031496062992
19,RNN,50 units,0.7741935483870968,0.8731343283582089,0.8666666666666667,0.8698884758364313,0.14285714285714285,0.15,0.14634146341463414
20,CNN,"32 filters, kernel size 7",0.8387096774193549,0.8767123287671232,0.9481481481481482,0.9110320284697508,0.2222222222222222,0.1,0.13793103448275865
21,CNN,"32 filters, kernel size 5",0.8258064516129032,0.875,0.9333333333333333,0.9032258064516129,0.18181818181818182,0.1,0.12903225806451613
22,CNN,"32 filters, kernel size 3",0.7548387096774194,0.888,0.8222222222222222,0.8538461538461538,0.2,0.3,0.24
23,CNN,"64 filters, kernel size 7",0.8387096774193549,0.8767123287671232,0.9481481481481482,0.9110320284697508,0.2222222222222222,0.1,0.13793103448275865
24,CNN,"64 filters, kernel size 5",0.8387096774193549,0.8819444444444444,0.9407407407407408,0.9103942652329748,0.2727272727272727,0.15,0.19354838709677416
25,CNN,"64 filters, kernel size 3",0.832258064516129,0.8811188811188811,0.9333333333333333,0.906474820143885,0.25,0.15,0.18749999999999997
26,CNN,"128 filters, kernel size 7",0.832258064516129,0.8758620689655172,0.9407407407407408,0.907142857142857,0.2,0.1,0.13333333333333333
27,CNN,"128 filters, kernel size 5",0.8,0.8939393939393939,0.8740740740740741,0.8838951310861423,0.2608695652173913,0.3,0.27906976744186046
28,CNN,"128 filters, kernel size 3",0.8193548387096774,0.8962962962962963,0.8962962962962963,0.8962962962962963,0.3,0.3,0.3
29,CNN,"256 filters, kernel size 7",0.8258064516129032,0.9153846153846154,0.8814814814814815,0.8981132075471698,0.36,0.45,0.39999999999999997
30,CNN,"256 filters, kernel size 5",0.832258064516129,0.8811188811188811,0.9333333333333333,0.906474820143885,0.25,0.15,0.18749999999999997
31,CNN,"256 filters, kernel size 3",0.7935483870967742,0.8931297709923665,0.8666666666666667,0.8796992481203009,0.25,0.3,0.2727272727272727
