,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.7578947368421053,0.9230769230769231,0.8089887640449438,0.8622754491017964,0.0,0.0,0.0
1,LSTM,200 layers,0.9368421052631579,0.9368421052631579,1.0,0.967391304347826,0.0,0.0,0.0
2,LSTM,100 layers,0.6736842105263158,0.9142857142857143,0.7191011235955056,0.8050314465408805,0.0,0.0,0.0
3,LSTM,50 layers,0.5157894736842106,0.8909090909090909,0.550561797752809,0.6805555555555556,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.8315789473684211,0.9294117647058824,0.8876404494382022,0.9080459770114941,0.0,0.0,0.0
5,CNN with Attention,"32 filters, kernel size 5",0.7368421052631579,0.9210526315789473,0.7865168539325843,0.8484848484848485,0.0,0.0,0.0
6,CNN with Attention,"32 filters, kernel size 3",0.7894736842105263,0.9259259259259259,0.8426966292134831,0.8823529411764706,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.7894736842105263,0.9259259259259259,0.8426966292134831,0.8823529411764706,0.0,0.0,0.0
8,CNN with Attention,"64 filters, kernel size 5",0.8421052631578947,0.9302325581395349,0.898876404494382,0.9142857142857143,0.0,0.0,0.0
9,CNN with Attention,"64 filters, kernel size 3",0.7894736842105263,0.9259259259259259,0.8426966292134831,0.8823529411764706,0.0,0.0,0.0
10,CNN with Attention,"128 filters, kernel size 7",0.8315789473684211,0.9294117647058824,0.8876404494382022,0.9080459770114941,0.0,0.0,0.0
11,CNN with Attention,"128 filters, kernel size 5",0.8421052631578947,0.9302325581395349,0.898876404494382,0.9142857142857143,0.0,0.0,0.0
12,CNN with Attention,"128 filters, kernel size 3",0.8105263157894737,0.927710843373494,0.8651685393258427,0.8953488372093023,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.7578947368421053,0.9230769230769231,0.8089887640449438,0.8622754491017964,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.8315789473684211,0.9294117647058824,0.8876404494382022,0.9080459770114941,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.8210526315789474,0.9285714285714286,0.8764044943820225,0.9017341040462428,0.0,0.0,0.0
16,RNN,200 units,0.8315789473684211,0.9294117647058824,0.8876404494382022,0.9080459770114941,0.0,0.0,0.0
17,RNN,150 units,0.8842105263157894,0.9333333333333333,0.9438202247191011,0.9385474860335196,0.0,0.0,0.0
18,RNN,100 units,0.9368421052631579,0.9368421052631579,1.0,0.967391304347826,0.0,0.0,0.0
19,RNN,50 units,0.9368421052631579,0.9368421052631579,1.0,0.967391304347826,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.7789473684210526,0.925,0.8314606741573034,0.8757396449704142,0.0,0.0,0.0
21,CNN,"32 filters, kernel size 5",0.7789473684210526,0.925,0.8314606741573034,0.8757396449704142,0.0,0.0,0.0
22,CNN,"32 filters, kernel size 3",0.8210526315789474,0.9390243902439024,0.8651685393258427,0.9005847953216373,0.07692307692307693,0.16666666666666666,0.10526315789473684
23,CNN,"64 filters, kernel size 7",0.7684210526315789,0.9240506329113924,0.8202247191011236,0.8690476190476191,0.0,0.0,0.0
24,CNN,"64 filters, kernel size 5",0.7578947368421053,0.9230769230769231,0.8089887640449438,0.8622754491017964,0.0,0.0,0.0
25,CNN,"64 filters, kernel size 3",0.7894736842105263,0.9259259259259259,0.8426966292134831,0.8823529411764706,0.0,0.0,0.0
26,CNN,"128 filters, kernel size 7",0.7684210526315789,0.9240506329113924,0.8202247191011236,0.8690476190476191,0.0,0.0,0.0
27,CNN,"128 filters, kernel size 5",0.7684210526315789,0.9240506329113924,0.8202247191011236,0.8690476190476191,0.0,0.0,0.0
28,CNN,"128 filters, kernel size 3",0.7473684210526316,0.922077922077922,0.797752808988764,0.8554216867469879,0.0,0.0,0.0
29,CNN,"256 filters, kernel size 7",0.7473684210526316,0.922077922077922,0.797752808988764,0.8554216867469879,0.0,0.0,0.0
30,CNN,"256 filters, kernel size 5",0.7789473684210526,0.925,0.8314606741573034,0.8757396449704142,0.0,0.0,0.0
31,CNN,"256 filters, kernel size 3",0.8421052631578947,0.9302325581395349,0.898876404494382,0.9142857142857143,0.0,0.0,0.0
