,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8387096774193549,0.8928571428571429,0.9259259259259259,0.9090909090909091,0.3333333333333333,0.25,0.28571428571428575
1,LSTM,200 layers,0.8129032258064516,0.9015151515151515,0.8814814814814815,0.8913857677902621,0.30434782608695654,0.35,0.3255813953488372
2,LSTM,100 layers,0.8451612903225807,0.8881118881118881,0.9407407407407408,0.9136690647482014,0.3333333333333333,0.2,0.25
3,LSTM,50 layers,0.8709677419354839,0.8709677419354839,1.0,0.9310344827586207,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.7677419354838709,0.9714285714285714,0.7555555555555555,0.85,0.34,0.85,0.4857142857142858
5,CNN with Attention,"32 filters, kernel size 5",0.44516129032258067,0.9622641509433962,0.37777777777777777,0.5425531914893617,0.17647058823529413,0.9,0.2950819672131148
6,CNN with Attention,"32 filters, kernel size 3",0.3225806451612903,0.96875,0.22962962962962963,0.3712574850299401,0.15447154471544716,0.95,0.26573426573426573
7,CNN with Attention,"64 filters, kernel size 7",0.5483870967741935,0.9850746268656716,0.4888888888888889,0.6534653465346534,0.2159090909090909,0.95,0.35185185185185186
8,CNN with Attention,"64 filters, kernel size 5",0.7096774193548387,0.96875,0.6888888888888889,0.8051948051948051,0.288135593220339,0.85,0.43037974683544306
9,CNN with Attention,"64 filters, kernel size 3",0.3741935483870968,0.975,0.28888888888888886,0.4457142857142857,0.16521739130434782,0.95,0.28148148148148144
10,CNN with Attention,"128 filters, kernel size 7",0.5419354838709678,0.9848484848484849,0.48148148148148145,0.6467661691542289,0.21348314606741572,0.95,0.34862385321100914
11,CNN with Attention,"128 filters, kernel size 5",0.5161290322580645,0.96875,0.45925925925925926,0.6231155778894473,0.1978021978021978,0.9,0.3243243243243243
12,CNN with Attention,"128 filters, kernel size 3",0.2709677419354839,1.0,0.16296296296296298,0.2802547770700637,0.15037593984962405,1.0,0.26143790849673204
13,CNN with Attention,"256 filters, kernel size 7",0.45161290322580644,1.0,0.37037037037037035,0.5405405405405406,0.19047619047619047,1.0,0.32
14,CNN with Attention,"256 filters, kernel size 5",0.4258064516129032,0.9791666666666666,0.34814814814814815,0.5136612021857924,0.17757009345794392,0.95,0.2992125984251969
15,CNN with Attention,"256 filters, kernel size 3",0.2129032258064516,1.0,0.0962962962962963,0.17567567567567569,0.14084507042253522,1.0,0.2469135802469136
16,RNN,200 units,0.8,0.8823529411764706,0.8888888888888888,0.8856088560885608,0.21052631578947367,0.2,0.20512820512820512
17,RNN,150 units,0.5096774193548387,0.8390804597701149,0.5407407407407407,0.6576576576576577,0.08823529411764706,0.3,0.13636363636363635
18,RNN,100 units,0.6193548387096774,0.8454545454545455,0.6888888888888889,0.7591836734693878,0.06666666666666667,0.15,0.09230769230769231
19,RNN,50 units,0.8709677419354839,0.8859060402684564,0.9777777777777777,0.9295774647887324,0.5,0.15,0.23076923076923075
20,CNN,"32 filters, kernel size 7",0.5548387096774193,0.9714285714285714,0.5037037037037037,0.6634146341463414,0.21176470588235294,0.9,0.34285714285714286
21,CNN,"32 filters, kernel size 5",0.5419354838709678,0.9705882352941176,0.4888888888888889,0.6502463054187192,0.20689655172413793,0.9,0.3364485981308411
22,CNN,"32 filters, kernel size 3",0.5032258064516129,0.9833333333333333,0.43703703703703706,0.6051282051282052,0.2,0.95,0.3304347826086957
23,CNN,"64 filters, kernel size 7",0.5612903225806452,0.971830985915493,0.5111111111111111,0.6699029126213593,0.21428571428571427,0.9,0.3461538461538461
24,CNN,"64 filters, kernel size 5",0.44516129032258067,0.9622641509433962,0.37777777777777777,0.5425531914893617,0.17647058823529413,0.9,0.2950819672131148
25,CNN,"64 filters, kernel size 3",0.4064516129032258,0.9387755102040817,0.34074074074074073,0.5,0.16037735849056603,0.85,0.2698412698412698
26,CNN,"128 filters, kernel size 7",0.6903225806451613,0.967741935483871,0.6666666666666666,0.7894736842105263,0.27419354838709675,0.85,0.4146341463414634
27,CNN,"128 filters, kernel size 5",0.43870967741935485,0.9615384615384616,0.37037037037037035,0.5347593582887701,0.17475728155339806,0.9,0.29268292682926833
28,CNN,"128 filters, kernel size 3",0.4129032258064516,0.9583333333333334,0.34074074074074073,0.5027322404371585,0.16822429906542055,0.9,0.28346456692913385
29,CNN,"256 filters, kernel size 7",0.7354838709677419,0.97,0.7185185185185186,0.8255319148936171,0.3090909090909091,0.85,0.45333333333333325
30,CNN,"256 filters, kernel size 5",0.7870967741935484,0.9322033898305084,0.8148148148148148,0.8695652173913043,0.32432432432432434,0.6,0.4210526315789474
31,CNN,"256 filters, kernel size 3",0.3225806451612903,0.9411764705882353,0.23703703703703705,0.37869822485207094,0.1487603305785124,0.9,0.2553191489361702
