,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8918918918918919,0.8932584269662921,0.99375,0.9408284023668638,0.8571428571428571,0.24,0.375
1,LSTM,200 layers,0.8648648648648649,0.8770949720670391,0.98125,0.9262536873156343,0.5,0.12,0.1935483870967742
2,LSTM,100 layers,0.8810810810810811,0.8833333333333333,0.99375,0.9352941176470588,0.8,0.16,0.26666666666666666
3,LSTM,50 layers,0.8810810810810811,0.8833333333333333,0.99375,0.9352941176470588,0.8,0.16,0.26666666666666666
4,CNN with Attention,"32 filters, kernel size 7",0.8972972972972973,0.9028571428571428,0.9875,0.9432835820895522,0.8,0.32,0.45714285714285713
5,CNN with Attention,"32 filters, kernel size 5",0.8702702702702703,0.8820224719101124,0.98125,0.9289940828402367,0.5714285714285714,0.16,0.25
6,CNN with Attention,"32 filters, kernel size 3",0.8756756756756757,0.88268156424581,0.9875,0.9321533923303834,0.6666666666666666,0.16,0.25806451612903225
7,CNN with Attention,"64 filters, kernel size 7",0.8756756756756757,0.88268156424581,0.9875,0.9321533923303834,0.6666666666666666,0.16,0.25806451612903225
8,CNN with Attention,"64 filters, kernel size 5",0.8702702702702703,0.8820224719101124,0.98125,0.9289940828402367,0.5714285714285714,0.16,0.25
9,CNN with Attention,"64 filters, kernel size 3",0.8702702702702703,0.8820224719101124,0.98125,0.9289940828402367,0.5714285714285714,0.16,0.25
10,CNN with Attention,"128 filters, kernel size 7",0.8756756756756757,0.88268156424581,0.9875,0.9321533923303834,0.6666666666666666,0.16,0.25806451612903225
11,CNN with Attention,"128 filters, kernel size 5",0.8702702702702703,0.8820224719101124,0.98125,0.9289940828402367,0.5714285714285714,0.16,0.25
12,CNN with Attention,"128 filters, kernel size 3",0.8702702702702703,0.8820224719101124,0.98125,0.9289940828402367,0.5714285714285714,0.16,0.25
13,CNN with Attention,"256 filters, kernel size 7",0.8756756756756757,0.88268156424581,0.9875,0.9321533923303834,0.6666666666666666,0.16,0.25806451612903225
14,CNN with Attention,"256 filters, kernel size 5",0.8756756756756757,0.88268156424581,0.9875,0.9321533923303834,0.6666666666666666,0.16,0.25806451612903225
15,CNN with Attention,"256 filters, kernel size 3",0.8702702702702703,0.8820224719101124,0.98125,0.9289940828402367,0.5714285714285714,0.16,0.25
16,RNN,200 units,0.7567567567567568,0.9078014184397163,0.8,0.8504983388704319,0.2727272727272727,0.48,0.34782608695652173
17,RNN,150 units,0.8972972972972973,0.9171597633136095,0.96875,0.9422492401215805,0.6875,0.44,0.5365853658536586
18,RNN,100 units,0.8810810810810811,0.896551724137931,0.975,0.934131736526946,0.6363636363636364,0.28,0.3888888888888889
19,RNN,50 units,0.8864864864864865,0.9017341040462428,0.975,0.9369369369369369,0.6666666666666666,0.32,0.43243243243243246
20,CNN,"32 filters, kernel size 7",0.8756756756756757,0.88268156424581,0.9875,0.9321533923303834,0.6666666666666666,0.16,0.25806451612903225
21,CNN,"32 filters, kernel size 5",0.8756756756756757,0.88268156424581,0.9875,0.9321533923303834,0.6666666666666666,0.16,0.25806451612903225
22,CNN,"32 filters, kernel size 3",0.8810810810810811,0.8876404494382022,0.9875,0.9349112426035503,0.7142857142857143,0.2,0.3125
23,CNN,"64 filters, kernel size 7",0.8756756756756757,0.88268156424581,0.9875,0.9321533923303834,0.6666666666666666,0.16,0.25806451612903225
24,CNN,"64 filters, kernel size 5",0.8702702702702703,0.8820224719101124,0.98125,0.9289940828402367,0.5714285714285714,0.16,0.25
25,CNN,"64 filters, kernel size 3",0.8756756756756757,0.88268156424581,0.9875,0.9321533923303834,0.6666666666666666,0.16,0.25806451612903225
26,CNN,"128 filters, kernel size 7",0.8810810810810811,0.8876404494382022,0.9875,0.9349112426035503,0.7142857142857143,0.2,0.3125
27,CNN,"128 filters, kernel size 5",0.8756756756756757,0.88268156424581,0.9875,0.9321533923303834,0.6666666666666666,0.16,0.25806451612903225
28,CNN,"128 filters, kernel size 3",0.8756756756756757,0.88268156424581,0.9875,0.9321533923303834,0.6666666666666666,0.16,0.25806451612903225
29,CNN,"256 filters, kernel size 7",0.8918918918918919,0.9022988505747126,0.98125,0.9401197604790418,0.7272727272727273,0.32,0.4444444444444444
30,CNN,"256 filters, kernel size 5",0.8810810810810811,0.8920454545454546,0.98125,0.9345238095238095,0.6666666666666666,0.24,0.3529411764705882
31,CNN,"256 filters, kernel size 3",0.8756756756756757,0.88268156424581,0.9875,0.9321533923303834,0.6666666666666666,0.16,0.25806451612903225
