,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9166666666666666,0.9375,0.967741935483871,0.9523809523809523,0.75,0.6,0.6666666666666665
1,LSTM,200 layers,0.85,0.9210526315789473,0.9032258064516129,0.9120521172638436,0.4642857142857143,0.52,0.49056603773584906
2,LSTM,100 layers,0.8777777777777778,0.9130434782608695,0.9483870967741935,0.930379746835443,0.5789473684210527,0.44,0.5
3,LSTM,50 layers,0.7444444444444445,0.9291338582677166,0.7612903225806451,0.8368794326241134,0.3018867924528302,0.64,0.4102564102564102
4,RNN,200 units,0.8888888888888888,0.9192546583850931,0.9548387096774194,0.9367088607594936,0.631578947368421,0.48,0.5454545454545454
5,RNN,150 units,0.8944444444444445,0.9197530864197531,0.9612903225806452,0.9400630914826499,0.6666666666666666,0.48,0.5581395348837209
6,RNN,100 units,0.8722222222222222,0.8975903614457831,0.9612903225806452,0.9283489096573209,0.5714285714285714,0.32,0.41025641025641024
7,RNN,50 units,0.8722222222222222,0.8928571428571429,0.967741935483871,0.9287925696594428,0.5833333333333334,0.28,0.3783783783783784
8,CNN,"32 filters, kernel size 7",0.8777777777777778,0.8888888888888888,0.9806451612903225,0.9325153374233129,0.6666666666666666,0.24,0.3529411764705882
9,CNN,"32 filters, kernel size 5",0.8944444444444445,0.9,0.9870967741935484,0.9415384615384615,0.8,0.32,0.45714285714285713
10,CNN,"32 filters, kernel size 3",0.9055555555555556,0.9156626506024096,0.9806451612903225,0.9470404984423675,0.7857142857142857,0.44,0.5641025641025641
11,CNN,"64 filters, kernel size 7",0.9055555555555556,0.9156626506024096,0.9806451612903225,0.9470404984423675,0.7857142857142857,0.44,0.5641025641025641
12,CNN,"64 filters, kernel size 5",0.9,0.9101796407185628,0.9806451612903225,0.9440993788819875,0.7692307692307693,0.4,0.5263157894736842
13,CNN,"64 filters, kernel size 3",0.9277777777777778,0.9329268292682927,0.9870967741935484,0.9592476489028213,0.875,0.56,0.6829268292682927
14,CNN,"128 filters, kernel size 7",0.9,0.9659863945578231,0.9161290322580645,0.9403973509933774,0.6060606060606061,0.8,0.689655172413793
15,CNN,"128 filters, kernel size 5",0.8833333333333333,0.935064935064935,0.9290322580645162,0.9320388349514563,0.5769230769230769,0.6,0.5882352941176471
16,CNN,"128 filters, kernel size 3",0.8722222222222222,0.9342105263157895,0.9161290322580645,0.9250814332247558,0.5357142857142857,0.6,0.5660377358490566
17,CNN,"256 filters, kernel size 7",0.9,0.9308176100628931,0.9548387096774194,0.9426751592356688,0.6666666666666666,0.56,0.6086956521739131
18,CNN,"256 filters, kernel size 5",0.8888888888888888,0.9192546583850931,0.9548387096774194,0.9367088607594936,0.631578947368421,0.48,0.5454545454545454
19,CNN,"256 filters, kernel size 3",0.8944444444444445,0.9146341463414634,0.967741935483871,0.9404388714733544,0.6875,0.44,0.5365853658536586
