,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9037037037037037,0.8992248062015504,1.0,0.9469387755102041,1.0,0.3157894736842105,0.4799999999999999
1,LSTM,200 layers,0.8518518518518519,0.8636363636363636,0.9827586206896551,0.9193548387096775,0.3333333333333333,0.05263157894736842,0.09090909090909091
2,LSTM,100 layers,0.837037037037037,0.8983050847457628,0.9137931034482759,0.9059829059829059,0.4117647058823529,0.3684210526315789,0.3888888888888889
3,LSTM,50 layers,0.8814814814814815,0.8846153846153846,0.9913793103448276,0.9349593495934959,0.8,0.21052631578947367,0.3333333333333333
4,CNN with Attention,"32 filters, kernel size 7",0.8592592592592593,0.9217391304347826,0.9137931034482759,0.9177489177489179,0.5,0.5263157894736842,0.5128205128205129
5,CNN with Attention,"32 filters, kernel size 5",0.8592592592592593,0.9145299145299145,0.9224137931034483,0.9184549356223175,0.5,0.47368421052631576,0.4864864864864865
6,CNN with Attention,"32 filters, kernel size 3",0.8814814814814815,0.9098360655737705,0.9568965517241379,0.9327731092436975,0.6153846153846154,0.42105263157894735,0.5
7,CNN with Attention,"64 filters, kernel size 7",0.8666666666666667,0.9224137931034483,0.9224137931034483,0.9224137931034483,0.5263157894736842,0.5263157894736842,0.5263157894736842
8,CNN with Attention,"64 filters, kernel size 5",0.837037037037037,0.9122807017543859,0.896551724137931,0.9043478260869565,0.42857142857142855,0.47368421052631576,0.45
9,CNN with Attention,"64 filters, kernel size 3",0.8888888888888888,0.9243697478991597,0.9482758620689655,0.9361702127659575,0.625,0.5263157894736842,0.5714285714285714
10,CNN with Attention,"128 filters, kernel size 7",0.837037037037037,0.9196428571428571,0.8879310344827587,0.9035087719298246,0.43478260869565216,0.5263157894736842,0.47619047619047616
11,CNN with Attention,"128 filters, kernel size 5",0.8666666666666667,0.9224137931034483,0.9224137931034483,0.9224137931034483,0.5263157894736842,0.5263157894736842,0.5263157894736842
12,CNN with Attention,"128 filters, kernel size 3",0.8666666666666667,0.9224137931034483,0.9224137931034483,0.9224137931034483,0.5263157894736842,0.5263157894736842,0.5263157894736842
13,CNN with Attention,"256 filters, kernel size 7",0.8592592592592593,0.907563025210084,0.9310344827586207,0.9191489361702128,0.5,0.42105263157894735,0.45714285714285713
14,CNN with Attention,"256 filters, kernel size 5",0.8518518518518519,0.9137931034482759,0.9137931034482759,0.9137931034482759,0.47368421052631576,0.47368421052631576,0.47368421052631576
15,CNN with Attention,"256 filters, kernel size 3",0.8518518518518519,0.9137931034482759,0.9137931034482759,0.9137931034482759,0.47368421052631576,0.47368421052631576,0.47368421052631576
16,RNN,200 units,0.8740740740740741,0.889763779527559,0.9741379310344828,0.9300411522633745,0.625,0.2631578947368421,0.37037037037037035
17,RNN,150 units,0.8888888888888888,0.8914728682170543,0.9913793103448276,0.9387755102040817,0.8333333333333334,0.2631578947368421,0.39999999999999997
18,RNN,100 units,0.8962962962962963,0.8984375,0.9913793103448276,0.9426229508196722,0.8571428571428571,0.3157894736842105,0.46153846153846156
19,RNN,50 units,0.8740740740740741,0.8837209302325582,0.9827586206896551,0.9306122448979592,0.6666666666666666,0.21052631578947367,0.32
20,CNN,"32 filters, kernel size 7",0.8592592592592593,0.907563025210084,0.9310344827586207,0.9191489361702128,0.5,0.42105263157894735,0.45714285714285713
21,CNN,"32 filters, kernel size 5",0.8740740740740741,0.9090909090909091,0.9482758620689655,0.9282700421940928,0.5714285714285714,0.42105263157894735,0.48484848484848486
22,CNN,"32 filters, kernel size 3",0.8666666666666667,0.9083333333333333,0.9396551724137931,0.9237288135593221,0.5333333333333333,0.42105263157894735,0.47058823529411764
23,CNN,"64 filters, kernel size 7",0.8518518518518519,0.9137931034482759,0.9137931034482759,0.9137931034482759,0.47368421052631576,0.47368421052631576,0.47368421052631576
24,CNN,"64 filters, kernel size 5",0.8740740740740741,0.9230769230769231,0.9310344827586207,0.927038626609442,0.5555555555555556,0.5263157894736842,0.5405405405405405
25,CNN,"64 filters, kernel size 3",0.8888888888888888,0.9316239316239316,0.9396551724137931,0.9356223175965666,0.6111111111111112,0.5789473684210527,0.5945945945945946
26,CNN,"128 filters, kernel size 7",0.8740740740740741,0.9230769230769231,0.9310344827586207,0.927038626609442,0.5555555555555556,0.5263157894736842,0.5405405405405405
27,CNN,"128 filters, kernel size 5",0.8592592592592593,0.9217391304347826,0.9137931034482759,0.9177489177489179,0.5,0.5263157894736842,0.5128205128205129
28,CNN,"128 filters, kernel size 3",0.8666666666666667,0.9152542372881356,0.9310344827586207,0.923076923076923,0.5294117647058824,0.47368421052631576,0.5
29,CNN,"256 filters, kernel size 7",0.8666666666666667,0.9224137931034483,0.9224137931034483,0.9224137931034483,0.5263157894736842,0.5263157894736842,0.5263157894736842
30,CNN,"256 filters, kernel size 5",0.8740740740740741,0.9380530973451328,0.9137931034482759,0.925764192139738,0.5454545454545454,0.631578947368421,0.5853658536585366
31,CNN,"256 filters, kernel size 3",0.8518518518518519,0.9137931034482759,0.9137931034482759,0.9137931034482759,0.47368421052631576,0.47368421052631576,0.47368421052631576
