,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8285714285714286,0.875,0.9333333333333333,0.9032258064516129,0.3333333333333333,0.2,0.25
1,LSTM,200 layers,0.8571428571428571,0.874251497005988,0.9733333333333334,0.9211356466876972,0.5,0.16,0.24242424242424243
2,LSTM,100 layers,0.8571428571428571,0.8698224852071006,0.98,0.9216300940438872,0.5,0.12,0.1935483870967742
3,LSTM,50 layers,0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
4,CNN with Attention,"32 filters, kernel size 7",0.8228571428571428,0.8650306748466258,0.94,0.9009584664536742,0.25,0.12,0.16216216216216217
5,CNN with Attention,"32 filters, kernel size 5",0.8228571428571428,0.8606060606060606,0.9466666666666667,0.9015873015873016,0.2,0.08,0.11428571428571428
6,CNN with Attention,"32 filters, kernel size 3",0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
7,CNN with Attention,"64 filters, kernel size 7",0.8457142857142858,0.8682634730538922,0.9666666666666667,0.9148264984227129,0.375,0.12,0.18181818181818182
8,CNN with Attention,"64 filters, kernel size 5",0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
9,CNN with Attention,"64 filters, kernel size 3",0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
10,CNN with Attention,"128 filters, kernel size 7",0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
11,CNN with Attention,"128 filters, kernel size 5",0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
12,CNN with Attention,"128 filters, kernel size 3",0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
13,CNN with Attention,"256 filters, kernel size 7",0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
14,CNN with Attention,"256 filters, kernel size 5",0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
15,CNN with Attention,"256 filters, kernel size 3",0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
16,RNN,200 units,0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
17,RNN,150 units,0.84,0.8674698795180723,0.96,0.9113924050632911,0.3333333333333333,0.12,0.1764705882352941
18,RNN,100 units,0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
19,RNN,50 units,0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
20,CNN,"32 filters, kernel size 7",0.8342857142857143,0.8666666666666667,0.9533333333333334,0.907936507936508,0.3,0.12,0.17142857142857143
21,CNN,"32 filters, kernel size 5",0.84,0.8630952380952381,0.9666666666666667,0.9119496855345911,0.2857142857142857,0.08,0.125
22,CNN,"32 filters, kernel size 3",0.84,0.8630952380952381,0.9666666666666667,0.9119496855345911,0.2857142857142857,0.08,0.125
23,CNN,"64 filters, kernel size 7",0.7885714285714286,0.8741721854304636,0.88,0.877076411960133,0.25,0.24,0.24489795918367346
24,CNN,"64 filters, kernel size 5",0.8114285714285714,0.8679245283018868,0.92,0.8932038834951457,0.25,0.16,0.19512195121951217
25,CNN,"64 filters, kernel size 3",0.7714285714285715,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.2,0.2,0.20000000000000004
26,CNN,"128 filters, kernel size 7",0.8057142857142857,0.8670886075949367,0.9133333333333333,0.8896103896103896,0.23529411764705882,0.16,0.19047619047619052
27,CNN,"128 filters, kernel size 5",0.7942857142857143,0.8701298701298701,0.8933333333333333,0.881578947368421,0.23809523809523808,0.2,0.21739130434782608
28,CNN,"128 filters, kernel size 3",0.76,0.8648648648648649,0.8533333333333334,0.8590604026845637,0.18518518518518517,0.2,0.1923076923076923
29,CNN,"256 filters, kernel size 7",0.8228571428571428,0.8606060606060606,0.9466666666666667,0.9015873015873016,0.2,0.08,0.11428571428571428
30,CNN,"256 filters, kernel size 5",0.8,0.8662420382165605,0.9066666666666666,0.8859934853420196,0.2222222222222222,0.16,0.18604651162790697
31,CNN,"256 filters, kernel size 3",0.7942857142857143,0.8607594936708861,0.9066666666666666,0.8831168831168831,0.17647058823529413,0.12,0.14285714285714282
