,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8516129032258064,0.8888888888888888,0.9481481481481482,0.9175627240143369,0.36363636363636365,0.2,0.25806451612903225
1,LSTM,200 layers,0.832258064516129,0.8865248226950354,0.9259259259259259,0.9057971014492754,0.2857142857142857,0.2,0.23529411764705882
2,LSTM,100 layers,0.8258064516129032,0.9090909090909091,0.8888888888888888,0.8988764044943819,0.34782608695652173,0.4,0.37209302325581395
3,LSTM,50 layers,0.8516129032258064,0.9057971014492754,0.9259259259259259,0.9157509157509157,0.4117647058823529,0.35,0.37837837837837834
4,CNN with Attention,"32 filters, kernel size 7",0.8193548387096774,0.8905109489051095,0.9037037037037037,0.8970588235294118,0.2777777777777778,0.25,0.2631578947368421
5,CNN with Attention,"32 filters, kernel size 5",0.8193548387096774,0.8848920863309353,0.9111111111111111,0.8978102189781022,0.25,0.2,0.22222222222222224
6,CNN with Attention,"32 filters, kernel size 3",0.8,0.8939393939393939,0.8740740740740741,0.8838951310861423,0.2608695652173913,0.3,0.27906976744186046
7,CNN with Attention,"64 filters, kernel size 7",0.8451612903225807,0.8992805755395683,0.9259259259259259,0.9124087591240877,0.375,0.3,0.33333333333333326
8,CNN with Attention,"64 filters, kernel size 5",0.8,0.8880597014925373,0.8814814814814815,0.8847583643122676,0.23809523809523808,0.25,0.24390243902439024
9,CNN with Attention,"64 filters, kernel size 3",0.8129032258064516,0.8955223880597015,0.8888888888888888,0.8921933085501859,0.2857142857142857,0.3,0.2926829268292683
10,CNN with Attention,"128 filters, kernel size 7",0.8129032258064516,0.8955223880597015,0.8888888888888888,0.8921933085501859,0.2857142857142857,0.3,0.2926829268292683
11,CNN with Attention,"128 filters, kernel size 5",0.8258064516129032,0.8913043478260869,0.9111111111111111,0.9010989010989011,0.29411764705882354,0.25,0.27027027027027023
12,CNN with Attention,"128 filters, kernel size 3",0.8387096774193549,0.8928571428571429,0.9259259259259259,0.9090909090909091,0.3333333333333333,0.25,0.28571428571428575
13,CNN with Attention,"256 filters, kernel size 7",0.832258064516129,0.8865248226950354,0.9259259259259259,0.9057971014492754,0.2857142857142857,0.2,0.23529411764705882
14,CNN with Attention,"256 filters, kernel size 5",0.8387096774193549,0.8873239436619719,0.9333333333333333,0.9097472924187726,0.3076923076923077,0.2,0.24242424242424246
15,CNN with Attention,"256 filters, kernel size 3",0.8064516129032258,0.8832116788321168,0.8962962962962963,0.8897058823529411,0.2222222222222222,0.2,0.2105263157894737
16,RNN,200 units,0.8580645161290322,0.900709219858156,0.9407407407407408,0.9202898550724639,0.42857142857142855,0.3,0.3529411764705882
17,RNN,150 units,0.864516129032258,0.88,0.9777777777777777,0.9263157894736842,0.4,0.1,0.16000000000000003
18,RNN,100 units,0.8774193548387097,0.9027777777777778,0.9629629629629629,0.931899641577061,0.5454545454545454,0.3,0.3870967741935483
19,RNN,50 units,0.7741935483870968,0.8731343283582089,0.8666666666666667,0.8698884758364313,0.14285714285714285,0.15,0.14634146341463414
20,CNN,"32 filters, kernel size 7",0.8064516129032258,0.8947368421052632,0.8814814814814815,0.8880597014925373,0.2727272727272727,0.3,0.28571428571428564
21,CNN,"32 filters, kernel size 5",0.7483870967741936,0.9067796610169492,0.7925925925925926,0.8458498023715416,0.24324324324324326,0.45,0.3157894736842105
22,CNN,"32 filters, kernel size 3",0.8064516129032258,0.9069767441860465,0.8666666666666667,0.8863636363636364,0.3076923076923077,0.4,0.34782608695652173
23,CNN,"64 filters, kernel size 7",0.7935483870967742,0.8872180451127819,0.8740740740740741,0.8805970149253732,0.22727272727272727,0.25,0.23809523809523808
24,CNN,"64 filters, kernel size 5",0.7870967741935484,0.9047619047619048,0.8444444444444444,0.8735632183908046,0.27586206896551724,0.4,0.32653061224489793
25,CNN,"64 filters, kernel size 3",0.8064516129032258,0.9007633587786259,0.8740740740740741,0.8872180451127819,0.2916666666666667,0.35,0.31818181818181823
26,CNN,"128 filters, kernel size 7",0.7870967741935484,0.8923076923076924,0.8592592592592593,0.8754716981132076,0.24,0.3,0.2666666666666666
27,CNN,"128 filters, kernel size 5",0.8,0.9,0.8666666666666667,0.8830188679245283,0.28,0.35,0.3111111111111111
28,CNN,"128 filters, kernel size 3",0.7870967741935484,0.8984375,0.8518518518518519,0.8745247148288974,0.25925925925925924,0.35,0.29787234042553196
29,CNN,"256 filters, kernel size 7",0.8064516129032258,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.25,0.25,0.25
30,CNN,"256 filters, kernel size 5",0.8064516129032258,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.25,0.25,0.25
31,CNN,"256 filters, kernel size 3",0.7741935483870968,0.890625,0.8444444444444444,0.8669201520912547,0.2222222222222222,0.3,0.25531914893617025
