,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8814814814814815,0.9140625,0.9590163934426229,0.9359999999999999,0.2857142857142857,0.15384615384615385,0.2
1,LSTM,200 layers,0.9259259259259259,0.9444444444444444,0.9754098360655737,0.9596774193548386,0.6666666666666666,0.46153846153846156,0.5454545454545455
2,LSTM,100 layers,0.8888888888888888,0.9083969465648855,0.9754098360655737,0.9407114624505928,0.25,0.07692307692307693,0.11764705882352941
3,LSTM,50 layers,0.9037037037037037,0.916030534351145,0.9836065573770492,0.9486166007905138,0.5,0.15384615384615385,0.23529411764705882
4,CNN with Attention,"32 filters, kernel size 7",0.9185185185185185,0.9172932330827067,1.0,0.9568627450980391,1.0,0.15384615384615385,0.2666666666666667
5,CNN with Attention,"32 filters, kernel size 5",0.9185185185185185,0.9302325581395349,0.9836065573770492,0.9561752988047808,0.6666666666666666,0.3076923076923077,0.42105263157894735
6,CNN with Attention,"32 filters, kernel size 3",0.9185185185185185,0.9236641221374046,0.9918032786885246,0.9565217391304348,0.75,0.23076923076923078,0.3529411764705882
7,CNN with Attention,"64 filters, kernel size 7",0.9259259259259259,0.9242424242424242,1.0,0.9606299212598425,1.0,0.23076923076923078,0.375
8,CNN with Attention,"64 filters, kernel size 5",0.9185185185185185,0.9172932330827067,1.0,0.9568627450980391,1.0,0.15384615384615385,0.2666666666666667
9,CNN with Attention,"64 filters, kernel size 3",0.9185185185185185,0.9236641221374046,0.9918032786885246,0.9565217391304348,0.75,0.23076923076923078,0.3529411764705882
10,CNN with Attention,"128 filters, kernel size 7",0.9259259259259259,0.9242424242424242,1.0,0.9606299212598425,1.0,0.23076923076923078,0.375
11,CNN with Attention,"128 filters, kernel size 5",0.9259259259259259,0.9307692307692308,0.9918032786885246,0.9603174603174605,0.8,0.3076923076923077,0.4444444444444444
12,CNN with Attention,"128 filters, kernel size 3",0.9185185185185185,0.9302325581395349,0.9836065573770492,0.9561752988047808,0.6666666666666666,0.3076923076923077,0.42105263157894735
13,CNN with Attention,"256 filters, kernel size 7",0.9259259259259259,0.9242424242424242,1.0,0.9606299212598425,1.0,0.23076923076923078,0.375
14,CNN with Attention,"256 filters, kernel size 5",0.9333333333333333,0.9312977099236641,1.0,0.9644268774703557,1.0,0.3076923076923077,0.47058823529411764
15,CNN with Attention,"256 filters, kernel size 3",0.9185185185185185,0.9172932330827067,1.0,0.9568627450980391,1.0,0.15384615384615385,0.2666666666666667
16,RNN,200 units,0.9185185185185185,0.9236641221374046,0.9918032786885246,0.9565217391304348,0.75,0.23076923076923078,0.3529411764705882
17,RNN,150 units,0.8814814814814815,0.9076923076923077,0.9672131147540983,0.9365079365079365,0.2,0.07692307692307693,0.1111111111111111
18,RNN,100 units,0.9111111111111111,0.9230769230769231,0.9836065573770492,0.9523809523809524,0.6,0.23076923076923078,0.33333333333333337
19,RNN,50 units,0.9185185185185185,0.9172932330827067,1.0,0.9568627450980391,1.0,0.15384615384615385,0.2666666666666667
20,CNN,"32 filters, kernel size 7",0.9259259259259259,0.9242424242424242,1.0,0.9606299212598425,1.0,0.23076923076923078,0.375
21,CNN,"32 filters, kernel size 5",0.9259259259259259,0.9307692307692308,0.9918032786885246,0.9603174603174605,0.8,0.3076923076923077,0.4444444444444444
22,CNN,"32 filters, kernel size 3",0.9259259259259259,0.9307692307692308,0.9918032786885246,0.9603174603174605,0.8,0.3076923076923077,0.4444444444444444
23,CNN,"64 filters, kernel size 7",0.9259259259259259,0.9242424242424242,1.0,0.9606299212598425,1.0,0.23076923076923078,0.375
24,CNN,"64 filters, kernel size 5",0.9111111111111111,0.9166666666666666,0.9918032786885246,0.952755905511811,0.6666666666666666,0.15384615384615385,0.25
25,CNN,"64 filters, kernel size 3",0.9185185185185185,0.9302325581395349,0.9836065573770492,0.9561752988047808,0.6666666666666666,0.3076923076923077,0.42105263157894735
26,CNN,"128 filters, kernel size 7",0.9259259259259259,0.9242424242424242,1.0,0.9606299212598425,1.0,0.23076923076923078,0.375
27,CNN,"128 filters, kernel size 5",0.9259259259259259,0.9307692307692308,0.9918032786885246,0.9603174603174605,0.8,0.3076923076923077,0.4444444444444444
28,CNN,"128 filters, kernel size 3",0.9185185185185185,0.9302325581395349,0.9836065573770492,0.9561752988047808,0.6666666666666666,0.3076923076923077,0.42105263157894735
29,CNN,"256 filters, kernel size 7",0.9259259259259259,0.9242424242424242,1.0,0.9606299212598425,1.0,0.23076923076923078,0.375
30,CNN,"256 filters, kernel size 5",0.9185185185185185,0.9236641221374046,0.9918032786885246,0.9565217391304348,0.75,0.23076923076923078,0.3529411764705882
31,CNN,"256 filters, kernel size 3",0.9185185185185185,0.9236641221374046,0.9918032786885246,0.9565217391304348,0.75,0.23076923076923078,0.3529411764705882
