,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.92,0.92,1.0,0.9583333333333334,0.0,0.0,0.0
1,LSTM,200 layers,0.92,0.92,1.0,0.9583333333333334,0.0,0.0,0.0
2,LSTM,100 layers,0.92,0.92,1.0,0.9583333333333334,0.0,0.0,0.0
3,LSTM,50 layers,0.92,0.92,1.0,0.9583333333333334,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.7866666666666666,0.9076923076923077,0.855072463768116,0.8805970149253731,0.0,0.0,0.0
5,CNN with Attention,"32 filters, kernel size 5",0.7733333333333333,0.90625,0.8405797101449275,0.8721804511278196,0.0,0.0,0.0
6,CNN with Attention,"32 filters, kernel size 3",0.7866666666666666,0.9076923076923077,0.855072463768116,0.8805970149253731,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.8,0.9090909090909091,0.8695652173913043,0.888888888888889,0.0,0.0,0.0
8,CNN with Attention,"64 filters, kernel size 5",0.72,0.9,0.782608695652174,0.8372093023255814,0.0,0.0,0.0
9,CNN with Attention,"64 filters, kernel size 3",0.84,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.0,0.0,0.0
10,CNN with Attention,"128 filters, kernel size 7",0.8266666666666667,0.9117647058823529,0.8985507246376812,0.9051094890510949,0.0,0.0,0.0
11,CNN with Attention,"128 filters, kernel size 5",0.8533333333333334,0.9142857142857143,0.927536231884058,0.920863309352518,0.0,0.0,0.0
12,CNN with Attention,"128 filters, kernel size 3",0.92,0.92,1.0,0.9583333333333334,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.8666666666666667,0.9154929577464789,0.9420289855072463,0.9285714285714286,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.92,0.92,1.0,0.9583333333333334,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.9066666666666666,0.918918918918919,0.9855072463768116,0.951048951048951,0.0,0.0,0.0
16,RNN,200 units,0.88,0.9166666666666666,0.9565217391304348,0.9361702127659574,0.0,0.0,0.0
17,RNN,150 units,0.6666666666666666,0.8928571428571429,0.7246376811594203,0.8,0.0,0.0,0.0
18,RNN,100 units,0.8533333333333334,0.9142857142857143,0.927536231884058,0.920863309352518,0.0,0.0,0.0
19,RNN,50 units,0.9066666666666666,0.918918918918919,0.9855072463768116,0.951048951048951,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.8,0.9090909090909091,0.8695652173913043,0.888888888888889,0.0,0.0,0.0
21,CNN,"32 filters, kernel size 5",0.8933333333333333,0.9178082191780822,0.9710144927536232,0.943661971830986,0.0,0.0,0.0
22,CNN,"32 filters, kernel size 3",0.8533333333333334,0.9142857142857143,0.927536231884058,0.920863309352518,0.0,0.0,0.0
23,CNN,"64 filters, kernel size 7",0.8666666666666667,0.9154929577464789,0.9420289855072463,0.9285714285714286,0.0,0.0,0.0
24,CNN,"64 filters, kernel size 5",0.9066666666666666,0.918918918918919,0.9855072463768116,0.951048951048951,0.0,0.0,0.0
25,CNN,"64 filters, kernel size 3",0.92,0.92,1.0,0.9583333333333334,0.0,0.0,0.0
26,CNN,"128 filters, kernel size 7",0.88,0.9166666666666666,0.9565217391304348,0.9361702127659574,0.0,0.0,0.0
27,CNN,"128 filters, kernel size 5",0.92,0.92,1.0,0.9583333333333334,0.0,0.0,0.0
28,CNN,"128 filters, kernel size 3",0.92,0.92,1.0,0.9583333333333334,0.0,0.0,0.0
29,CNN,"256 filters, kernel size 7",0.9066666666666666,0.918918918918919,0.9855072463768116,0.951048951048951,0.0,0.0,0.0
30,CNN,"256 filters, kernel size 5",0.8666666666666667,0.9154929577464789,0.9420289855072463,0.9285714285714286,0.0,0.0,0.0
31,CNN,"256 filters, kernel size 3",0.8266666666666667,0.9117647058823529,0.8985507246376812,0.9051094890510949,0.0,0.0,0.0
