,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9517241379310345,0.9714285714285714,0.9784172661870504,0.974910394265233,0.4,0.3333333333333333,0.3636363636363636
1,LSTM,200 layers,0.9655172413793104,0.971830985915493,0.9928057553956835,0.9822064056939502,0.6666666666666666,0.3333333333333333,0.4444444444444444
2,LSTM,100 layers,0.9586206896551724,0.965034965034965,0.9928057553956835,0.9787234042553192,0.5,0.16666666666666666,0.25
3,LSTM,50 layers,0.9655172413793104,0.9652777777777778,1.0,0.9823321554770319,1.0,0.16666666666666666,0.2857142857142857
4,CNN with Attention,"32 filters, kernel size 7",0.9517241379310345,0.9583333333333334,0.9928057553956835,0.9752650176678445,0.0,0.0,0.0
5,CNN with Attention,"32 filters, kernel size 5",0.9586206896551724,0.965034965034965,0.9928057553956835,0.9787234042553192,0.5,0.16666666666666666,0.25
6,CNN with Attention,"32 filters, kernel size 3",0.9448275862068966,0.9645390070921985,0.9784172661870504,0.9714285714285714,0.25,0.16666666666666666,0.2
7,CNN with Attention,"64 filters, kernel size 7",0.9517241379310345,0.9583333333333334,0.9928057553956835,0.9752650176678445,0.0,0.0,0.0
8,CNN with Attention,"64 filters, kernel size 5",0.9655172413793104,0.971830985915493,0.9928057553956835,0.9822064056939502,0.6666666666666666,0.3333333333333333,0.4444444444444444
9,CNN with Attention,"64 filters, kernel size 3",0.9517241379310345,0.9647887323943662,0.9856115107913669,0.9750889679715302,0.3333333333333333,0.16666666666666666,0.2222222222222222
10,CNN with Attention,"128 filters, kernel size 7",0.9586206896551724,0.965034965034965,0.9928057553956835,0.9787234042553192,0.5,0.16666666666666666,0.25
11,CNN with Attention,"128 filters, kernel size 5",0.9655172413793104,0.9785714285714285,0.9856115107913669,0.9820788530465949,0.6,0.5,0.5454545454545454
12,CNN with Attention,"128 filters, kernel size 3",0.9448275862068966,0.958041958041958,0.9856115107913669,0.9716312056737588,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.9586206896551724,0.9586206896551724,1.0,0.9788732394366197,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.9655172413793104,0.971830985915493,0.9928057553956835,0.9822064056939502,0.6666666666666666,0.3333333333333333,0.4444444444444444
15,CNN with Attention,"256 filters, kernel size 3",0.9517241379310345,0.9647887323943662,0.9856115107913669,0.9750889679715302,0.3333333333333333,0.16666666666666666,0.2222222222222222
16,RNN,200 units,0.9379310344827586,0.9642857142857143,0.9712230215827338,0.967741935483871,0.2,0.16666666666666666,0.1818181818181818
17,RNN,150 units,0.9517241379310345,0.9583333333333334,0.9928057553956835,0.9752650176678445,0.0,0.0,0.0
18,RNN,100 units,0.9517241379310345,0.9647887323943662,0.9856115107913669,0.9750889679715302,0.3333333333333333,0.16666666666666666,0.2222222222222222
19,RNN,50 units,0.9448275862068966,0.9712230215827338,0.9712230215827338,0.9712230215827338,0.3333333333333333,0.3333333333333333,0.3333333333333333
20,CNN,"32 filters, kernel size 7",0.9586206896551724,0.965034965034965,0.9928057553956835,0.9787234042553192,0.5,0.16666666666666666,0.25
21,CNN,"32 filters, kernel size 5",0.9586206896551724,0.9784172661870504,0.9784172661870504,0.9784172661870504,0.5,0.5,0.5
22,CNN,"32 filters, kernel size 3",0.9586206896551724,0.965034965034965,0.9928057553956835,0.9787234042553192,0.5,0.16666666666666666,0.25
23,CNN,"64 filters, kernel size 7",0.9517241379310345,0.9583333333333334,0.9928057553956835,0.9752650176678445,0.0,0.0,0.0
24,CNN,"64 filters, kernel size 5",0.9586206896551724,0.9784172661870504,0.9784172661870504,0.9784172661870504,0.5,0.5,0.5
25,CNN,"64 filters, kernel size 3",0.9517241379310345,0.9714285714285714,0.9784172661870504,0.974910394265233,0.4,0.3333333333333333,0.3636363636363636
26,CNN,"128 filters, kernel size 7",0.9586206896551724,0.9716312056737588,0.9856115107913669,0.9785714285714285,0.5,0.3333333333333333,0.4
27,CNN,"128 filters, kernel size 5",0.9517241379310345,0.9714285714285714,0.9784172661870504,0.974910394265233,0.4,0.3333333333333333,0.3636363636363636
28,CNN,"128 filters, kernel size 3",0.9586206896551724,0.9716312056737588,0.9856115107913669,0.9785714285714285,0.5,0.3333333333333333,0.4
29,CNN,"256 filters, kernel size 7",0.9586206896551724,0.9716312056737588,0.9856115107913669,0.9785714285714285,0.5,0.3333333333333333,0.4
30,CNN,"256 filters, kernel size 5",0.9655172413793104,0.9785714285714285,0.9856115107913669,0.9820788530465949,0.6,0.5,0.5454545454545454
31,CNN,"256 filters, kernel size 3",0.9517241379310345,0.9714285714285714,0.9784172661870504,0.974910394265233,0.4,0.3333333333333333,0.3636363636363636
