Date,ship_count,popular_port,popular_port_count
2020-11-10,8,LTKLJ,18
2020-11-12,20,IDSKP,8
2020-11-29,9,CNSHA,2
2020-12-15,9,DEBRV,2
2020-12-17,14,CNNSA,16
2020-12-22,12,CNDYN,14
2020-12-25,8,AEAMF,2
2021-01-15,16,IDBOJ,4
2021-02-10,14,NOEGE,7
2021-02-13,16,CLPMC,4
2021-02-18,20,UAIZM,4
2021-03-07,16,NZAKL,2
2021-03-10,24,USMSY,10
2021-03-30,27,PAPCN,17
2021-04-06,18,CNNGB,5
2021-04-15,28,TWKHH,4
2021-05-20,28,FRDKK,8
2021-06-17,28,CNSHA,21
2021-07-01,35,UAYUZ,6
2021-07-18,50,TWKHH,13
2021-08-05,50,LBBEY,17
2021-08-06,39,ESRBI,16
2021-08-30,105,USMSY,13
2021-09-06,114,ESPMI,81
2021-09-23,104,HRSPU,17
2021-09-30,120,ITNAP,46
2021-10-09,202,GRNAF,23
2021-10-19,195,GRPIR,56
2021-10-23,223,GRPIR,91
2021-10-25,207,ESPMI,66
2021-10-27,208,GRPIR,145
2021-11-03,289,MTMLA,44
2021-11-15,225,ITNAP,31
2021-12-23,1732,CNZOS,269
2022-01-18,24126,USMSY,8589
2022-01-20,24534,SGSIN,8442
2022-02-19,21199,USMSY,7909
2022-03-02,27598,USMSY,8792
2022-03-04,26302,NLRTM,8545
2022-03-21,26172,NLRTM,8730
2022-03-30,28076,NLRTM,8853
2022-04-04,26270,USMSY,8639
2022-05-04,26116,NLRTM,8516
2022-05-17,28032,NLRTM,8885
2022-06-01,29598,NLRTM,9135
2022-06-07,28589,SGSIN,8681
2022-07-04,31174,NLRTM,8375
2022-07-08,30924,SGSIN,8638
2022-07-23,29146,SGSIN,8655
2022-07-30,28926,SGSIN,8230
2022-09-03,27334,SGSIN,7833
2022-09-07,33047,SGSIN,8518
2022-10-05,31322,NLRTM,8848
2022-10-07,29533,SGSIN,8255
2022-10-13,32677,NLRTM,8537
2022-10-24,32476,NLRTM,8237
2022-10-29,30365,SGSIN,9022
2022-11-04,31156,NLRTM,8430
2022-11-09,31939,SGSIN,8689
2022-11-23,31496,SGSIN,9066
2022-11-27,31731,SGSIN,8718
2022-12-14,31329,SGSIN,8898
2020-10-18,26,GBTRN,9
2020-10-20,19,GRPIR,8
2020-10-21,20,USHOU,32
2020-10-24,18,ITLIV,7
2020-10-29,28,CNSHD,5
2020-11-15,12,CNLKU,4
2020-11-19,16,NLRTM,4
2020-12-12,10,CNSHA,1
2020-12-16,17,CNTNG,8
2021-01-11,12,NLAMS,2
2021-01-12,12,PACTB,18
2021-03-04,20,NLAMS,8
2021-04-19,31,TWKHH,9
2021-04-21,24,PTAVE,6
2021-04-25,28,CNSHD,16
2021-06-03,28,NLSCI,8
2021-06-26,34,NLAMS,18
2021-07-07,31,NLRTM,8
2021-09-04,98,GRPIR,41
2021-09-10,90,GRPIR,14
2021-10-10,204,ESPMI,47
2021-10-24,257,GRPIR,59
2021-11-02,231,TRIST,40
2021-11-18,319,CNZOS,26
2021-11-19,278,CNSHA,25
2021-12-03,432,TRATV,85
2021-12-06,442,NOHSS,70
2021-12-08,518,CNZOS,80
2021-12-24,1013,CNCAN,119
2021-12-28,3323,BEANR,421
2022-01-02,21463,SGSIN,7201
2022-01-17,24844,NLRTM,8812
2022-03-10,27590,NLRTM,8964
2022-03-11,25744,NLRTM,8957
2022-03-16,26387,NLRTM,8845
