mmsi|arrival_time|arrival_port|origin_country|destination_country|Country of Origin|Country of Destination|Date
416257000|2022-09-21T09:35:14.000+05:30|VNHPH|China|Vietnam|China|Vietnam|2022-09-21T00:00:00.000+05:30
416257000|2022-09-21T09:35:14.000+05:30|VNHPH|China|Vietnam|China|Vietnam|2022-09-21T00:00:00.000+05:30
416257000|2022-10-13T03:48:11.230+05:30|VNHPH|China|Vietnam|China|Vietnam|2022-10-13T00:00:00.000+05:30
416257000|2022-11-11T01:40:05.000+05:30|VNHPH|China|Vietnam|China|Vietnam|2022-11-11T00:00:00.000+05:30
477002200|2022-04-07T04:40:04.000+05:30|VNCMT|China|Vietnam|China|Vietnam|2022-04-07T00:00:00.000+05:30
538007190|2022-03-31T22:25:03.000+05:30|INNML|China|India|China|India|2022-03-31T00:00:00.000+05:30
636016852|2022-06-01T03:39:05.000+05:30|ITLIV|China|Italy|China|Italy|2022-06-01T00:00:00.000+05:30
636019115|2022-04-25T16:03:48.980+05:30|INKRI|China|India|China|India|2022-04-25T00:00:00.000+05:30
636019115|2022-04-25T16:03:48.980+05:30|INKRI|China|India|China|India|2022-04-25T00:00:00.000+05:30
636019115|2022-04-25T16:03:48.980+05:30|INKRI|China|India|China|India|2022-04-25T00:00:00.000+05:30
210528000|2022-05-27T13:00:09.000+05:30|INVTZ|China|India|China|India|2022-05-27T00:00:00.000+05:30
353511000|2022-10-05T22:41:16.000+05:30|INKRI|China|India|China|India|2022-10-05T00:00:00.000+05:30
414072000|2022-05-29T14:40:21.000+05:30|INVTZ|China|India|China|India|2022-05-29T00:00:00.000+05:30
414072000|2022-05-29T14:40:21.000+05:30|INVTZ|China|India|China|India|2022-05-29T00:00:00.000+05:30
414072000|2022-05-29T14:40:21.000+05:30|INVTZ|China|India|China|India|2022-05-29T00:00:00.000+05:30
414072000|2022-05-29T14:40:21.000+05:30|INVTZ|China|India|China|India|2022-05-29T00:00:00.000+05:30
414072000|2022-05-29T14:40:21.000+05:30|INVTZ|China|India|China|India|2022-05-29T00:00:00.000+05:30
414768000|2022-03-11T05:21:10.640+05:30|VNNGH|China|Vietnam|China|Vietnam|2022-03-11T00:00:00.000+05:30
414768000|2022-03-11T05:21:10.640+05:30|VNNGH|China|Vietnam|China|Vietnam|2022-03-11T00:00:00.000+05:30
414768000|2022-03-11T05:21:10.640+05:30|VNNGH|China|Vietnam|China|Vietnam|2022-03-11T00:00:00.000+05:30
477230200|2022-07-26T05:25:03.000+05:30|MXZLO|China|Mexico|China|Mexico|2022-07-26T00:00:00.000+05:30
