"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 21, 2023","20,600.00","20,600.00","20,850.00","20,350.00","-","0.00%"
"Dec 20, 2023","20,600.00","20,600.00","20,850.00","20,350.00","-","0.00%"
"Dec 19, 2023","20,600.00","20,600.00","20,850.00","20,350.00","-","-0.24%"
"Dec 18, 2023","20,650.00","20,650.00","20,900.00","20,400.00","-","0.00%"
"Dec 15, 2023","20,650.00","20,650.00","20,900.00","20,400.00","-","-0.24%"
"Dec 14, 2023","20,700.00","20,700.00","20,950.00","20,450.00","-","0.00%"
"Dec 13, 2023","20,700.00","20,700.00","20,950.00","20,450.00","-","-0.24%"
"Dec 12, 2023","20,750.00","20,750.00","21,000.00","20,500.00","-","0.00%"
"Dec 11, 2023","20,750.00","20,750.00","21,000.00","20,500.00","-","0.00%"
"Dec 08, 2023","20,750.00","20,750.00","21,000.00","20,500.00","-","0.00%"
"Dec 07, 2023","20,750.00","20,750.00","21,000.00","20,500.00","-","0.00%"
"Dec 06, 2023","20,750.00","20,750.00","21,000.00","20,500.00","-","0.24%"
"Dec 05, 2023","20,700.00","20,700.00","20,950.00","20,450.00","-","0.00%"
"Dec 04, 2023","20,700.00","20,700.00","20,950.00","20,450.00","-","0.00%"
"Dec 01, 2023","20,700.00","20,700.00","20,950.00","20,450.00","-","-0.48%"
"Nov 30, 2023","20,800.00","20,800.00","21,050.00","20,550.00","-","-0.48%"
"Nov 29, 2023","20,900.00","20,900.00","21,150.00","20,650.00","-","0.00%"
"Nov 28, 2023","20,900.00","20,900.00","21,150.00","20,650.00","-","0.48%"
"Nov 27, 2023","20,800.00","20,800.00","21,050.00","20,550.00","-","0.24%"
"Nov 24, 2023","20,750.00","20,750.00","21,000.00","20,500.00","-","-0.48%"
"Nov 23, 2023","20,850.00","20,850.00","21,100.00","20,600.00","-","-0.48%"
"Nov 22, 2023","20,950.00","20,950.00","21,200.00","20,700.00","-","0.72%"
"Nov 21, 2023","20,800.00","20,800.00","21,050.00","20,550.00","-","0.24%"
"Nov 20, 2023","20,750.00","20,750.00","21,000.00","20,500.00","-","0.48%"
"Nov 17, 2023","20,650.00","20,650.00","20,900.00","20,400.00","-","0.00%"
"Nov 16, 2023","20,650.00","20,650.00","20,900.00","20,400.00","-","0.00%"
"Nov 15, 2023","20,650.00","20,650.00","20,900.00","20,400.00","-","-0.48%"
"Nov 14, 2023","20,750.00","20,750.00","21,000.00","20,500.00","-","-0.48%"
"Nov 13, 2023","20,850.00","20,850.00","21,100.00","20,600.00","-","-1.42%"
"Nov 10, 2023","21,150.00","21,150.00","21,400.00","20,900.00","-","-0.94%"
"Nov 09, 2023","21,350.00","21,350.00","21,600.00","21,100.00","-","-0.47%"
"Nov 08, 2023","21,450.00","21,450.00","21,700.00","21,200.00","-","0.94%"
"Nov 07, 2023","21,250.00","21,250.00","21,500.00","21,000.00","-","0.00%"
"Nov 06, 2023","21,250.00","21,250.00","21,500.00","21,000.00","-","-0.93%"
"Nov 03, 2023","21,450.00","21,450.00","21,700.00","21,200.00","-","0.00%"
"Nov 02, 2023","21,450.00","21,450.00","21,700.00","21,200.00","-","1.42%"
"Nov 01, 2023","21,150.00","21,150.00","21,400.00","20,900.00","-","0.48%"
"Oct 31, 2023","21,050.00","21,050.00","21,300.00","20,800.00","-","-0.94%"
"Oct 30, 2023","21,250.00","21,250.00","21,500.00","21,000.00","-","-2.75%"
"Oct 27, 2023","21,850.00","21,850.00","22,100.00","21,600.00","-","0.00%"
"Oct 26, 2023","21,850.00","21,850.00","22,100.00","21,600.00","-","0.46%"
"Oct 25, 2023","21,750.00","21,750.00","22,000.00","21,500.00","-","0.93%"
"Oct 24, 2023","21,550.00","21,550.00","21,800.00","21,300.00","-","-3.15%"
"Oct 23, 2023","22,250.00","22,250.00","22,500.00","22,000.00","-","-3.05%"
"Oct 20, 2023","22,950.00","22,950.00","23,200.00","22,700.00","-","-0.86%"
"Oct 19, 2023","23,150.00","23,150.00","23,400.00","22,900.00","-","-0.43%"
"Oct 18, 2023","23,250.00","23,250.00","23,500.00","23,000.00","-","-1.27%"
"Oct 17, 2023","23,550.00","23,550.00","23,800.00","23,300.00","-","-1.26%"
"Oct 16, 2023","23,850.00","23,850.00","24,100.00","23,600.00","-","-1.24%"
"Oct 13, 2023","24,150.00","24,150.00","24,400.00","23,900.00","-","-0.41%"
"Oct 12, 2023","24,250.00","24,250.00","24,500.00","24,000.00","-","-0.41%"
"Oct 11, 2023","24,350.00","24,350.00","24,600.00","24,100.00","-","-0.41%"
"Oct 10, 2023","24,450.00","24,450.00","24,700.00","24,200.00","-","-0.41%"
"Oct 09, 2023","24,550.00","24,550.00","24,800.00","24,300.00","-","-0.41%"
"Sep 27, 2023","24,650.00","24,650.00","24,900.00","24,400.00","-","0.00%"
"Sep 26, 2023","24,650.00","24,650.00","24,900.00","24,400.00","-","-0.40%"
"Sep 25, 2023","24,750.00","24,750.00","25,000.00","24,500.00","-","0.00%"
"Sep 22, 2023","24,750.00","24,750.00","25,000.00","24,500.00","-","-0.40%"
"Sep 21, 2023","24,850.00","24,850.00","25,100.00","24,600.00","-","0.00%"
"Sep 20, 2023","24,850.00","24,850.00","25,100.00","24,600.00","-","0.40%"
"Sep 19, 2023","24,750.00","24,750.00","25,000.00","24,500.00","-","0.81%"
"Sep 18, 2023","24,550.00","24,550.00","24,800.00","24,300.00","-","0.41%"
"Sep 14, 2023","24,450.00","24,450.00","24,700.00","24,200.00","-","1.66%"
"Sep 13, 2023","24,050.00","24,050.00","24,300.00","23,800.00","-","0.00%"
"Sep 12, 2023","24,050.00","24,050.00","24,300.00","23,800.00","-","-0.82%"
"Sep 11, 2023","24,250.00","24,250.00","24,500.00","24,000.00","-","0.00%"
"Sep 08, 2023","24,250.00","24,250.00","24,500.00","24,000.00","-","0.00%"
"Sep 07, 2023","24,250.00","24,250.00","24,500.00","24,000.00","-","2.97%"
"Sep 06, 2023","23,550.00","23,550.00","23,800.00","23,300.00","-","1.73%"
"Sep 05, 2023","23,150.00","23,150.00","23,400.00","22,900.00","-","0.87%"
"Sep 04, 2023","22,950.00","22,950.00","23,200.00","22,700.00","-","0.00%"
"Sep 01, 2023","22,950.00","22,950.00","23,200.00","22,700.00","-","0.00%"
"Aug 31, 2023","22,950.00","22,950.00","23,200.00","22,700.00","-","1.32%"
"Aug 30, 2023","22,650.00","22,650.00","22,900.00","22,400.00","-","0.00%"
"Aug 29, 2023","22,650.00","22,650.00","22,900.00","22,400.00","-","-0.44%"
"Aug 28, 2023","22,750.00","22,750.00","23,000.00","22,500.00","-","-0.44%"
"Aug 25, 2023","22,850.00","22,850.00","23,100.00","22,600.00","-","-0.44%"
"Aug 24, 2023","22,950.00","22,950.00","23,200.00","22,700.00","-","0.00%"
"Aug 23, 2023","22,950.00","22,950.00","23,200.00","22,700.00","-","0.44%"
"Aug 22, 2023","22,850.00","22,850.00","23,100.00","22,600.00","-","2.70%"
"Aug 21, 2023","22,250.00","22,250.00","22,500.00","22,000.00","-","0.45%"
"Aug 18, 2023","22,150.00","22,150.00","22,400.00","21,900.00","-","0.00%"
"Aug 17, 2023","22,150.00","22,150.00","22,400.00","21,900.00","-","0.00%"
"Aug 16, 2023","22,150.00","22,150.00","22,400.00","21,900.00","-","0.91%"
"Aug 15, 2023","21,950.00","21,950.00","22,200.00","21,700.00","-","0.69%"
"Aug 14, 2023","21,800.00","21,800.00","22,050.00","21,550.00","-","-0.23%"
"Aug 11, 2023","21,850.00","21,850.00","22,100.00","21,600.00","-","-0.46%"
"Aug 10, 2023","21,950.00","21,950.00","22,200.00","21,700.00","-","0.00%"
"Aug 09, 2023","21,950.00","21,950.00","22,200.00","21,700.00","-","0.00%"
"Aug 08, 2023","21,950.00","21,950.00","22,200.00","21,700.00","-","1.86%"
"Aug 07, 2023","21,550.00","21,550.00","21,800.00","21,300.00","-","1.41%"
"Aug 04, 2023","21,250.00","21,250.00","21,500.00","21,000.00","-","0.47%"
"Aug 03, 2023","21,150.00","21,150.00","21,400.00","20,900.00","-","0.24%"
"Aug 02, 2023","21,100.00","21,100.00","21,350.00","20,850.00","-","-0.24%"
"Aug 01, 2023","21,150.00","21,150.00","21,400.00","20,900.00","-","-0.47%"
"Jul 31, 2023","21,250.00","21,250.00","21,500.00","21,000.00","-","-0.70%"
"Jul 28, 2023","21,400.00","21,400.00","21,650.00","21,150.00","-","-0.23%"
"Jul 27, 2023","21,450.00","21,450.00","21,700.00","21,200.00","-","0.00%"
"Jul 26, 2023","21,450.00","21,450.00","21,700.00","21,200.00","-","0.94%"
"Jul 25, 2023","21,250.00","21,250.00","21,500.00","21,000.00","-","0.95%"
"Jul 24, 2023","21,050.00","21,050.00","21,300.00","20,800.00","-","0.48%"
"Jul 21, 2023","20,950.00","20,950.00","21,200.00","20,700.00","-","0.00%"
"Jul 20, 2023","20,950.00","20,950.00","21,200.00","20,700.00","-","0.00%"
"Jul 19, 2023","20,950.00","20,950.00","21,200.00","20,700.00","-","-0.24%"
"Jul 18, 2023","21,000.00","21,000.00","21,250.00","20,750.00","-","-0.71%"
"Jul 17, 2023","21,150.00","21,150.00","21,400.00","20,900.00","-","0.00%"
"Jul 14, 2023","21,150.00","21,150.00","21,400.00","20,900.00","-","0.24%"
"Jul 13, 2023","21,100.00","21,100.00","21,350.00","20,850.00","-","0.48%"
"Jul 12, 2023","21,000.00","21,000.00","21,250.00","20,750.00","-","0.96%"
"Jul 11, 2023","20,800.00","20,800.00","21,050.00","20,550.00","-","-0.24%"
"Jul 10, 2023","20,850.00","20,850.00","21,100.00","20,600.00","-","-0.48%"
"Jul 07, 2023","20,950.00","20,950.00","21,200.00","20,700.00","-","-0.48%"
"Jul 06, 2023","21,050.00","21,050.00","21,300.00","20,800.00","-","0.00%"
"Jul 05, 2023","21,050.00","21,050.00","21,300.00","20,800.00","-","1.94%"
"Jul 04, 2023","20,650.00","20,650.00","20,900.00","20,400.00","-","0.49%"
"Jul 03, 2023","20,550.00","20,550.00","20,800.00","20,300.00","-","-0.24%"
"Jun 30, 2023","20,600.00","20,600.00","20,850.00","20,350.00","-","-0.24%"
"Jun 29, 2023","20,650.00","20,650.00","20,900.00","20,400.00","-","-0.24%"
"Jun 28, 2023","20,700.00","20,700.00","20,950.00","20,450.00","-","-0.24%"
"Jun 27, 2023","20,750.00","20,750.00","21,000.00","20,500.00","-","0.00%"
"Jun 26, 2023","20,750.00","20,750.00","21,000.00","20,500.00","-","2.47%"
"Jun 21, 2023","20,250.00","20,250.00","20,500.00","20,000.00","-","0.00%"
"Jun 20, 2023","20,250.00","20,250.00","20,500.00","20,000.00","-","0.00%"
"Jun 19, 2023","20,250.00","20,250.00","20,500.00","20,000.00","-","-0.49%"
"Jun 16, 2023","20,350.00","20,350.00","20,600.00","20,100.00","-","-0.49%"
"Jun 15, 2023","20,450.00","20,450.00","20,700.00","20,200.00","-","-0.49%"
"Jun 14, 2023","20,550.00","20,550.00","20,800.00","20,300.00","-","0.00%"
"Jun 13, 2023","20,550.00","20,550.00","20,800.00","20,300.00","-","-0.48%"
"Jun 12, 2023","20,650.00","20,650.00","20,900.00","20,400.00","-","0.00%"
"Jun 09, 2023","20,650.00","20,650.00","20,900.00","20,400.00","-","-0.48%"
"Jun 08, 2023","20,750.00","20,750.00","21,000.00","20,500.00","-","0.00%"
"Jun 07, 2023","20,750.00","20,750.00","21,000.00","20,500.00","-","-1.43%"
"Jun 06, 2023","21,050.00","21,050.00","21,300.00","20,800.00","-","-2.32%"
"Jun 05, 2023","21,550.00","21,550.00","21,800.00","21,300.00","-","-1.82%"
"Jun 02, 2023","21,950.00","21,950.00","22,200.00","21,700.00","-","0.00%"
"Jun 01, 2023","21,950.00","21,950.00","22,200.00","21,700.00","-","0.92%"
"May 31, 2023","21,750.00","21,750.00","22,000.00","21,500.00","-","0.00%"
"May 30, 2023","21,750.00","21,750.00","22,000.00","21,500.00","-","-1.81%"
"May 29, 2023","22,150.00","22,150.00","22,400.00","21,900.00","-","-2.64%"
"May 26, 2023","22,750.00","22,750.00","23,000.00","22,500.00","-","-2.99%"
"May 25, 2023","23,450.00","23,450.00","23,700.00","23,200.00","-","-2.90%"
"May 24, 2023","24,150.00","24,150.00","24,400.00","23,900.00","-","-0.82%"
"May 23, 2023","24,350.00","24,350.00","24,600.00","24,100.00","-","-1.22%"
"May 22, 2023","24,650.00","24,650.00","24,900.00","24,400.00","-","-1.60%"
"May 19, 2023","25,050.00","25,050.00","25,300.00","24,800.00","-","-0.79%"
"May 18, 2023","25,250.00","25,250.00","25,500.00","25,000.00","-","-1.94%"
"May 17, 2023","25,750.00","25,750.00","26,000.00","25,500.00","-","-1.90%"
"May 16, 2023","26,250.00","26,250.00","26,500.00","26,000.00","-","-1.13%"
"May 15, 2023","26,550.00","26,550.00","26,800.00","26,300.00","-","0.00%"
"May 12, 2023","26,550.00","26,550.00","26,800.00","26,300.00","-","0.00%"
"May 11, 2023","26,550.00","26,550.00","26,800.00","26,300.00","-","0.00%"
"May 10, 2023","26,550.00","26,550.00","26,800.00","26,300.00","-","3.11%"
"May 09, 2023","25,750.00","25,750.00","26,000.00","25,500.00","-","4.46%"
