,Date,Price,Open,High,Low,Vol.,Change %
0,"Dec 29, 2023",15.8,15.8,15.9,15.7,,0.00%
1,"Dec 28, 2023",15.8,15.8,15.9,15.7,,0.00%
2,"Dec 27, 2023",15.8,15.8,15.9,15.7,,0.00%
3,"Dec 26, 2023",15.8,15.8,15.9,15.7,,0.00%
4,"Dec 25, 2023",15.8,15.8,15.9,15.7,,0.00%
5,"Dec 22, 2023",15.8,15.8,15.9,15.7,,0.00%
6,"Dec 21, 2023",15.8,15.8,15.9,15.7,,0.00%
7,"Dec 20, 2023",15.8,15.8,15.9,15.7,,-1.86%
8,"Dec 19, 2023",16.1,16.1,16.2,16.0,,0.00%
9,"Dec 18, 2023",16.1,16.1,16.2,16.0,,0.00%
10,"Dec 15, 2023",16.1,16.1,16.2,16.0,,-2.42%
11,"Dec 14, 2023",16.5,16.5,16.6,16.4,,0.00%
12,"Dec 13, 2023",16.5,16.5,16.6,16.4,,-1.20%
13,"Dec 12, 2023",16.7,16.7,16.8,16.6,,0.00%
14,"Dec 11, 2023",16.7,16.7,16.8,16.6,,0.00%
15,"Dec 08, 2023",16.7,16.7,16.8,16.6,,-0.60%
16,"Dec 07, 2023",16.8,16.8,16.9,16.7,,0.00%
17,"Dec 06, 2023",16.8,16.8,16.9,16.7,,0.00%
18,"Dec 05, 2023",16.8,16.8,16.9,16.7,,-0.59%
19,"Dec 04, 2023",16.9,16.9,17.0,16.8,,0.00%
20,"Dec 01, 2023",16.9,16.9,17.0,16.8,,-2.31%
21,"Nov 30, 2023",17.3,17.3,17.4,17.2,,0.00%
22,"Nov 29, 2023",17.3,17.3,17.4,17.2,,0.00%
23,"Nov 28, 2023",17.3,17.3,17.4,17.2,,0.00%
24,"Nov 27, 2023",17.3,17.3,17.4,17.2,,0.00%
25,"Nov 24, 2023",17.3,17.3,17.4,17.2,,-0.57%
26,"Nov 23, 2023",17.4,17.4,17.5,17.3,,-1.69%
27,"Nov 22, 2023",17.7,17.7,17.8,17.6,,0.00%
28,"Nov 21, 2023",17.7,17.7,17.8,17.6,,0.00%
29,"Nov 20, 2023",17.7,17.7,17.8,17.6,,0.00%
