,Date,Price
0,"Dec 30, 2022",3.8055
1,"Dec 29, 2022",3.8210
2,"Dec 28, 2022",3.8320
3,"Dec 27, 2022",3.8335
4,"Dec 23, 2022",3.8030
5,"Dec 22, 2022",3.7515
6,"Dec 21, 2022",3.8060
7,"Dec 20, 2022",3.7975
8,"Dec 19, 2022",3.7830
9,"Dec 16, 2022",3.7615
10,"Dec 15, 2022",3.7630
11,"Dec 14, 2022",3.8750
12,"Dec 13, 2022",3.8395
13,"Dec 12, 2022",3.7985
14,"Dec 09, 2022",3.8760
15,"Dec 08, 2022",3.8805
16,"Dec 07, 2022",3.8555
17,"Dec 06, 2022",3.8115
18,"Dec 05, 2022",3.7895
19,"Dec 02, 2022",3.8480
20,"Dec 01, 2022",3.8140
21,"Nov 30, 2022",3.7295
22,"Nov 29, 2022",3.6300
23,"Nov 28, 2022",3.6105
24,"Nov 25, 2022",3.6265
25,"Nov 23, 2022",3.6175
26,"Nov 22, 2022",3.6145
27,"Nov 21, 2022",3.5715
28,"Nov 18, 2022",3.6320
29,"Nov 17, 2022",3.6895
30,"Nov 16, 2022",3.7880
31,"Nov 15, 2022",3.8395
32,"Nov 14, 2022",3.8550
33,"Nov 11, 2022",3.9510
34,"Nov 10, 2022",3.7960
35,"Nov 09, 2022",3.7415
36,"Nov 08, 2022",3.7055
37,"Nov 07, 2022",3.6295
38,"Nov 03, 2022",3.7145
39,"Nov 02, 2022",3.4565
40,"Nov 01, 2022",3.5055
41,"Oct 31, 2022",3.5095
42,"Oct 30, 2022",3.4135
43,"Oct 27, 2022",3.4660
44,"Oct 26, 2022",3.6255
45,"Oct 25, 2022",3.6295
46,"Oct 24, 2022",3.4505
47,"Oct 23, 2022",3.4795
48,"Oct 20, 2022",3.5230
49,"Oct 19, 2022",3.4510
50,"Oct 18, 2022",3.3605
51,"Oct 17, 2022",3.4065
52,"Oct 16, 2022",3.4555
53,"Oct 13, 2022",3.4505
54,"Oct 12, 2022",3.4675
55,"Oct 11, 2022",3.4445
56,"Oct 10, 2022",3.4780
57,"Oct 09, 2022",3.4535
58,"Oct 06, 2022",3.4125
59,"Oct 05, 2022",3.4750
60,"Oct 04, 2022",3.5325
61,"Oct 03, 2022",3.5180
62,"Oct 02, 2022",3.4580
63,"Sep 29, 2022",3.4420
64,"Sep 28, 2022",3.4400
65,"Sep 27, 2022",3.3820
66,"Sep 26, 2022",3.3230
67,"Sep 25, 2022",3.3135
68,"Sep 22, 2022",3.3715
69,"Sep 21, 2022",3.4985
70,"Sep 20, 2022",3.5120
71,"Sep 19, 2022",3.5480
72,"Sep 18, 2022",3.5575
73,"Sep 15, 2022",3.5610
74,"Sep 14, 2022",3.5235
75,"Sep 13, 2022",3.5455
76,"Sep 12, 2022",3.5810
77,"Sep 11, 2022",3.6255
78,"Sep 08, 2022",3.5810
79,"Sep 07, 2022",3.5360
80,"Sep 06, 2022",3.4380
81,"Sep 05, 2022",3.4690
82,"Sep 01, 2022",3.4215
83,"Aug 31, 2022",3.4145
84,"Aug 30, 2022",3.5185
85,"Aug 29, 2022",3.5450
86,"Aug 28, 2022",3.6265
87,"Aug 25, 2022",3.7115
88,"Aug 24, 2022",3.7105
89,"Aug 23, 2022",3.6605
90,"Aug 22, 2022",3.7045
91,"Aug 21, 2022",3.6705
92,"Aug 18, 2022",3.6835
