,Date,HS Code,Product Description,Consignee,Notify Party Name,Shipper,Std. Quantity,Std. Unit,Standard Unit Rate INR,Value,Country of Origin,Country of Destination,Port of Destination,Quantity,Unit,Unit Rate $,Actual Duty,Port of Origin,Shipment Mode,Measurment,Bill of Entry No,Port of Delivery,Container TEU,Freight Term,Marks Number,HS Product Description,Gross Weight,Consignee Address,Shipper Address,Notify Party Address,Country Name
0,2020-03-03,81052029000K,BRAND: HANRUI COBALT|EFS 1 GRANULATE COBA,TANTAL ARGENTINA SRL,,,200.0,KGS,-,8561.0,China,Argentina,Not Available,200.0,KGS,-,-,Not Available,-,-,-,-,-,-,-,OTHERS,0.0,,,,Argentina T2  Import
1,2020-11-25,8105200000,DO 3202000987-001 DECLARATION (1-1) INVOICE: 2846602 DATE: 2020-11-16 (ITEM 1) PRODUCT CODE,INVERSIONES RINCON MEDINA LTDA,,GE ADDITIVE,11.0,KGS,-,2764.97,Germany,Colombia,Not Available,11.0,KGS,-,-,Not Available,-,-,-,-,-,-,-,COBALT MATTES AND OTHER INTERMEDIATE PRODUCTS OF THE METALLURGY OF COBALT; UNWROUGHT COBALT; POWDER,11.0,CRA 47 79 234,101 NORTH CAMPUS DRIVR IMPERIAL PA15126   ,,Columbia T3+  Import
2,2020-05-19,81052090,DIAMALLOY 4060NS / 10 LB,Ge nusantara turbine services pt,,OERLIKON METCO SINGAPORE PTE LTD,140.0,LBR,-,6003.83,United States,Indonesia,Soekarno-hatta Apt/jakarta,140.0,LBR,42.8845,0,Singapore,-,-,016261,-,-,-,-,,0.0,"JL. PAJAJARAN NO.154, HUSEN SASTRANEGARA, KEC. Cento, Kota Bandung, Jawa Barat 40174, Indonesia",SINGAPORE 508913  SG 508913 SG,,Indonesia T3  Import
3,2020-12-14,81052000,"COBALT DUST: ""BEGO WIROBOND C+""-10PCS*5K",BELADENT SRL MOLDOVA OR NISPORENI,,OOO SIMPLAND 121353 OR MOSCOVA SK,50.0,KGS,-,19203.72,Germany,Moldova,Not Available,50.0,KGS,-,-,Not Available,-,-,-,-,-,-,-,,0.0,MOLDOVA OR NISPORENI,,,Moldova T3  Import
4,2020-09-01,81052010,UNWROUGHT,,,,3000.0,KGS,-,84258.0,Zambia,Brazil,Not Available,3000.0,KGS,-,-,Not Available,-,-,-,-,-,-,-,,3000.0,,,,Brazil T1  Import
5,2020-09-01,81052010,UNWROUGHT,,,,6000.0,KGS,-,183490.0,Australia,Brazil,Not Available,6000.0,KGS,-,-,Not Available,-,-,-,-,-,-,-,,6000.0,,,,Brazil T1  Import
6,2020-09-01,81052010,UNWROUGHT,,,,6000.0,KGS,-,172176.0,Canada,Brazil,Not Available,6000.0,KGS,-,-,Not Available,-,-,-,-,-,-,-,,6000.0,,,,Brazil T1  Import
7,2020-07-01,81052021,PO DE LIGAS A BASE DE COBALTO-CROMO-TUNGSTENIO,,,,660.0,KGS,-,21757.0,France,Brazil,Not Available,660.0,KGS,-,-,Not Available,-,-,-,-,-,-,-,,660.0,,,,Brazil T1  Import
8,2020-12-01,81052029,OUTROS POS,,,,6000.0,KGS,-,228065.0,Belgium,Brazil,Not Available,6000.0,KGS,-,-,Not Available,-,-,-,-,-,-,-,,6000.0,,,,Brazil T1  Import
9,2020-07-23,810520,COBALT UNWROUGHT INCL MATTES & OTHR INTERMED IATE PRODUCTS OF METAL LURGY POWDER ,MITSUI AND CO USA INC,MITSUI AND CO USA INC,MITSUI CO LTD,40.0,DRM,-,0.0,South Korea,United States,Baltimore,40.0,DRM,-,-,Busan,-,-,JAPTENGO20060199,-,0,-,SMM ,,21144.0,"601 FIGUEROA ST, SUITE 1900        LOS ANGELES CA 90017-5723 US       LOS ANGELES          CA90017-5723US","J.P.O BOX NO.8220TOKYO, JAPAN","601 FIGUEROA ST, SUITE 1900        LOS ANGELES CA 90017-5723 US       LOS ANGELES          CA90017-5723US",USA T3+  Import
10,2020-09-21,810520,SPINNER DISK 37 USAGE (USED DISKS) ,WF ENGINEERING INC,WF ENGINEERING INC,URSA,4.0,CAS,-,0.0,Belgium,United States,Los Angeles,4.0,CAS,-,-,Belgium,-,-,DMALENCA00770,-,0,-,NA ,,1320.0,945 SOUTH 4400 WEST SALT LAKE CITY|SALT LAKE CITY UT 84104,BP 70209 - ZAC DE CARLING SAINT AVOLD,945 SOUTH 4400 WEST SALT LAKE CITY|SALT LAKE CITY UT 84104,USA T3+  Import
11,2020-08-05,810520,"CONTAINERS SAID TO UN3077 ENVIRONMENTALLY HAZARDOUS SUBSTANCE,  CLASS 9,  PG III MASTER MIX T400/M35 SOLID NOS COBALT,   III,  EMS F-A,  S-F ",CH ROBINSON,Z To Order and NA,C H ROBINSON EUROPE BV,15.0,NOS,-,0.0,United Kingdom,United States,New York,15.0,PCS,-,-,Liverpool,-,-,,-,0,-,N/M . ,,15000.0,CH ROBINSON 8503 NW 80TH SUITE 101|MEDLEY USA Z CONTACT NAME DOMENIC D|IBRITA OR YVE E-MAIL DOMENIC. DIBRIT|A CHROBINSON. C,"ALBERT PLESMANWEG 41-J, 3088 GB|ROTTERDAM, PA SES BAJOS",,USA T3+  Import
12,2020-06-17,810520,COBALT MATTES AND OTHER INTERMEDIATE PRODUCTS METAL POWDER HS CODE 810520 WAYBILL ,NIPPON EXPRESS NEC LOGISTICS AMERIC,NIPPON EXPRESS NEC LOGISTICS AMERIC,NITTSU NEC LOGISTIC LTD,7.0,CAG,-,0.0,Japan,United States,Los Angeles,7.0,CAG,-,-,Japanese Port,-,-,,-,0,-,TMS1190 ND7 C/NO.1-3 CHICAGO MADE IN JAPAN // ,,7387.0,O B THE ORB FACTORY LIMITED RANCHO DOMINGUEZ CA 90220 USA US,"5-80 OKIHAMA-CHO,HAKATA-KU,FUKUOKA-SHI 812-0031 JAPAN",O B THE ORB FACTORY LIMITED RANCHO DOMINGUEZ CA 90220 USA US,USA T3+  Import
13,2020-05-27,81052090,DEW CELSIT SN-P 4798.30 50-150 PLASTIC BOTTLE -,PT BKS INDONESIA,,DEUTSCHE EDELSTAHLWERKE SPECIALTY S,110.0,KGS,-,5508.8,Germany,Indonesia,Soekarno-hatta Apt/jakarta,110.0,KGS,50.08,0,Frankfurt Am Main,-,-,143761,-,-,-,-,,0.0,DARU I BLOK G-5 NO5 KAV1 KAWASAN INDUSTRI DELTA SILICON V LIPPO CIKARA,"LKW EINFAHRT TOR 3 FERRO-TITAN, 31. 2 OBERSCHLESIENSTR. 15",,Indonesia T3  Import
14,2020-12-01,81052090,METAL BOND 1-37-4,PT SAINT GOBAIN ABRASIVES DIAMAS,,UNIVERSAL SUPERABRASIVES,50.0,KGS,-,3172.76,United States,Indonesia,Soekarno-hatta Apt/jakarta,50000.0,GMS,0.0634552,0,Ohare Aptchicago,-,-,328715,-,-,-,-,,0.0,JL.RAYA BEKASI KM.27 PONDOK UNGU HARAPAN JAYA-BEKASI UTARA KOTA BEKASI,"200 FULLERTON AVE,Illinois IL,CAROL STREAM Illinois IL UNITED STATES O",,Indonesia T3  Import
15,2020-02-14,810520,SPINNER DISC ,WF ENGINEERING INC,WF ENGINEERING INC,URSA DEUTSCHLAND GMBH,5.0,CAS,-,0.0,Germany,United States,Savannah,5.0,CAS,-,-,Germany Ports,-,-,DMALLEJA02912,-,0,-,WF ENGINEERING 925 SOUTH 4400 WEST 84104 SA LT LAKE CITY ,,2375.0,945 SOUTH 4400 WEST SALT LAKE CITY|SALT LAKE CITY UT 84104,FUGGERSTRASSE 1D|LEIPZIG,945 SOUTH 4400 WEST SALT LAKE CITY|SALT LAKE CITY UT 84104,USA T3+  Import
