0,Date,HS Code,Product Description,Consignee,Notify Party Name,Shipper,Std. Quantity,Std. Unit,Standard Unit Rate INR,Value,Country of Origin,Country of Destination,Port of Destination,Quantity,Unit,Unit Rate $,Actual Duty,Port of Origin,Shipment Mode,Measurment,Bill of Entry No,Port of Delivery,Container TEU,Freight Term,Marks Number,HS Product Description,Gross Weight,Consignee Address,Shipper Address,Notify Party Address,Country Name
1,2019-04-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.007,TON,-,77.53,Italy,Lithuania,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Lithuania T1  Import
2,2019-04-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.021,TON,-,2751.69,Bulgaria,Portugal,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Portugal T1  Import
3,2019-04-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.001,TON,-,20.22,Belgium,France,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,France T1  Import
4,2019-04-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.014,TON,-,448.31,Slovakia,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
5,2019-04-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,21.809,TON,-,15080.9,France,Belgium,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Belgium T1  Import
6,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,325.41,TON,-,2715043.18,Finland,Sweden,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Sweden T1  Import
7,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,20.798,TON,-,632018.18,Germany,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
8,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0,TON,-,4.55,Croatia,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
9,2019-03-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,4028.241,TON,-,24796081.82,Zambia,Belgium,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Belgium T1  Import
10,2019-05-01 00:00:00,74020000,"COPPER, UNREFINED; COPPER ANODES FOR ELECTROLYTIC REFINING",,,,0.012,TON,-,387.64,Ireland,Netherlands,Not Available,0,UNT,-,-,Not Available,-,-,-,-,-,-,-,,0,,,,Netherlands T1  Import
