,Date,Price,Open,High,Low,Vol.,Change %
0,"Dec 29, 2023","8,559.00","8,590.00","8,580.00","8,580.00",35.51K,-0.76%
1,"Dec 28, 2023","8,624.50","8,635.00","8,629.00","8,628.00",42.04K,-0.76%
2,"Dec 27, 2023","8,690.50","8,620.00","8,614.50","8,615.00",55.57K,1.36%
3,"Dec 22, 2023","8,573.50","8,595.00","8,593.00","8,594.00",37.36K,-0.26%
4,"Dec 21, 2023","8,595.50","8,560.00","8,549.00","8,550.00",42.36K,0.15%
5,"Dec 20, 2023","8,582.50","8,575.00","8,567.00","8,568.00",54.82K,-0.13%
6,"Dec 19, 2023","8,593.50","8,540.00","8,530.00","8,525.50",57.16K,1.31%
7,"Dec 18, 2023","8,482.50","8,522.00","8,516.00","8,516.00",35.53K,-0.78%
8,"Dec 15, 2023","8,549.00","8,565.00","8,562.50","8,563.00",52.59K,-0.03%
9,"Dec 14, 2023","8,551.50","8,560.00","8,550.00","8,555.00",83.82K,2.66%
10,"Dec 13, 2023","8,330.00","8,300.00","8,300.00","8,300.00",43.19K,-0.30%
11,"Dec 12, 2023","8,355.00","8,368.00","8,361.00","8,361.00",47.07K,0.17%
12,"Dec 11, 2023","8,341.00","8,370.00","8,360.00","8,362.00",44.56K,-1.27%
13,"Dec 08, 2023","8,448.50","8,435.00","8,425.00","8,427.00",61.99K,1.28%
14,"Dec 07, 2023","8,342.00","8,305.00","8,302.00","8,305.00",48.59K,0.68%
15,"Dec 06, 2023","8,286.00","8,390.00","8,383.00","8,384.00",57.70K,-0.58%
16,"Dec 05, 2023","8,334.50","8,355.00","8,348.00","8,348.00",69.31K,-1.29%
17,"Dec 04, 2023","8,443.00","8,495.00","8,485.00","8,485.00",65.12K,-1.95%
18,"Dec 01, 2023","8,610.50","8,545.00","8,532.00","8,535.00",88.50K,1.72%
19,"Nov 30, 2023","8,464.50","8,430.00","8,419.00","8,420.00",52.07K,0.58%
20,"Nov 29, 2023","8,415.50","8,480.00","8,472.00","8,473.00",47.53K,-0.68%
21,"Nov 28, 2023","8,473.00","8,390.00","8,383.00","8,381.00",62.72K,1.30%
22,"Nov 27, 2023","8,364.00","8,390.00","8,390.00","8,389.00",34.11K,-0.77%
23,"Nov 24, 2023","8,428.50","8,410.00","8,403.00","8,403.00",30.80K,0.23%
24,"Nov 23, 2023","8,409.50","8,415.00","8,409.00","8,410.00",25.66K,0.67%
25,"Nov 22, 2023","8,353.50","8,400.00","8,396.00","8,395.00",45.87K,-1.13%
26,"Nov 21, 2023","8,449.00","8,425.00","8,421.00","8,420.00",69.68K,0.22%
27,"Nov 20, 2023","8,430.50","8,355.00","8,344.00","8,345.00",70.50K,1.98%
28,"Nov 17, 2023","8,267.00","8,250.00","8,243.00","8,241.00",45.29K,0.57%
29,"Nov 16, 2023","8,220.00","8,265.00","8,264.00","8,264.50",58.81K,-0.55%
30,"Nov 15, 2023","8,265.50","8,265.00","8,265.00","8,262.00",55.96K,0.37%
31,"Nov 14, 2023","8,235.00","8,180.00","8,173.00","8,173.00",67.59K,0.83%
32,"Nov 13, 2023","8,167.00","8,105.00","8,096.00","8,095.00",53.71K,1.64%
33,"Nov 10, 2023","8,035.50","8,090.00","8,085.00","8,086.00",54.58K,-1.37%
34,"Nov 09, 2023","8,147.00","8,115.00","8,105.00","8,110.00",43.29K,0.06%
35,"Nov 08, 2023","8,142.00","8,180.00","8,170.00","8,171.00",45.08K,-0.54%
36,"Nov 07, 2023","8,186.50","8,155.00","8,150.00","8,152.00",46.06K,-0.63%
37,"Nov 06, 2023","8,238.00","8,225.00","8,218.00","8,218.00",47.59K,0.76%
38,"Nov 03, 2023","8,175.50","8,170.00","8,164.00","8,162.00",59.01K,0.40%
39,"Nov 02, 2023","8,143.00","8,150.00","8,140.00","8,145.00",45.51K,0.41%
40,"Nov 01, 2023","8,109.50","8,120.00","8,124.00","8,120.00",46.37K,-0.01%
41,"Oct 31, 2023","8,110.50","8,130.00","8,115.00","8,120.00",41.57K,-0.37%
42,"Oct 30, 2023","8,140.50","8,190.00","8,185.00","8,186.00",63.58K,0.51%
43,"Oct 27, 2023","8,099.00","8,045.00","8,039.00","8,040.00",48.70K,1.42%
44,"Oct 26, 2023","7,985.50","8,015.00","8,013.00","8,013.00",36.80K,-0.58%
45,"Oct 25, 2023","8,032.00","8,020.00","8,019.00","8,020.00",45.50K,-0.24%
46,"Oct 24, 2023","8,051.50","7,975.00","7,971.00","7,971.00",49.16K,1.00%
47,"Oct 23, 2023","7,972.00","7,900.00","7,895.00","7,898.00",48.21K,0.30%
48,"Oct 20, 2023","7,948.50","7,945.00","7,940.00","7,945.00",42.70K,-0.56%
49,"Oct 19, 2023","7,993.00","8,005.00","8,004.00","8,005.00",38.80K,0.26%
50,"Oct 18, 2023","7,972.50","8,030.00","8,020.00","8,022.00",47.59K,0.03%
51,"Oct 17, 2023","7,970.50","7,923.00","7,920.00","7,920.00",61.99K,-0.08%
52,"Oct 16, 2023","7,976.50","8,000.00","7,993.00","7,993.50",40.08K,0.35%
53,"Oct 13, 2023","7,949.00","7,985.00","7,978.00","7,980.00",47.73K,-0.53%
54,"Oct 12, 2023","7,991.00","8,070.00","8,069.00","8,070.00",42.16K,-0.41%
55,"Oct 11, 2023","8,024.00","8,035.00","8,027.00","8,030.00",39.31K,0.02%
56,"Oct 10, 2023","8,022.50","7,990.00","7,982.50","7,983.00",47.24K,-1.01%
57,"Oct 09, 2023","8,104.00","8,095.00","8,085.00","8,090.00",60.10K,0.72%
58,"Oct 06, 2023","8,046.00","7,975.00","7,968.00","7,968.00",44.98K,1.86%
59,"Oct 05, 2023","7,899.00","7,891.00","7,888.00","7,888.00",38.79K,-0.64%
60,"Oct 04, 2023","7,949.50","7,990.00","7,987.00","7,986.50",55.20K,-0.71%
61,"Oct 03, 2023","8,006.50","8,035.00","8,028.00","8,030.00",48.69K,-0.58%
62,"Oct 02, 2023","8,053.00","8,190.00","8,185.00","8,171.00",54.79K,-2.63%
63,"Sep 29, 2023","8,270.50","8,295.00","8,281.00","8,281.00",55.11K,0.64%
64,"Sep 28, 2023","8,217.50","8,170.00","8,168.00","8,168.50",45.71K,1.28%
65,"Sep 27, 2023","8,114.00","8,075.00","8,074.00","8,073.00",44.27K,0.28%
66,"Sep 26, 2023","8,091.00","8,140.00","8,130.00","8,130.00",53.25K,-0.67%
67,"Sep 25, 2023","8,145.50","8,180.00","8,175.00","8,175.00",45.03K,-0.93%
68,"Sep 22, 2023","8,222.00","8,260.00","8,254.50","8,255.00",41.48K,0.34%
69,"Sep 21, 2023","8,194.00","8,170.00","8,169.50","8,170.00",103.87K,-1.82%
70,"Sep 20, 2023","8,345.50","8,339.00","8,335.00","8,336.00",46.66K,0.64%
71,"Sep 19, 2023","8,292.50","8,298.00","8,290.00","8,295.00",46.31K,-0.80%
72,"Sep 18, 2023","8,359.50","8,395.00","8,383.00","8,388.00",39.42K,-0.55%
73,"Sep 15, 2023","8,405.50","8,430.00","8,428.00","8,425.00",41.32K,-0.14%
