Year,Price per Metric Ton
1990,2661.343802
1991,2338.502283
1992,2284.812228
1993,1914.956073
1994,2305.531505
1995,2932.036434
1996,2293.386377
1997,2275.18713
1998,1653.707487
1999,1572.525107
2000,1814.523973
2001,1580.168974
2002,1560.2902
2003,1779.361561
2004,2863.468761
2005,3676.494724
2006,6731.351907
2007,7131.630016
2008,6963.481998
2009,5164.158778
2010,7538.36212
2011,8823.454246
2012,7958.924678
2013,7331.490765
2014,6863.396581
2015,5510.457113
2016,4867.89743
2017,6169.939942
2018,6529.798371
2019,6010.14543
2020,6174.557917
2021,9317.409166
2022,8828.916814
,.
