Country,Country ID,Year,Product Trade Value,Product Growth,Product Growth Rate,Gross Trade Value,Product Percentage
China,aschn,1995,179398287,0,0,125107222570,0.1433956276
China,aschn,1996,209571482,3017319500,0.1681910987,131198233710,0.1597365117
China,aschn,1997,189829544,-1974193800,-0.09420145247,124602086799,0.1523486074
China,aschn,1998,89016596,-10081294800,-0.5310709064,116278378212,0.07655472786
China,aschn,1999,175675281,8665868500,0.9735115573,125621558172,0.1398448511
China,aschn,2000,70564760,-10511052100,-0.5983227714,172144503941,0.04099158462
China,aschn,2001,91776429,2121166900,0.3005986132,184839686806,0.04965190679
China,aschn,2002,76739049,-1503738000,-0.1638479527,224469963061,0.03418677847
China,aschn,2003,155252141,7851309200,1.023117865,317958541197,0.04882779384
China,aschn,2004,237743973,8249183200,0.5313410267,416764463973,0.05704516425
China,aschn,2005,360381268,12263729500,0.5158376612,488957806965,0.07370396031
China,aschn,2006,349251010,-1113025800,-0.03088467406,583094900363,0.05989608377
China,aschn,2007,685793858,33654284800,0.9636130988,718600683226,0.09543462371
China,aschn,2008,803407826,11761396800,0.1715004686,839526703000,0.09569770957
China,aschn,2009,809422263,601443700,0.00748615685,774058687232,0.104568591
China,aschn,2010,2614201580,180477931700,2.229712969,1065714909390,0.2453002728
China,aschn,2011,3551490936,93728935600,0.3585375218,1337002320449,0.265630873
China,aschn,2012,3872966936,32147600000,0.09051860354,1358097611156,0.285175889
China,aschn,2013,4226129342,35316240600,0.0911865275,1461897082616,0.2890852846
China,aschn,2014,3442352047,-78377729500,-0.1854598455,1462084027131,0.2354414646
China,aschn,2015,2601693866,-84065818100,-0.2442104031,1205967866662,0.2157349244
China,aschn,2016,2320830943,-28086292300,-0.1079538706,1177526918780,0.1970936635
China,aschn,2017,2778170099,45733915600,0.1970583671,1411314040600,0.1968498873
China,aschn,2018,4043158629,126498853000,0.4553315618,1597168621648,0.2531453833
China,aschn,2019,3619178582,-42398004700,-0.1048635698,1574095393631,0.2299211723
China,aschn,2020,5372485070,175330648800,0.4844487356,1554162463049,0.3456836205
China,aschn,2021,5480160748,10767567800,0.02004206184,1969704760811,0.2782224452
India,asind,1995,2181726,0,0,36609012557,0.005959532497
India,asind,1996,1566099,-61562700,-0.2821742969,39492241268,0.00396558653
India,asind,1997,6388030,482193100,3.078943924,41282346812,0.01547399916
India,asind,1998,1158074,-522995600,-0.818711872,45972707306,0.002519046773
India,asind,1999,1155796,-227800,-0.0019670591,53904463898,0.002144156377
India,asind,2000,1771115,61531900,0.5323768208,49127631148,0.003605130063
India,asind,2001,6301263,453014800,2.557794384,49766147537,0.01266174561
India,asind,2002,1090164,-521109900,-0.8269927791,50917821883,0.002141026383
India,asind,2003,5686154,459599000,4.215870273,64561586514,0.008807333133
India,asind,2004,3012956,-267319800,-0.4701240944,84552064552,0.003563432798
India,asind,2005,12299397,928644100,3.082169471,112071420314,0.01097460616
India,asind,2006,18038705,573930800,0.4666332829,170506053095,0.01057951004
India,asind,2007,81602436,6356373100,3.523741366,242083593930,0.03370837101
India,asind,2008,137843207,5624077100,0.68920456,319368088039,0.04316123375
India,asind,2009,13234274,-12460893300,-0.9039903794,275779296132,0.004798864232
India,asind,2010,27335101,1410082700,1.06547794,366629712015,0.007455778979
India,asind,2011,111732114,8439701300,3.087495927,463299134192,0.02411662482
India,asind,2012,236408745,12467663100,1.115853147,466800543062,0.050644488
India,asind,2013,163311094,-7309765100,-0.3092002836,444858339645,0.03671080869
India,asind,2014,209436743,4612564900,0.2824403895,442534900372,0.04732660471
India,asind,2015,456405541,24696879800,1.17920473,375057731812,0.12168941
India,asind,2016,332751262,-12365427900,-0.2709307138,348938523710,0.09536099897
India,asind,2017,183856818,-14889444400,-0.4474647011,426363289369,0.04312210328
India,asind,2018,304004010,12014719200,0.6534823854,496618345867,0.06121481668
India,asind,2019,369292138,6528812800,0.2147607461,476312481935,0.07753148448
India,asind,2020,1040168550,67087641200,1.816655008,372745924999,0.2790556463
India,asind,2021,1700354407,66018585700,0.6346912306,563168134769,0.301926601
South Korea,askor,1995,228697244,0,0,125545223412,0.1821632379
South Korea,askor,1996,228111365,-58587900,-0.002561810496,141977277669,0.1606675158
South Korea,askor,1997,258135565,3002420000,0.1316207985,137633599754,0.1875527237
South Korea,askor,1998,138486544,-11964902100,-0.4635123448,85049988744,0.1628295853
South Korea,askor,1999,121821412,-1666513200,-0.1203375542,113509518566,0.10732264
South Korea,askor,2000,114469647,-735176500,-0.06034870947,157216538181,0.07281018163
South Korea,askor,2001,142574599,2810495200,0.2455231822,139431698646,0.1022540788
South Korea,askor,2002,163258812,2068421300,0.1450764242,146194715666,0.1116721704
South Korea,askor,2003,141453716,-2180509600,-0.1335615256,169767905133,0.08332182452
South Korea,askor,2004,234085972,9263225600,0.6548591201,210916231295,0.110985281
South Korea,askor,2005,194313566,-3977240600,-0.1699051236,244604119049,0.07944002201
South Korea,askor,2006,646587745,45227417900,2.327548139,289259686853,0.2235319246
South Korea,askor,2007,784898267,13831052200,0.2139083567,333916089328,0.2350585348
South Korea,askor,2008,355791120,-42910714700,-0.546704159,404665641214,0.08792224587
South Korea,askor,2009,223289693,-13250142700,-0.3724135302,305794037320,0.07301963601
South Korea,askor,2010,476184151,25289445800,1.132584557,402031751189,0.1184444138
South Korea,askor,2011,464741322,-1144282900,-0.02403026009,485005057517,0.09582195377
South Korea,askor,2012,602542589,13780126700,0.2965117593,487122556352,0.1236942492
South Korea,askor,2013,443327199,-15921539000,-0.2642392304,488745723662,0.09070712592
South Korea,askor,2014,548201846,10487464700,0.2365626274,496839463672,0.1103378226
South Korea,askor,2015,390537432,-15766441400,-0.2876028513,417780383684,0.09347912139
South Korea,askor,2016,679909298,28937186600,0.7409580806,396293977656,0.1715669014
South Korea,askor,2017,542444226,-13746507200,-0.2021814857,467382602856,0.1160599951
South Korea,askor,2018,352135609,-19030861700,-0.3508353631,510030832197,0.06904202389
South Korea,askor,2019,353857774,172216500,0.004890630075,488582359281,0.07242540941
South Korea,askor,2020,395772880,4191510600,0.1184518444,445696470521,0.08879874672
South Korea,askor,2021,448826733,5305385300,0.1340512594,577627641305,0.07770174086
Singapore,assgp,1995,4430638,0,0,119703717522,0.003701337011
Singapore,assgp,1996,23138786,1870814800,4.22245013,123697670047,0.01870591903
Singapore,assgp,1997,7574617,-1556416900,-0.6726441482,127318461958,0.005949346924
Singapore,assgp,1998,4624509,-295010800,-0.3894728935,97169759671,0.004759205967
Singapore,assgp,1999,2782802,-184170700,-0.3982491979,107914398345,0.002578712426
Singapore,assgp,2000,3792954,101015200,0.362998158,138446773226,0.002739647817
Singapore,assgp,2001,2023737,-176921700,-0.4664483144,117700165654,0.001719400299
Singapore,assgp,2002,2384472,36073500,0.1782519171,112104433674,0.002127009541
Singapore,assgp,2003,2692339,30786700,0.1291132796,126775434622,0.002123707174
Singapore,assgp,2004,3459937,76759800,0.2851045132,155611191532,0.002223449976
Singapore,assgp,2005,3501597,4166000,0.01204068167,175174169630,0.001998923133
Singapore,assgp,2006,5165766,166416900,0.4752600028,207831517157,0.002485554679
Singapore,assgp,2007,3873992,-129177400,-0.2500643661,239015350284,0.001620813055
Singapore,assgp,2008,5613226,173923400,0.4489513659,287936244042,0.001949468369
Singapore,assgp,2009,2598232,-301499400,-0.5371232158,224427833494,0.0011577138
Singapore,assgp,2010,3962648,136441600,0.5251324747,271022334899,0.001462111232
Singapore,assgp,2011,5940759,197811100,0.4991891785,321615791061,0.001847160234
Singapore,assgp,2012,4125332,-181542700,-0.3055883937,343318087536,0.001201606367
Singapore,assgp,2013,6589864,246453200,0.5974142202,348529601371,0.001890761638
Singapore,assgp,2014,3078024,-351184000,-0.5329153986,357830073675,0.000860191534
Singapore,assgp,2015,8121576,504355200,1.63856812,292297702593,0.002778528852
Singapore,assgp,2016,6607803,-151377300,-0.1863890703,270213728551,0.002445398698
Singapore,assgp,2017,232546825,22593902200,34.19275998,345592933709,0.06728923028
Singapore,assgp,2018,380772526,14822570100,0.6374015255,339081513083,0.1122952775
Singapore,assgp,2019,341729428,-3904309800,-0.1025365417,329076965333,0.1038448339
Singapore,assgp,2020,667371042,32564161400,0.9529223629,301012314085,0.2217088839
Singapore,assgp,2021,1198045016,53067397400,0.7951708129,361641436628,0.3312797967
Austria,euaut,1995,666000,0,0,63125472700,0.001055041604
Austria,euaut,1996,37473,-62852700,-0.9437342342,65326052328,5.74E-05
Austria,euaut,1997,684966,64749300,17.27892082,62780761727,0.001091044424
Austria,euaut,1998,20516,-66445000,-0.9700481484,67987833381,3.02E-05
Austria,euaut,1999,525719,50520300,24.6248294,67628677154,0.0007773610577
Austria,euaut,2000,4144512,361879300,6.883511914,68115020387,0.006084578668
Austria,euaut,2001,13781665,963715300,2.325280516,71564604702,0.01925765545
Austria,euaut,2002,393809,-1338785600,-0.9714251507,73296425034,0.0005372826844
Austria,euaut,2003,11326755,1093294600,27.76205216,87590961723,0.01293141984
Austria,euaut,2004,40378232,2905147700,2.564854365,106984950246,0.0377419739
Austria,euaut,2005,69062632,2868440000,0.710392669,117012057442,0.0590218081
Austria,euaut,2006,170585925,10152329300,1.470017722,133762719477,0.1275287507
Austria,euaut,2007,185256193,1467026800,0.08599928746,151891630124,0.1219660312
Austria,euaut,2008,252414193,6715800000,0.3625141968,171351584963,0.1473077667
Austria,euaut,2009,146343950,-10607024300,-0.4202229745,133916484276,0.1092800119
Austria,euaut,2010,309904443,16356049300,1.117644378,148892987917,0.2081390449
Austria,euaut,2011,420233525,11032908200,0.356010004,176159393570,0.2385530039
Austria,euaut,2012,330327425,-8990610000,-0.2139431879,166751770339,0.1980953032
Austria,euaut,2013,160791097,-16953632800,-0.5132372161,169127671410,0.09507083948
Austria,euaut,2014,188792229,2800113200,0.174146035,170402679254,0.1107918196
Austria,euaut,2015,219553963,3076173400,0.1629396197,146657730609,0.149705005
Austria,euaut,2016,224615462,506149900,0.02305355335,148192963803,0.1515695862
Austria,euaut,2017,296679860,7206439800,0.3208345381,164602064270,0.1802406679
Austria,euaut,2018,275340018,-2133984200,-0.07192885287,178637573467,0.1541333173
Austria,euaut,2019,361426312,8608629400,0.312654494,172779414849,0.2091836648
Austria,euaut,2020,348769421,-1265689100,-0.03501928493,164296334541,0.2122807073
Austria,euaut,2021,499527308,15075788700,0.4322566083,203183024764,0.2458509064
Belgium,eubel,1999,272517155,0,0,159142405423,0.1712410682
Belgium,eubel,2000,405731333,13321417800,0.488828595,173785314415,0.2334669845
Belgium,eubel,2001,358357632,-4737370100,-0.1167612584,174897510324,0.204895788
Belgium,eubel,2002,356917609,-144002300,-0.004018396349,189333648953,0.1885125074
Belgium,eubel,2003,545588025,18867041600,0.5286105567,215225249161,0.2534962915
Belgium,eubel,2004,779887425,23429940000,0.4294438097,264218579489,0.2951675187
Belgium,eubel,2005,845593927,6570650200,0.08425126485,301308677706,0.2806404161
Belgium,eubel,2006,1799692842,95409891500,1.128318079,331656625927,0.542637385
Belgium,eubel,2007,1679118460,-12057438200,-0.0669972004,392795646361,0.4274788877
Belgium,eubel,2008,1674315532,-480292800,-0.002860386634,438116713230,0.3821619859
Belgium,eubel,2009,1256158654,-41815687800,-0.2497479537,331044294815,0.3794533462
Belgium,eubel,2010,1811436786,55527813200,0.4420445859,321444492898,0.5635301976
Belgium,eubel,2011,1786961784,-2447500200,-0.01351137516,387948844961,0.46061789
Belgium,eubel,2012,1428511085,-35845069900,-0.2005922579,360584632027,0.3961652711
Belgium,eubel,2013,1210060854,-21845023100,-0.1529216212,372738903502,0.3246403428
Belgium,eubel,2014,1452947008,24288615400,0.2007222638,380396467331,0.3819559677
Belgium,eubel,2015,1349011330,-10393567800,-0.07153439006,314874367459,0.4284284367
Belgium,eubel,2016,995720744,-35329058600,-0.2618885239,325865901470,0.3055615023
Belgium,eubel,2017,1378471043,38275029900,0.3843952246,354424836047,0.3889318419
Belgium,eubel,2018,1734438807,35596776400,0.2582337625,385622386683,0.4497764826
Belgium,eubel,2019,1274457705,-45998110200,-0.2652045723,364188312939,0.3499447016
Belgium,eubel,2020,1286621308,1216360300,0.009544140188,334850448494,0.3842375944
Belgium,eubel,2021,1598665660,31204435200,0.242530067,448563284783,0.3563969041
Switzerland,euche,1995,231945,0,0,86905346634,0.0002668938207
Switzerland,euche,1996,8104047,787210200,33.93952014,91069638533,0.008898736319
Switzerland,euche,1997,1173821,-693022600,-0.8551561954,87618039024,0.001339702432
Switzerland,euche,1998,68227,-110559400,-0.9418761464,93199305824,7.32E-05
Switzerland,euche,1999,12559551,1249132400,183.0847612,90376925553,0.01389685578
Switzerland,euche,2000,54902178,4234262700,3.371348785,96984695160,0.0566091154
Switzerland,euche,2001,40506173,-1439600500,-0.2622119108,97958063409,0.04135052449
Switzerland,euche,2002,5397601,-3510857200,-0.8667462117,96388591539,0.005599833874
Switzerland,euche,2003,196151,-520145000,-0.9636595962,113657774040,0.0001725803639
Switzerland,euche,2004,4788466,459231500,23.41214167,129372917907,0.003701289325
Switzerland,euche,2005,3319157,-146930900,-0.3068433607,147239151305,0.002254262518
Switzerland,euche,2006,15126834,1180767700,3.557432505,169076898479,0.008946718408
Switzerland,euche,2007,27302694,1217586000,0.8049179359,195166915162,0.01398940695
Switzerland,euche,2008,7698936,-1960375800,-0.7180155189,225995281893,0.003406679969
Switzerland,euche,2009,133807,-756512900,-0.9826200659,192984723441,6.93E-05
Switzerland,euche,2010,9756478,962267100,71.91455604,213992120080,0.004559269751
Switzerland,euche,2011,28366776,1861029800,1.907481163,266467090850,0.0106455082
Switzerland,euche,2012,6922614,-2144416200,-0.7559604941,306216849388,0.0022606901
Switzerland,euche,2013,126618,-679599600,-0.9817095103,273973654055,4.62E-05
Switzerland,euche,2014,13744285,1361766700,107.5492189,279251768180,0.004921825595
Switzerland,euche,2015,181455049,16771076400,12.20221816,253589268984,0.07155470329
Switzerland,euche,2016,1159148720,97769367100,5.388076421,277499157672,0.4177125184
Switzerland,euche,2017,2441964179,128281545900,1.106687552,275402943868,0.8866877546
Switzerland,euche,2018,2518720972,7675679300,0.03143239924,291429675132,0.864263727
Switzerland,euche,2019,2195305117,-32341585500,-0.128404797,288061947947,0.7620947968
Switzerland,euche,2020,2296650450,10134533300,0.0461645774,302158988205,0.7600801365
Switzerland,euche,2021,3132801130,83615068000,0.3640739844,327736534346,0.9558901135
Luxembourg,eulux,1999,139238,0,0,10971064513,0.001269138467
Luxembourg,eulux,2000,207363,6812500,0.4892701705,11849643732,0.001749951346
Luxembourg,eulux,2001,225169,1780600,0.08586874225,12582355081,0.00178956164
Luxembourg,eulux,2002,43041,-18212800,-0.8088502414,12951280098,0.0003323300838
Luxembourg,eulux,2003,451900,40885900,9.499291373,14766929490,0.003060216413
Luxembourg,eulux,2004,186015,-26588500,-0.5883713211,18819539610,0.00098841419
Luxembourg,eulux,2005,440873,25485800,1.37009381,20610421636,0.002139078025
Luxembourg,eulux,2006,192299,-24857400,-0.5638222345,23446529587,0.0008201597566
Luxembourg,eulux,2007,286208,9390900,0.4883488734,23547639725,0.001215442411
Luxembourg,eulux,2008,162085,-12412300,-0.4336810991,30020979839,0.0005399057621
Luxembourg,eulux,2009,2371,-15971400,-0.9853718728,21616900776,1.10E-05
Luxembourg,eulux,2010,12703,1033200,4.357654998,23655750596,5.37E-05
Luxembourg,eulux,2011,54846,4214300,3.31756278,27800354893,0.0001972852513
Luxembourg,eulux,2012,7351,-4749500,-0.865970171,26218798508,2.80E-05
Luxembourg,eulux,2013,3813,-353800,-0.4812950619,26398826637,1.44E-05
Luxembourg,eulux,2014,9596,578300,1.516653554,26234482781,3.66E-05
Luxembourg,eulux,2015,460482,45088600,46.98686953,21771154878,0.002115101393
