Country,Country ID,Year,Product Trade Value,Product Growth,Product Growth Rate,Gross Trade Value,Product Percentage,Political Stability and Absence of Violence/Terrorism: Estimate
Madagascar,afmdg,1995,0,0,0,515770302,0,
Madagascar,afmdg,1996,0,0,0,520658305,0,
Madagascar,afmdg,1997,0,0,0,554811445,0,
Madagascar,afmdg,1998,11631,0,0,526895936,0.002207456768,
Madagascar,afmdg,1999,0,0,0,620408310,0,
Madagascar,afmdg,2000,18904,727300,0.6253116671,983332552,0.001922442205,
Madagascar,afmdg,2001,0,0,0,1141641545,0,
Madagascar,afmdg,2002,447,-1845700,-0.9763542107,783367053,0.0000570613735,
Madagascar,afmdg,2003,545,9800,0.2192393736,1113886316,0.00004892779381,
Madagascar,afmdg,2004,542,-300,-0.005504587156,1167367264,0.00004642926153,
Madagascar,afmdg,2005,25302,2476000,45.68265683,993271977,0.002547338552,
Madagascar,afmdg,2006,6878,-1842400,-0.7281637815,1132586800,0.0006072823734,
Madagascar,afmdg,2007,4572,-230600,-0.3352718814,1439046610,0.0003177103485,
Madagascar,afmdg,2008,0,0,0,1470056051,0,
Madagascar,afmdg,2009,0,0,0,1229198731,0,
Madagascar,afmdg,2010,0,0,0,1190849386,0,
Madagascar,afmdg,2011,0,0,0,1479824248,0,-0.705585897
Madagascar,afmdg,2012,60233866,6022929400,13173.51137,1625591655,3.705350345,-0.5361369848
Madagascar,afmdg,2013,345563553,28532968700,4.737030942,2101863417,16.44081867,-0.6599934101
Madagascar,afmdg,2014,633927289,28836373600,0.8344738139,2633730491,24.06955803,-0.557235837
Madagascar,afmdg,2015,598661794,-3526549500,-0.05563018916,2563558383,23.35276614,-0.4277629256
Madagascar,afmdg,2016,433686399,-16497539500,-0.2755736154,2661404750,16.29539434,-0.2941864729
Madagascar,afmdg,2017,389871471,-4381492800,-0.1010290572,3286450028,11.86299708,-0.3028375804
Madagascar,afmdg,2018,430004802,4013333100,0.102939902,3495985938,12.299958,-0.5788391232
Madagascar,afmdg,2019,471195630,4119082800,0.09579155351,3252112605,14.48890882,-0.3139838278
Madagascar,afmdg,2020,167627097,-30356853300,-0.6442515882,2464829637,6.80075793,-0.5093439221
Madagascar,afmdg,2021,498908415,33128131800,1.976299321,3223921821,15.47520203,-0.5422797799
Zimbabwe,afzwe,1995,142277369,0,0,2110633604,6.740979047,
Zimbabwe,afzwe,1996,119668444,-2260892500,-0.1589073874,1844651666,6.487319325,
Zimbabwe,afzwe,1997,130099121,1043067700,0.08716313718,1986348121,6.549663658,
Zimbabwe,afzwe,1998,85238430,-4486069100,-0.3448193243,1686627191,5.053780139,
Zimbabwe,afzwe,1999,108766651,2352822100,0.2760283243,1819143881,5.979002108,
Zimbabwe,afzwe,2000,158144179,4937752800,0.4539767249,2092175676,7.558838429,
Zimbabwe,afzwe,2001,183961704,2581752500,0.1632530844,1989154777,9.248234784,
Zimbabwe,afzwe,2002,248377374,6441567000,0.3501580416,2208158558,11.24816753,
Zimbabwe,afzwe,2003,141116188,-10726118600,-0.4318476529,1933225015,7.299522141,
Zimbabwe,afzwe,2004,263641181,12252499300,0.8682561139,2779494275,9.485221228,
Zimbabwe,afzwe,2005,201725751,-6191543000,-0.2348473397,2576399735,7.8297536,
Zimbabwe,afzwe,2006,450625653,24889990200,1.233852896,4472056125,10.0764758,
Zimbabwe,afzwe,2007,619474791,16884913800,0.3746993472,3243934364,19.09640336,
Zimbabwe,afzwe,2008,364906055,-25456873600,-0.4109428498,2349985001,15.52801634,
Zimbabwe,afzwe,2009,321785124,-4312093100,-0.118169952,2097294647,15.3428668,
Zimbabwe,afzwe,2010,538234557,21644943300,0.6726520801,2891054521,18.61723994,
Zimbabwe,afzwe,2011,586686902,4845234500,0.09002087356,3542827302,16.55985042,-0.9453285336
Zimbabwe,afzwe,2012,376329565,-21035733700,-0.3585512754,3925315124,9.58724467,-0.7786620259
Zimbabwe,afzwe,2013,463015066,8668550100,0.2303446475,3695360600,12.52963151,-0.6659497619
Zimbabwe,afzwe,2014,38474167,-42454089900,-0.916905151,3289725566,1.169525124,-0.7135701776
Zimbabwe,afzwe,2015,120506208,8203204100,2.132132997,3013056553,3.999467182,-0.619207263
Zimbabwe,afzwe,2016,124654016,414780800,0.03441986989,2923726159,4.263532534,-0.6208097339
Zimbabwe,afzwe,2017,10716370,-11393764600,-0.9140310891,3542027978,0.3025489936,-0.7104308605
Zimbabwe,afzwe,2018,10430047,-28632300,-0.0267182824,4561206828,0.2286685825,-0.7210384011
Zimbabwe,afzwe,2019,63216518,5278647100,5.0610003,4079692896,1.549541096,-0.9432861209
Zimbabwe,afzwe,2020,107572068,4435555000,0.7016449403,4391936540,2.449308341,-1.052728176
Zimbabwe,afzwe,2021,1248552760,114098069200,10.60666317,7499810307,16.6477912,-0.954425931
Finland,eufin,1995,126425911,0,0,40917861065,0.3089748773,
Finland,eufin,1996,176425523,4999961200,0.3954854792,41752119786,0.4225546485,
Finland,eufin,1997,181820701,539517800,0.03058048466,42310670585,0.4297277696,
Finland,eufin,1998,153307795,-2851290600,-0.1568188102,44295967328,0.346098763,
Finland,eufin,1999,179465791,2615799600,0.1706240443,42839117766,0.4189297081,
Finland,eufin,2000,262003978,8253818700,0.4599104182,48816404437,0.536712978,
Finland,eufin,2001,246587830,-1541614800,-0.05883936617,46925293048,0.5254902292,
Finland,eufin,2002,281437761,3484993100,0.1413286738,46258954799,0.6083962818,
Finland,eufin,2003,381568475,10013071400,0.3557827977,53892316243,0.708020181,
Finland,eufin,2004,536188632,15462015700,0.4052225672,62609498963,0.8564014101,
Finland,eufin,2005,473430712,-6275792000,-0.1170444807,68012807094,0.6960905339,
Finland,eufin,2006,936867796,46343708400,0.9788910441,78730617295,1.189966278,
Finland,eufin,2007,1645601220,70873342400,0.7564924603,90718735795,1.813959603,
Finland,eufin,2008,943968774,-70163244600,-0.4263684527,99532702329,0.948400628,
Finland,eufin,2009,544779733,-39918904100,-0.4228837351,64834957180,0.8402561777,
Finland,eufin,2010,700121288,15534155500,0.2851456205,71906187342,0.9736593107,
Finland,eufin,2011,1045404151,34528286300,0.493175781,80348495384,1.301087402,1.393471003
Finland,eufin,2012,813131406,-23227274500,-0.2221846401,75304310834,1.079793968,1.400765181
Finland,eufin,2013,715984149,-9714725700,-0.1194730105,76431376248,0.9367673123,1.385172486
Finland,eufin,2014,754407639,3842349000,0.05366528024,76061580329,0.9918379762,1.282197237
Finland,eufin,2015,495452844,-25895479500,-0.3432557965,61673316994,0.8033504085,1.027998209
Finland,eufin,2016,569419234,7396639000,0.1492904742,59593862860,0.9554997892,0.9825918674
Finland,eufin,2017,791059888,22164065400,0.3892398443,69230594077,1.142644951,1.063806653
Finland,eufin,2018,1107716808,31665692000,0.400294497,75792755864,1.461507496,0.8917003274
Finland,eufin,2019,1058056811,-4965999700,-0.04483095015,74194338974,1.426061376,0.8351541162
Finland,eufin,2020,1226721530,16866471900,0.1594098892,67698835243,1.812027527,0.9817488194
Finland,eufin,2021,1395874431,16915290100,0.1378902195,83081974850,1.680117057,0.9631349444
Luxembourg,eulux,1999,8408176,0,0,7808308424,0.1076824268,
Luxembourg,eulux,2000,6450538,-195763800,-0.232825526,8143927569,0.07920672115,
Luxembourg,eulux,2001,7112301,66176300,0.1025903576,8708912922,0.08166692059,
Luxembourg,eulux,2002,10263435,315113400,0.4430540833,9343917791,0.1098408101,
Luxembourg,eulux,2003,13924822,366138700,0.3567408962,11958493525,0.1164429447,
Luxembourg,eulux,2004,46708187,3278336500,2.354311244,14885351590,0.313786253,
Luxembourg,eulux,2005,8216746,-3849144100,-0.8240833882,16031385833,0.05125412167,
Luxembourg,eulux,2006,5907623,-230912300,-0.281026455,18475754256,0.03197500312,
Luxembourg,eulux,2007,22924431,1701680800,2.880483064,20847393441,0.1099630564,
Luxembourg,eulux,2008,10968041,-1195639000,-0.5215566746,22569355688,0.0485970497,
Luxembourg,eulux,2009,6710169,-425787200,-0.3882071557,15695605797,0.04275189557,
Luxembourg,eulux,2010,7913691,120352200,0.1793579268,17091705313,0.04630135411,
Luxembourg,eulux,2011,102525649,9461195800,11.95547792,20196593949,0.507638314,1.317426801
Luxembourg,eulux,2012,51275513,-5125013600,-0.4998762407,17214039618,0.297870309,1.331918836
Luxembourg,eulux,2013,50897695,-37781800,-0.007368390444,17659288456,0.2882205312,1.335248113
Luxembourg,eulux,2014,87484967,3658727200,0.7188394681,18819091257,0.4648734937,1.378323793
Luxembourg,eulux,2015,57696106,-2978886100,-0.340502626,16804360695,0.3433400833,1.426368237
Luxembourg,eulux,2016,49893737,-780236900,-0.1352321593,16305270164,0.30599761,1.403617144
Luxembourg,eulux,2017,41275181,-861855600,-0.1727382337,16407274997,0.2515663388,1.31289196
Luxembourg,eulux,2018,64488381,2321320000,0.5624009256,18124673193,0.3558043796,1.347255111
Luxembourg,eulux,2019,80842253,1635387200,0.2535940854,17068857367,0.4736242811,1.333174944
Luxembourg,eulux,2020,236665214,15582296100,1.927494042,15905933000,1.487905262,1.212395668
Luxembourg,eulux,2021,318610830,8194561600,0.346251207,19415980460,1.64097214,1.193919539
Norway,eunor,1995,485479301,0,0,44529130111,1.090251033,
Norway,eunor,1996,529973985,4449468400,0.0916510424,51696108162,1.025171921,
Norway,eunor,1997,489580412,-4039357300,-0.07621802983,49961919387,0.9799071333,
Norway,eunor,1998,411704617,-7787579500,-0.1590664028,43360601522,0.949490096,
Norway,eunor,1999,496560334,8485571700,0.2061082473,47925125882,1.036116911,
Norway,eunor,2000,602739829,10617949500,0.2138299975,64453202962,0.935158846,
Norway,eunor,2001,484140936,-11859889300,-0.1967663116,63650911919,0.7606190099,
Norway,eunor,2002,530575492,4643455600,0.09591123689,62508183920,0.8488096418,
Norway,eunor,2003,875884365,34530887300,0.6508194936,70835964805,1.236496697,
Norway,eunor,2004,1179023880,30313951500,0.3460953604,86889656596,1.356920865,
Norway,eunor,2005,1506229432,32720555200,0.2775224129,107134798613,1.40591988,
Norway,eunor,2006,2249749974,74352054200,0.4936303369,125710633640,1.789625833,
Norway,eunor,2007,3788357880,153860790600,0.683901733,139613340998,2.713464095,
Norway,eunor,2008,2330378096,-145797978400,-0.384857986,174069562253,1.338762542,
Norway,eunor,2009,1485403599,-84497449700,-0.36259116,120446123662,1.233251477,
Norway,eunor,2010,2435622985,95021938600,0.6397045131,134039672956,1.817091113,
Norway,eunor,2011,2516161397,8053841200,0.03306686318,158832360877,1.58416168,1.337976933
Norway,eunor,2012,1973098761,-54306263600,-0.2158298099,161015903006,1.225406139,1.327469826
Norway,eunor,2013,1715935966,-25716279500,-0.130334477,152438778201,1.125655812,1.352091908
Norway,eunor,2014,1761849708,4591374200,0.02675725838,149330512796,1.179832356,1.11995852
Norway,eunor,2015,1508776284,-25307342400,-0.143640756,110003107671,1.371576054,1.145620108
Norway,eunor,2016,1024630006,-48414627800,-0.3208867233,94635362532,1.082713669,1.181620955
Norway,eunor,2017,1141557717,11692771100,0.1141170084,108820047993,1.049032543,1.150700212
Norway,eunor,2018,1567639151,42608143400,0.3732456341,127620637844,1.228358655,1.120635986
Norway,eunor,2019,1512829799,-5480935200,-0.03496299003,108485491389,1.394499651,1.141986489
Norway,eunor,2020,1316561283,-19626851600,-0.1297360193,87067440602,1.512116669,1.221518755
Norway,eunor,2021,1827507345,51094606200,0.3880913624,163812599127,1.11560854,1.088475108
Canada,nacan,1995,1663307027,0,0,188047386502,0.8845148332,
Canada,nacan,1996,1783546834,12023980700,0.07228960441,200868387987,0.8879181298,
Canada,nacan,1997,1599811693,-18373514100,-0.1030167179,211429658722,0.7566638014,
Canada,nacan,1998,1354351170,-24546052300,-0.1534308844,208773606262,0.6487176201,
Canada,nacan,1999,1251362382,-10298878800,-0.07604289809,231674726674,0.5401376317,
Canada,nacan,2000,1823081287,57171890500,0.456877171,273484921371,0.6666112625,
Canada,nacan,2001,1783276907,-3980438000,-0.0218335739,256914036378,0.6941142384,
Canada,nacan,2002,1778622399,-465450800,-0.002610087072,241576541319,0.7362562562,
Canada,nacan,2003,2111176340,33255394100,0.1869727612,262217295854,0.8051247471,
Canada,nacan,2004,3760488088,164931174800,0.7812287949,306469281046,1.227035896,
Canada,nacan,2005,4040143532,27965544400,0.07436679427,348390966023,1.159657949,
Canada,nacan,2006,5391779751,135163621900,0.3345515347,375172617144,1.437146397,
Canada,nacan,2007,10215905604,482412585300,0.8947186413,408588486170,2.500292091,
Canada,nacan,2008,7214372278,-300153332600,-0.2938098141,444186548992,1.624176215,
Canada,nacan,2009,3340352198,-387402008000,-0.5369864391,306511256742,1.08979756,
Canada,nacan,2010,5079285279,173893308100,0.5205837522,380897135275,1.333505771,
Canada,nacan,2011,7906992537,282770725800,0.5567136128,440869279570,1.793500455,1.077175736
Canada,nacan,2012,5430764983,-247622755400,-0.3131693299,444739815961,1.221110588,1.113016248
Canada,nacan,2013,4814447764,-61631721900,-0.1134862622,450593522095,1.068468038,1.061421752
Canada,nacan,2014,5474344253,65989648900,0.1370658737,466599079852,1.173243688,1.17550385
