Year,Price per Metric Ton
1990,8864
1991,8163.220052
1992,7015.479574
1993,5308.166992
1994,6331.932495
1995,8223.560303
1996,7504.093709
1997,6924.7205
1998,4623.586548
1999,6002.506032
2000,8630.517694
2001,5969.63064
2002,6783.306431
2003,9630.234545
2004,13821.00927
2005,14777.81459
2006,24125.61414
2007,37135.84189
2008,21141.46547
2009,14666.73788
2010,21809.99929
2011,22909.14221
2012,17541.73948
2013,15029.98858
2014,16893.37455
2015,11862.63452
2016,9595.179081
2017,10409.63495
2018,13114.06389
2019,13913.90869
2020,13790.42657
2021,18467.05187
2022,25867.26271
