Country,Country ID,Year,Product Trade Value,Product Growth,Product Growth Rate,Gross Trade Value,Product Percentage,Political Stability and Absence of Violence/Terrorism: Estimate
South Africa,afzaf,1995,114446701,0,0,27645075914,0.4139858446,
South Africa,afzaf,1996,55296993,-5914970800,-0.5168319181,27266899726,0.2027989744,
South Africa,afzaf,1997,56181951,88495800,0.01600372736,25321457950,0.2218748664,
South Africa,afzaf,1998,36684762,-1949718900,-0.3470365242,25411012309,0.1443656064,
South Africa,afzaf,1999,51212466,1452770400,0.3960146723,24926419242,0.2054545641,
South Africa,afzaf,2000,120730891,6951842500,1.357451231,29370671067,0.4110593548,
South Africa,afzaf,2001,44165432,-7656545900,-0.6341828373,28212923077,0.1565432688,
South Africa,afzaf,2002,165205195,12103976300,2.740599549,28248699659,0.5848240698,
South Africa,afzaf,2003,220634237,5542904200,0.3355163377,36387376162,0.6063483006,
South Africa,afzaf,2004,252260581,3162634400,0.1433428666,50860416211,0.4959860728,
South Africa,afzaf,2005,139914749,-11234583200,-0.4453562723,59723037393,0.2342726611,
South Africa,afzaf,2006,554604257,41468950800,2.963872722,74845367986,0.7410001072,
South Africa,afzaf,2007,672855177,11825092000,0.213216755,86530117473,0.777596514,
South Africa,afzaf,2008,739806595,6695141800,0.09950345972,97142433824,0.7615689312,
South Africa,afzaf,2009,410669087,-32913750800,-0.4448966936,72115738684,0.5694583381,
South Africa,afzaf,2010,513592115,10292302800,0.2506227794,93043763499,0.5519898333,
South Africa,afzaf,2011,562245628,4865351300,0.09473181456,119201132220,0.4716780936,0.02403157018
South Africa,afzaf,2012,383805858,-17843977000,-0.3173697778,121863222452,0.3149480625,-0.02538670041
South Africa,afzaf,2013,499913581,11610772300,0.3025168079,115858566302,0.4314860756,-0.04629453644
South Africa,afzaf,2014,58953256,-44096032500,-0.8820731058,107541495068,0.05481907794,-0.1463889629
South Africa,afzaf,2015,112398511,5344525500,0.906570029,90439401471,0.1242804676,-0.2205448747
South Africa,afzaf,2016,230404414,11800590300,1.04988849,81677539631,0.2820902968,-0.1490850002
South Africa,afzaf,2017,68221460,-16218295400,-0.7039055858,91669685964,0.07442095965,-0.2848039567
South Africa,afzaf,2018,31663857,-3655760300,-0.5358666173,97762739352,0.03238847153,-0.2376219928
South Africa,afzaf,2019,71582580,3991872300,1.26070311,94031743762,0.07612597314,-0.283249706
South Africa,afzaf,2020,114938847,4335626700,0.6056818153,72765865283,0.1579570951,-0.2528879344
South Africa,afzaf,2021,1256726519,114178767200,9.933870939,96689897862,1.299749557,-0.7509813905
China,aschn,1995,75417117,0,0,125107222570,0.06028198489,
China,aschn,1996,72965108,-245200900,-0.03251263238,131198233710,0.0556143981,
China,aschn,1997,103321262,3035615400,0.4160365801,124602086799,0.0829209724,
China,aschn,1998,107156251,383498900,0.03711713277,116278378212,0.09215492394,
China,aschn,1999,88252151,-1890410000,-0.176416213,125621558172,0.07025239321,
China,aschn,2000,180437374,9218522300,1.044566302,172144503941,0.1048173888,
China,aschn,2001,228690799,4825342500,0.2674247797,184839686806,0.123723862,
China,aschn,2002,315105461,8641466200,0.377866807,224469963061,0.1403775617,
China,aschn,2003,697774644,38266918300,1.21441622,317958541197,0.2194545998,
China,aschn,2004,1072988079,37521343500,0.5377286753,416764463973,0.2574567104,
China,aschn,2005,1781501991,70851391200,0.6603185309,488957806965,0.364346773,
China,aschn,2006,3623068247,184156625600,1.033715519,583094900363,0.6213513863,
China,aschn,2007,5780755995,215768774800,0.5955415689,718600683226,0.8044462147,
China,aschn,2008,4191852948,-158890304700,-0.2748607705,839526703000,0.4993114493,
China,aschn,2009,3686343270,-50550967800,-0.1205933711,774058687232,0.4762356306,
China,aschn,2010,4821131317,113478804700,0.3078356962,1065714909390,0.4523847114,
China,aschn,2011,5226865550,40573423300,0.0841574739,1337002320449,0.3909391532,-0.6020548344
China,aschn,2012,4535182724,-69168282600,-0.1323322399,1358097611156,0.3339364333,-0.5387820601
China,aschn,2013,4159742393,-37544033100,-0.08278394805,1461897082616,0.284544134,-0.5437899232
China,aschn,2014,3771968406,-38777398700,-0.09322067339,1462084027131,0.2579857475,-0.5225840211
China,aschn,2015,5847392435,207542402900,0.5502230681,1205967866662,0.48487133,-0.5525596738
China,aschn,2016,5045705181,-80168725400,-0.1371016676,1177526918780,0.4285001982,-0.5022213459
China,aschn,2017,4852233619,-19347156200,-0.03834381024,1411314040600,0.3438096327,-0.2325584739
China,aschn,2018,4526146125,-32608749400,-0.06720358491,1597168621648,0.2833856152,-0.2986415029
China,aschn,2019,5365098815,83895269000,0.1853569608,1574095393631,0.3408369554,-0.2598108649
China,aschn,2020,4330633029,-103446578600,-0.1928139297,1554162463049,0.2786473829,-0.4730987847
China,aschn,2021,10505605000,617497197100,1.425882066,1969704760811,0.5333593749,-0.516728878
Japan,asjpn,1995,1214644933,0,0,307643328615,0.3948224519,
Japan,asjpn,1996,891013575,-32363135800,-0.2664411214,322756474427,0.276063734,
Japan,asjpn,1997,969765543,7875196800,0.08838470054,311131756402,0.3116896694,
Japan,asjpn,1998,682506243,-28725930000,-0.2962152059,257023990382,0.2655418438,
Japan,asjpn,1999,808904643,12639840000,0.1851974268,283475650482,0.285352425,
Japan,asjpn,2000,1294868719,48596407600,0.6007680636,358340295002,0.361351692,
Japan,asjpn,2001,899172821,-39569589800,-0.305587657,331587330069,0.2711722492,
Japan,asjpn,2002,778966425,-12020639600,-0.133685531,311872128431,0.2497710933,
Japan,asjpn,2003,1247754836,46878841100,0.6018082371,353585656305,0.3528861575,
Japan,asjpn,2004,2186617076,93886224000,0.7524412753,414428071496,0.5276228196,
Japan,asjpn,2005,2128853173,-5776390300,-0.02641701816,472051444242,0.4509790615,
Japan,asjpn,2006,3187563943,105871077000,0.4973150725,528397540207,0.6032510942,
Japan,asjpn,2007,5481028588,229346464500,0.7195038864,575511134168,0.9523757687,
Japan,asjpn,2008,3370992101,-211003648700,-0.3849708961,689239756805,0.4890884584,
Japan,asjpn,2009,1534655741,-183633636000,-0.5447465627,494916801087,0.3100835812,
Japan,asjpn,2010,3324343893,178968815200,1.166182163,629241684585,0.5283095469,
Japan,asjpn,2011,3415369498,9102560500,0.02738152488,763443086892,0.4473639956,0.9950919747
Japan,asjpn,2012,2644315171,-77105432700,-0.2257601491,784170365035,0.3372118214,0.9484428763
Japan,asjpn,2013,2386222726,-25809244500,-0.09760275471,753175376289,0.3168216595,1.019141912
Japan,asjpn,2014,2938660671,55243794500,0.2315114758,742858112850,0.3955884199,0.9685973525
Japan,asjpn,2015,2260396126,-67826454500,-0.2308073714,570180265300,0.3964353492,1.054220557
Japan,asjpn,2016,1735027769,-52536835700,-0.2324231364,552917324036,0.3137951541,0.9681890011
Japan,asjpn,2017,2049736457,31470868800,0.1813853897,612267543081,0.3347779055,1.100126505
Japan,asjpn,2018,2834622269,78488581200,0.3829203551,680697067060,0.4164293349,1.037358642
Japan,asjpn,2019,2764742565,-6987970400,-0.0246522102,656598752777,0.4210703346,1.019695044
Japan,asjpn,2020,2320221375,-44452119000,-0.1607821269,582682405879,0.3981965736,1.026066899
Japan,asjpn,2021,3170204773,84998339800,0.3663371983,700386049900,0.452636767,1.015356421
South Korea,askor,1995,361061391,0,0,125545223412,0.287594686,
South Korea,askor,1996,305143464,-5591792700,-0.1548709676,141977277669,0.2149241548,
South Korea,askor,1997,329226708,2408324400,0.0789243318,137633599754,0.2392051858,
South Korea,askor,1998,295848415,-3337829300,-0.1013839163,85049988744,0.3478523858,
South Korea,askor,1999,449169467,15332105200,0.5182419247,113509518566,0.3957108379,
South Korea,askor,2000,606675671,15750620400,0.3506609767,157216538181,0.3858854024,
South Korea,askor,2001,403100795,-20357487600,-0.335558002,139431698646,0.2891026925,
South Korea,askor,2002,457149196,5404840100,0.1340816036,146194715666,0.3126988509,
South Korea,askor,2003,751139962,29399076600,0.6430958833,169767905133,0.442451099,
South Korea,askor,2004,1156913144,40577318200,0.5402098178,210916231295,0.5485178343,
South Korea,askor,2005,1181844007,2493086300,0.02154946819,244604119049,0.4831660283,
South Korea,askor,2006,1601498581,41965457400,0.3550845725,289259686853,0.5536542608,
South Korea,askor,2007,1834888989,23339040800,0.14573251,333916089328,0.5495060129,
South Korea,askor,2008,1264574005,-57031498400,-0.3108171597,404665641214,0.3124984867,
South Korea,askor,2009,938666529,-32590747600,-0.2577211573,305794037320,0.3069603767,
South Korea,askor,2010,1591586391,65291986200,0.6955823414,402031751189,0.3958857444,
South Korea,askor,2011,1740184995,14859860400,0.09336508834,485005057517,0.3587972884,0.4124956429
South Korea,askor,2012,1155988419,-58419657600,-0.3357094663,487122556352,0.2373095649,0.2671033144
