,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8108108108108109,0.9367088607594937,0.8554913294797688,0.8942598187311178,0.07407407407407407,0.16666666666666666,0.10256410256410256
1,LSTM,200 layers,0.8162162162162162,0.9371069182389937,0.861271676300578,0.897590361445783,0.07692307692307693,0.16666666666666666,0.10526315789473684
2,LSTM,100 layers,0.9351351351351351,0.9351351351351351,1.0,0.9664804469273743,0.0,0.0,0.0
3,LSTM,50 layers,0.654054054054054,0.9224806201550387,0.6878612716763006,0.7880794701986754,0.03571428571428571,0.16666666666666666,0.058823529411764705
4,CNN with Attention,"32 filters, kernel size 7",0.14594594594594595,0.8947368421052632,0.09826589595375723,0.17708333333333334,0.060240963855421686,0.8333333333333334,0.11235955056179775
5,CNN with Attention,"32 filters, kernel size 5",0.6108108108108108,0.9173553719008265,0.6416184971098265,0.7551020408163265,0.03125,0.16666666666666666,0.05263157894736842
6,CNN with Attention,"32 filters, kernel size 3",0.9135135135135135,0.9337016574585635,0.976878612716763,0.9548022598870056,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.6810810810810811,0.9384615384615385,0.7052023121387283,0.8052805280528053,0.07272727272727272,0.3333333333333333,0.11940298507462686
8,CNN with Attention,"64 filters, kernel size 5",0.9351351351351351,0.9351351351351351,1.0,0.9664804469273743,0.0,0.0,0.0
9,CNN with Attention,"64 filters, kernel size 3",0.9405405405405406,0.9402173913043478,1.0,0.969187675070028,1.0,0.08333333333333333,0.15384615384615385
10,CNN with Attention,"128 filters, kernel size 7",0.9351351351351351,0.9351351351351351,1.0,0.9664804469273743,0.0,0.0,0.0
11,CNN with Attention,"128 filters, kernel size 5",0.9351351351351351,0.9351351351351351,1.0,0.9664804469273743,0.0,0.0,0.0
12,CNN with Attention,"128 filters, kernel size 3",0.9351351351351351,0.9351351351351351,1.0,0.9664804469273743,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.9351351351351351,0.9351351351351351,1.0,0.9664804469273743,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.9351351351351351,0.9351351351351351,1.0,0.9664804469273743,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.9351351351351351,0.9351351351351351,1.0,0.9664804469273743,0.0,0.0,0.0
16,RNN,200 units,0.8918918918918919,0.9322033898305084,0.953757225433526,0.9428571428571428,0.0,0.0,0.0
17,RNN,150 units,0.8486486486486486,0.9289940828402367,0.9075144508670521,0.9181286549707602,0.0,0.0,0.0
18,RNN,100 units,0.918918918918919,0.9388888888888889,0.976878612716763,0.9575070821529745,0.2,0.08333333333333333,0.11764705882352941
19,RNN,50 units,0.9297297297297298,0.9347826086956522,0.9942196531791907,0.9635854341736695,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.07567567567567568,0.5833333333333334,0.04046242774566474,0.07567567567567568,0.04046242774566474,0.5833333333333334,0.07567567567567568
21,CNN,"32 filters, kernel size 5",0.5837837837837838,0.9137931034482759,0.6127167630057804,0.7335640138408304,0.028985507246376812,0.16666666666666666,0.04938271604938272
22,CNN,"32 filters, kernel size 3",0.9243243243243243,0.9392265193370166,0.9826589595375722,0.9604519774011299,0.25,0.08333333333333333,0.125
23,CNN,"64 filters, kernel size 7",0.3837837837837838,0.8933333333333333,0.3872832369942196,0.5403225806451613,0.03636363636363636,0.3333333333333333,0.06557377049180327
24,CNN,"64 filters, kernel size 5",0.8540540540540541,0.9294117647058824,0.9132947976878613,0.9212827988338192,0.0,0.0,0.0
25,CNN,"64 filters, kernel size 3",0.7567567567567568,0.9210526315789473,0.8092485549132948,0.8615384615384616,0.0,0.0,0.0
26,CNN,"128 filters, kernel size 7",0.8648648648648649,0.9404761904761905,0.9132947976878613,0.9266862170087976,0.11764705882352941,0.16666666666666666,0.13793103448275862
27,CNN,"128 filters, kernel size 5",0.5405405405405406,0.9074074074074074,0.5664739884393064,0.6975088967971531,0.025974025974025976,0.16666666666666666,0.0449438202247191
28,CNN,"128 filters, kernel size 3",0.7945945945945946,0.9299363057324841,0.8439306358381503,0.884848484848485,0.03571428571428571,0.08333333333333333,0.05
29,CNN,"256 filters, kernel size 7",0.9297297297297298,0.9347826086956522,0.9942196531791907,0.9635854341736695,0.0,0.0,0.0
30,CNN,"256 filters, kernel size 5",0.11891891891891893,0.75,0.08670520231213873,0.15544041450777202,0.04242424242424243,0.5833333333333334,0.0790960451977401
31,CNN,"256 filters, kernel size 3",0.4864864864864865,0.90625,0.5028901734104047,0.6468401486988848,0.033707865168539325,0.25,0.05940594059405941
