,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
1,LSTM,200 layers,0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
2,LSTM,100 layers,0.8484848484848485,0.8860759493670886,0.9523809523809523,0.9180327868852458,0.0,0.0,0.0
3,LSTM,50 layers,0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.8727272727272727,0.8987341772151899,0.9659863945578231,0.9311475409836065,0.2857142857142857,0.1111111111111111,0.16
5,CNN with Attention,"32 filters, kernel size 5",0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
6,CNN with Attention,"32 filters, kernel size 3",0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
8,CNN with Attention,"64 filters, kernel size 5",0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
9,CNN with Attention,"64 filters, kernel size 3",0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
10,CNN with Attention,"128 filters, kernel size 7",0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
11,CNN with Attention,"128 filters, kernel size 5",0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
12,CNN with Attention,"128 filters, kernel size 3",0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
16,RNN,200 units,0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
17,RNN,150 units,0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
18,RNN,100 units,0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
19,RNN,50 units,0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.806060606060606,0.9020979020979021,0.8775510204081632,0.8896551724137932,0.18181818181818182,0.2222222222222222,0.19999999999999998
21,CNN,"32 filters, kernel size 5",0.896969696969697,0.8963414634146342,1.0,0.9453376205787781,1.0,0.05555555555555555,0.10526315789473684
22,CNN,"32 filters, kernel size 3",0.8545454545454545,0.89171974522293,0.9523809523809523,0.9210526315789473,0.125,0.05555555555555555,0.07692307692307691
23,CNN,"64 filters, kernel size 7",0.896969696969697,0.9012345679012346,0.9931972789115646,0.9449838187702265,0.6666666666666666,0.1111111111111111,0.1904761904761905
24,CNN,"64 filters, kernel size 5",0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
25,CNN,"64 filters, kernel size 3",0.8363636363636363,0.8896103896103896,0.9319727891156463,0.9102990033222591,0.09090909090909091,0.05555555555555555,0.06896551724137931
26,CNN,"128 filters, kernel size 7",0.8727272727272727,0.9038461538461539,0.9591836734693877,0.9306930693069307,0.3333333333333333,0.16666666666666666,0.2222222222222222
27,CNN,"128 filters, kernel size 5",0.7818181818181819,0.8992805755395683,0.8503401360544217,0.874125874125874,0.15384615384615385,0.2222222222222222,0.18181818181818185
28,CNN,"128 filters, kernel size 3",0.8606060606060606,0.8875,0.9659863945578231,0.9250814332247557,0.0,0.0,0.0
29,CNN,"256 filters, kernel size 7",0.8909090909090909,0.8909090909090909,1.0,0.9423076923076923,0.0,0.0,0.0
30,CNN,"256 filters, kernel size 5",0.8727272727272727,0.89375,0.9727891156462585,0.9315960912052118,0.2,0.05555555555555555,0.08695652173913045
31,CNN,"256 filters, kernel size 3",0.8606060606060606,0.8974358974358975,0.9523809523809523,0.924092409240924,0.2222222222222222,0.1111111111111111,0.14814814814814814
