,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.896774193548387,0.8954248366013072,1.0,0.9448275862068967,1.0,0.1111111111111111,0.19999999999999998
1,LSTM,200 layers,0.8516129032258064,0.9014084507042254,0.9343065693430657,0.917562724014337,0.3076923076923077,0.2222222222222222,0.2580645161290323
2,LSTM,100 layers,0.8258064516129032,0.9044117647058824,0.8978102189781022,0.9010989010989011,0.2631578947368421,0.2777777777777778,0.27027027027027023
3,LSTM,50 layers,0.7161290322580646,0.918918918918919,0.7445255474452555,0.8225806451612903,0.20454545454545456,0.5,0.2903225806451613
4,CNN with Attention,"32 filters, kernel size 7",0.8709677419354839,0.8823529411764706,0.9854014598540146,0.9310344827586207,0.0,0.0,0.0
5,CNN with Attention,"32 filters, kernel size 5",0.8774193548387097,0.8933333333333333,0.9781021897810219,0.9337979094076654,0.4,0.1111111111111111,0.1739130434782609
6,CNN with Attention,"32 filters, kernel size 3",0.896774193548387,0.8954248366013072,1.0,0.9448275862068967,1.0,0.1111111111111111,0.19999999999999998
7,CNN with Attention,"64 filters, kernel size 7",0.8774193548387097,0.8933333333333333,0.9781021897810219,0.9337979094076654,0.4,0.1111111111111111,0.1739130434782609
8,CNN with Attention,"64 filters, kernel size 5",0.8774193548387097,0.8881578947368421,0.9854014598540146,0.9342560553633217,0.3333333333333333,0.05555555555555555,0.09523809523809525
9,CNN with Attention,"64 filters, kernel size 3",0.8903225806451613,0.8947368421052632,0.9927007299270073,0.9411764705882353,0.6666666666666666,0.1111111111111111,0.1904761904761905
10,CNN with Attention,"128 filters, kernel size 7",0.8903225806451613,0.8896103896103896,1.0,0.9415807560137458,1.0,0.05555555555555555,0.10526315789473684
11,CNN with Attention,"128 filters, kernel size 5",0.8774193548387097,0.8831168831168831,0.9927007299270073,0.9347079037800686,0.0,0.0,0.0
12,CNN with Attention,"128 filters, kernel size 3",0.8903225806451613,0.8947368421052632,0.9927007299270073,0.9411764705882353,0.6666666666666666,0.1111111111111111,0.1904761904761905
13,CNN with Attention,"256 filters, kernel size 7",0.8838709677419355,0.8838709677419355,1.0,0.9383561643835617,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.8838709677419355,0.8838709677419355,1.0,0.9383561643835617,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.8838709677419355,0.8838709677419355,1.0,0.9383561643835617,0.0,0.0,0.0
16,RNN,200 units,0.8838709677419355,0.8940397350993378,0.9854014598540146,0.9374999999999999,0.5,0.1111111111111111,0.1818181818181818
17,RNN,150 units,0.896774193548387,0.8954248366013072,1.0,0.9448275862068967,1.0,0.1111111111111111,0.19999999999999998
18,RNN,100 units,0.896774193548387,0.8954248366013072,1.0,0.9448275862068967,1.0,0.1111111111111111,0.19999999999999998
19,RNN,50 units,0.7741935483870968,0.8805970149253731,0.8613138686131386,0.8708487084870848,0.09523809523809523,0.1111111111111111,0.10256410256410256
20,CNN,"32 filters, kernel size 7",0.864516129032258,0.8866666666666667,0.9708029197080292,0.926829268292683,0.2,0.05555555555555555,0.08695652173913045
21,CNN,"32 filters, kernel size 5",0.8774193548387097,0.9041095890410958,0.9635036496350365,0.9328621908127209,0.4444444444444444,0.2222222222222222,0.2962962962962963
22,CNN,"32 filters, kernel size 3",0.8709677419354839,0.8979591836734694,0.9635036496350365,0.9295774647887325,0.375,0.16666666666666666,0.23076923076923078
23,CNN,"64 filters, kernel size 7",0.8580645161290322,0.8807947019867549,0.9708029197080292,0.9236111111111112,0.0,0.0,0.0
24,CNN,"64 filters, kernel size 5",0.8774193548387097,0.8881578947368421,0.9854014598540146,0.9342560553633217,0.3333333333333333,0.05555555555555555,0.09523809523809525
25,CNN,"64 filters, kernel size 3",0.8903225806451613,0.8896103896103896,1.0,0.9415807560137458,1.0,0.05555555555555555,0.10526315789473684
26,CNN,"128 filters, kernel size 7",0.8903225806451613,0.8896103896103896,1.0,0.9415807560137458,1.0,0.05555555555555555,0.10526315789473684
27,CNN,"128 filters, kernel size 5",0.8129032258064516,0.875,0.9197080291970803,0.896797153024911,0.0,0.0,0.0
28,CNN,"128 filters, kernel size 3",0.8387096774193549,0.8783783783783784,0.948905109489051,0.9122807017543859,0.0,0.0,0.0
29,CNN,"256 filters, kernel size 7",0.8838709677419355,0.8838709677419355,1.0,0.9383561643835617,0.0,0.0,0.0
30,CNN,"256 filters, kernel size 5",0.8580645161290322,0.891156462585034,0.9562043795620438,0.9225352112676056,0.25,0.1111111111111111,0.15384615384615383
31,CNN,"256 filters, kernel size 3",0.8838709677419355,0.8940397350993378,0.9854014598540146,0.9374999999999999,0.5,0.1111111111111111,0.1818181818181818
