,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.6838709677419355,1.0,0.02,0.0392156862745098,0.6818181818181818,1.0,0.8108108108108109
1,LSTM,200 layers,0.6838709677419355,1.0,0.02,0.0392156862745098,0.6818181818181818,1.0,0.8108108108108109
2,LSTM,100 layers,0.6838709677419355,1.0,0.02,0.0392156862745098,0.6818181818181818,1.0,0.8108108108108109
3,LSTM,50 layers,0.6838709677419355,1.0,0.02,0.0392156862745098,0.6818181818181818,1.0,0.8108108108108109
4,CNN with Attention,"32 filters, kernel size 7",0.6903225806451613,0.5833333333333334,0.14,0.22580645161290325,0.6993006993006993,0.9523809523809523,0.8064516129032258
5,CNN with Attention,"32 filters, kernel size 5",0.6838709677419355,0.5454545454545454,0.12,0.19672131147540983,0.6944444444444444,0.9523809523809523,0.8032128514056224
6,CNN with Attention,"32 filters, kernel size 3",0.6838709677419355,0.5454545454545454,0.12,0.19672131147540983,0.6944444444444444,0.9523809523809523,0.8032128514056224
7,CNN with Attention,"64 filters, kernel size 7",0.6903225806451613,0.6,0.12,0.19999999999999998,0.696551724137931,0.9619047619047619,0.8079999999999999
8,CNN with Attention,"64 filters, kernel size 5",0.6838709677419355,0.5555555555555556,0.1,0.16949152542372883,0.6917808219178082,0.9619047619047619,0.804780876494024
9,CNN with Attention,"64 filters, kernel size 3",0.6774193548387096,0.5,0.1,0.16666666666666669,0.6896551724137931,0.9523809523809523,0.7999999999999999
10,CNN with Attention,"128 filters, kernel size 7",0.6903225806451613,0.6,0.12,0.19999999999999998,0.696551724137931,0.9619047619047619,0.8079999999999999
11,CNN with Attention,"128 filters, kernel size 5",0.6774193548387096,0.5,0.08,0.13793103448275865,0.6870748299319728,0.9619047619047619,0.8015873015873015
12,CNN with Attention,"128 filters, kernel size 3",0.6709677419354839,0.42857142857142855,0.06,0.10526315789473684,0.6824324324324325,0.9619047619047619,0.7984189723320159
13,CNN with Attention,"256 filters, kernel size 7",0.6903225806451613,0.5833333333333334,0.14,0.22580645161290325,0.6993006993006993,0.9523809523809523,0.8064516129032258
14,CNN with Attention,"256 filters, kernel size 5",0.6838709677419355,0.5555555555555556,0.1,0.16949152542372883,0.6917808219178082,0.9619047619047619,0.804780876494024
15,CNN with Attention,"256 filters, kernel size 3",0.6774193548387096,0.5,0.04,0.07407407407407407,0.6821192052980133,0.9809523809523809,0.8046875
16,RNN,200 units,0.3225806451612903,0.3225806451612903,1.0,0.4878048780487805,0.0,0.0,0.0
17,RNN,150 units,0.3032258064516129,0.30666666666666664,0.92,0.4600000000000001,0.2,0.009523809523809525,0.018181818181818184
18,RNN,100 units,0.3225806451612903,0.3225806451612903,1.0,0.4878048780487805,0.0,0.0,0.0
19,RNN,50 units,0.3225806451612903,0.3225806451612903,1.0,0.4878048780487805,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.6967741935483871,0.6,0.18,0.2769230769230769,0.7071428571428572,0.9428571428571428,0.8081632653061225
21,CNN,"32 filters, kernel size 5",0.6903225806451613,0.5833333333333334,0.14,0.22580645161290325,0.6993006993006993,0.9523809523809523,0.8064516129032258
22,CNN,"32 filters, kernel size 3",0.6903225806451613,0.55,0.22,0.3142857142857143,0.7111111111111111,0.9142857142857143,0.8
23,CNN,"64 filters, kernel size 7",0.6903225806451613,0.55,0.22,0.3142857142857143,0.7111111111111111,0.9142857142857143,0.8
24,CNN,"64 filters, kernel size 5",0.6903225806451613,0.5833333333333334,0.14,0.22580645161290325,0.6993006993006993,0.9523809523809523,0.8064516129032258
25,CNN,"64 filters, kernel size 3",0.7096774193548387,0.6470588235294118,0.22,0.3283582089552239,0.717391304347826,0.9428571428571428,0.8148148148148148
26,CNN,"128 filters, kernel size 7",0.6903225806451613,0.5833333333333334,0.14,0.22580645161290325,0.6993006993006993,0.9523809523809523,0.8064516129032258
27,CNN,"128 filters, kernel size 5",0.6967741935483871,0.6,0.18,0.2769230769230769,0.7071428571428572,0.9428571428571428,0.8081632653061225
28,CNN,"128 filters, kernel size 3",0.7096774193548387,0.6470588235294118,0.22,0.3283582089552239,0.717391304347826,0.9428571428571428,0.8148148148148148
29,CNN,"256 filters, kernel size 7",0.6967741935483871,0.6,0.18,0.2769230769230769,0.7071428571428572,0.9428571428571428,0.8081632653061225
30,CNN,"256 filters, kernel size 5",0.7032258064516129,0.625,0.2,0.30303030303030304,0.7122302158273381,0.9428571428571428,0.8114754098360656
31,CNN,"256 filters, kernel size 3",0.6967741935483871,0.6,0.18,0.2769230769230769,0.7071428571428572,0.9428571428571428,0.8081632653061225
