,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.6774193548387096,0.0,0.0,0.0,0.6774193548387096,1.0,0.8076923076923077
1,LSTM,200 layers,0.6774193548387096,0.0,0.0,0.0,0.6774193548387096,1.0,0.8076923076923077
2,LSTM,100 layers,0.5419354838709678,0.26666666666666666,0.24,0.2526315789473685,0.6545454545454545,0.6857142857142857,0.6697674418604651
3,LSTM,50 layers,0.5096774193548387,0.3898305084745763,0.92,0.5476190476190477,0.8918918918918919,0.3142857142857143,0.4647887323943662
4,CNN with Attention,"32 filters, kernel size 7",0.6451612903225806,0.43243243243243246,0.32,0.36781609195402293,0.711864406779661,0.8,0.7533632286995515
5,CNN with Attention,"32 filters, kernel size 5",0.6451612903225806,0.4074074074074074,0.22,0.2857142857142857,0.6953125,0.8476190476190476,0.7639484978540773
6,CNN with Attention,"32 filters, kernel size 3",0.6838709677419355,0.5142857142857142,0.36,0.4235294117647058,0.7333333333333333,0.8380952380952381,0.7822222222222223
7,CNN with Attention,"64 filters, kernel size 7",0.632258064516129,0.36,0.18,0.23999999999999996,0.6846153846153846,0.8476190476190476,0.7574468085106384
8,CNN with Attention,"64 filters, kernel size 5",0.535483870967742,0.3382352941176471,0.46,0.3898305084745763,0.6896551724137931,0.5714285714285714,0.625
9,CNN with Attention,"64 filters, kernel size 3",0.567741935483871,0.22580645161290322,0.14,0.1728395061728395,0.6532258064516129,0.7714285714285715,0.7074235807860262
10,CNN with Attention,"128 filters, kernel size 7",0.6516129032258065,0.4090909090909091,0.18,0.25,0.6917293233082706,0.8761904761904762,0.7731092436974789
11,CNN with Attention,"128 filters, kernel size 5",0.5935483870967742,0.38596491228070173,0.44,0.411214953271028,0.7142857142857143,0.6666666666666666,0.689655172413793
12,CNN with Attention,"128 filters, kernel size 3",0.6516129032258065,0.46774193548387094,0.58,0.5178571428571428,0.7741935483870968,0.6857142857142857,0.7272727272727272
13,CNN with Attention,"256 filters, kernel size 7",0.6387096774193548,0.453125,0.58,0.5087719298245614,0.7692307692307693,0.6666666666666666,0.7142857142857142
14,CNN with Attention,"256 filters, kernel size 5",0.5483870967741935,0.16666666666666666,0.1,0.125,0.64,0.7619047619047619,0.6956521739130435
15,CNN with Attention,"256 filters, kernel size 3",0.567741935483871,0.34545454545454546,0.38,0.3619047619047619,0.69,0.6571428571428571,0.6731707317073171
16,RNN,200 units,0.5419354838709678,0.36363636363636365,0.56,0.44094488188976383,0.717948717948718,0.5333333333333333,0.6120218579234972
17,RNN,150 units,0.6451612903225806,0.0,0.0,0.0,0.6666666666666666,0.9523809523809523,0.7843137254901961
18,RNN,100 units,0.3870967741935484,0.34265734265734266,0.98,0.5077720207253885,0.9166666666666666,0.10476190476190476,0.18803418803418803
19,RNN,50 units,0.6258064516129033,0.4411764705882353,0.6,0.5084745762711865,0.7701149425287356,0.638095238095238,0.6979166666666666
20,CNN,"32 filters, kernel size 7",0.5741935483870968,0.4090909090909091,0.72,0.5217391304347826,0.7910447761194029,0.5047619047619047,0.616279069767442
21,CNN,"32 filters, kernel size 5",0.6258064516129033,0.43333333333333335,0.52,0.4727272727272728,0.7473684210526316,0.6761904761904762,0.71
22,CNN,"32 filters, kernel size 3",0.6451612903225806,0.42424242424242425,0.28,0.3373493975903614,0.7049180327868853,0.819047619047619,0.7577092511013216
23,CNN,"64 filters, kernel size 7",0.5290322580645161,0.3763440860215054,0.7,0.48951048951048953,0.7580645161290323,0.44761904761904764,0.562874251497006
24,CNN,"64 filters, kernel size 5",0.535483870967742,0.39215686274509803,0.8,0.5263157894736842,0.8113207547169812,0.4095238095238095,0.5443037974683546
25,CNN,"64 filters, kernel size 3",0.45806451612903226,0.36065573770491804,0.88,0.5116279069767442,0.8181818181818182,0.2571428571428571,0.39130434782608686
26,CNN,"128 filters, kernel size 7",0.5419354838709678,0.3894736842105263,0.74,0.5103448275862068,0.7833333333333333,0.44761904761904764,0.5696969696969697
27,CNN,"128 filters, kernel size 5",0.4967741935483871,0.37037037037037035,0.8,0.5063291139240506,0.7872340425531915,0.3523809523809524,0.48684210526315796
28,CNN,"128 filters, kernel size 3",0.4774193548387097,0.36752136752136755,0.86,0.5149700598802396,0.8157894736842105,0.29523809523809524,0.4335664335664336
29,CNN,"256 filters, kernel size 7",0.6,0.38461538461538464,0.4,0.39215686274509803,0.7087378640776699,0.6952380952380952,0.701923076923077
30,CNN,"256 filters, kernel size 5",0.5483870967741935,0.36486486486486486,0.54,0.43548387096774194,0.7160493827160493,0.5523809523809524,0.6236559139784947
31,CNN,"256 filters, kernel size 3",0.3870967741935484,0.3333333333333333,0.9,0.48648648648648646,0.75,0.14285714285714285,0.24
