,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.6181818181818182,0.2857142857142857,0.1111111111111111,0.16,0.6666666666666666,0.8648648648648649,0.7529411764705882
1,LSTM,200 layers,0.6545454545454545,0.4788732394366197,0.6296296296296297,0.544,0.7872340425531915,0.6666666666666666,0.7219512195121951
2,LSTM,100 layers,0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
3,LSTM,50 layers,0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
4,CNN with Attention,"32 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
5,CNN with Attention,"32 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
6,CNN with Attention,"32 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
7,CNN with Attention,"64 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
8,CNN with Attention,"64 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
9,CNN with Attention,"64 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
10,CNN with Attention,"128 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
11,CNN with Attention,"128 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
12,CNN with Attention,"128 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
13,CNN with Attention,"256 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
14,CNN with Attention,"256 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
15,CNN with Attention,"256 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
16,RNN,200 units,0.6545454545454545,0.36363636363636365,0.07407407407407407,0.12307692307692307,0.6753246753246753,0.9369369369369369,0.7849056603773584
17,RNN,150 units,0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
18,RNN,100 units,0.5454545454545454,0.16129032258064516,0.09259259259259259,0.1176470588235294,0.6343283582089553,0.7657657657657657,0.6938775510204083
19,RNN,50 units,0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
20,CNN,"32 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
21,CNN,"32 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
22,CNN,"32 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
23,CNN,"64 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
24,CNN,"64 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
25,CNN,"64 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
26,CNN,"128 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
27,CNN,"128 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
28,CNN,"128 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
29,CNN,"256 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
30,CNN,"256 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
31,CNN,"256 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
