,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
1,LSTM,200 layers,0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
2,LSTM,100 layers,0.593939393939394,0.15789473684210525,0.05555555555555555,0.0821917808219178,0.6506849315068494,0.8558558558558559,0.7392996108949418
3,LSTM,50 layers,0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
4,CNN with Attention,"32 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
5,CNN with Attention,"32 filters, kernel size 5",0.703030303030303,1.0,0.09259259259259259,0.1694915254237288,0.69375,1.0,0.8191881918819187
6,CNN with Attention,"32 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
7,CNN with Attention,"64 filters, kernel size 7",0.7090909090909091,1.0,0.1111111111111111,0.19999999999999998,0.6981132075471698,1.0,0.8222222222222222
8,CNN with Attention,"64 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
9,CNN with Attention,"64 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
10,CNN with Attention,"128 filters, kernel size 7",0.703030303030303,1.0,0.09259259259259259,0.1694915254237288,0.69375,1.0,0.8191881918819187
11,CNN with Attention,"128 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
12,CNN with Attention,"128 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
13,CNN with Attention,"256 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
14,CNN with Attention,"256 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
15,CNN with Attention,"256 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
16,RNN,200 units,0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
17,RNN,150 units,0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
18,RNN,100 units,0.6909090909090909,1.0,0.05555555555555555,0.10526315789473684,0.6851851851851852,1.0,0.8131868131868133
19,RNN,50 units,0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
20,CNN,"32 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
21,CNN,"32 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
22,CNN,"32 filters, kernel size 3",0.6484848484848484,0.0,0.0,0.0,0.6645962732919255,0.963963963963964,0.786764705882353
23,CNN,"64 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
24,CNN,"64 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
25,CNN,"64 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
26,CNN,"128 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
27,CNN,"128 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
28,CNN,"128 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
29,CNN,"256 filters, kernel size 7",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
30,CNN,"256 filters, kernel size 5",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
31,CNN,"256 filters, kernel size 3",0.6727272727272727,0.0,0.0,0.0,0.6727272727272727,1.0,0.8043478260869564
