,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.5696969696969697,0.41414141414141414,0.7592592592592593,0.5359477124183006,0.803030303030303,0.4774774774774775,0.5988700564971752
1,LSTM,200 layers,0.49696969696969695,0.3333333333333333,0.5370370370370371,0.41134751773049644,0.6794871794871795,0.4774774774774775,0.5608465608465608
2,LSTM,100 layers,0.509090909090909,0.3548387096774194,0.6111111111111112,0.4489795918367347,0.7083333333333334,0.4594594594594595,0.5573770491803279
3,LSTM,50 layers,0.4121212121212121,0.25287356321839083,0.4074074074074074,0.31205673758865254,0.5897435897435898,0.4144144144144144,0.4867724867724868
4,CNN with Attention,"32 filters, kernel size 7",0.5454545454545454,0.36363636363636365,0.5185185185185185,0.42748091603053434,0.7045454545454546,0.5585585585585585,0.6231155778894472
5,CNN with Attention,"32 filters, kernel size 5",0.5272727272727272,0.3235294117647059,0.4074074074074074,0.36065573770491804,0.6701030927835051,0.5855855855855856,0.6249999999999999
6,CNN with Attention,"32 filters, kernel size 3",0.5454545454545454,0.3018867924528302,0.2962962962962963,0.2990654205607477,0.6607142857142857,0.6666666666666666,0.6636771300448431
7,CNN with Attention,"64 filters, kernel size 7",0.5818181818181818,0.3770491803278688,0.42592592592592593,0.39999999999999997,0.7019230769230769,0.6576576576576577,0.6790697674418604
8,CNN with Attention,"64 filters, kernel size 5",0.5454545454545454,0.29411764705882354,0.2777777777777778,0.28571428571428575,0.6578947368421053,0.6756756756756757,0.6666666666666667
9,CNN with Attention,"64 filters, kernel size 3",0.5454545454545454,0.3090909090909091,0.3148148148148148,0.3119266055045872,0.6636363636363637,0.6576576576576577,0.660633484162896
10,CNN with Attention,"128 filters, kernel size 7",0.5757575757575758,0.3333333333333333,0.2962962962962963,0.3137254901960785,0.6752136752136753,0.7117117117117117,0.6929824561403508
11,CNN with Attention,"128 filters, kernel size 5",0.5515151515151515,0.3387096774193548,0.3888888888888889,0.3620689655172414,0.6796116504854369,0.6306306306306306,0.6542056074766356
12,CNN with Attention,"128 filters, kernel size 3",0.503030303030303,0.2878787878787879,0.35185185185185186,0.3166666666666667,0.6464646464646465,0.5765765765765766,0.6095238095238096
13,CNN with Attention,"256 filters, kernel size 7",0.5272727272727272,0.3,0.3333333333333333,0.3157894736842105,0.6571428571428571,0.6216216216216216,0.6388888888888888
14,CNN with Attention,"256 filters, kernel size 5",0.5272727272727272,0.3125,0.37037037037037035,0.3389830508474576,0.6633663366336634,0.6036036036036037,0.6320754716981132
15,CNN with Attention,"256 filters, kernel size 3",0.5333333333333333,0.2909090909090909,0.2962962962962963,0.2935779816513761,0.6545454545454545,0.6486486486486487,0.6515837104072398
16,RNN,200 units,0.6424242424242425,0.42424242424242425,0.25925925925925924,0.3218390804597701,0.696969696969697,0.8288288288288288,0.757201646090535
17,RNN,150 units,0.503030303030303,0.32051282051282054,0.46296296296296297,0.37878787878787884,0.6666666666666666,0.5225225225225225,0.5858585858585859
18,RNN,100 units,0.5818181818181818,0.4117647058823529,0.6481481481481481,0.5035971223021581,0.7625,0.5495495495495496,0.6387434554973823
19,RNN,50 units,0.48484848484848486,0.3258426966292135,0.5370370370370371,0.4055944055944056,0.6710526315789473,0.4594594594594595,0.5454545454545455
20,CNN,"32 filters, kernel size 7",0.5757575757575758,0.3709677419354839,0.42592592592592593,0.39655172413793105,0.6990291262135923,0.6486486486486487,0.6728971962616822
21,CNN,"32 filters, kernel size 5",0.5818181818181818,0.3972602739726027,0.5370370370370371,0.4566929133858268,0.7282608695652174,0.6036036036036037,0.6600985221674878
22,CNN,"32 filters, kernel size 3",0.5878787878787879,0.38333333333333336,0.42592592592592593,0.40350877192982454,0.7047619047619048,0.6666666666666666,0.6851851851851851
23,CNN,"64 filters, kernel size 7",0.5515151515151515,0.3684210526315789,0.5185185185185185,0.4307692307692308,0.7078651685393258,0.5675675675675675,0.6299999999999999
24,CNN,"64 filters, kernel size 5",0.5393939393939394,0.3225806451612903,0.37037037037037035,0.3448275862068965,0.6699029126213593,0.6216216216216216,0.6448598130841122
25,CNN,"64 filters, kernel size 3",0.5454545454545454,0.3384615384615385,0.4074074074074074,0.3697478991596639,0.68,0.6126126126126126,0.6445497630331753
26,CNN,"128 filters, kernel size 7",0.5757575757575758,0.3620689655172414,0.3888888888888889,0.375,0.6915887850467289,0.6666666666666666,0.6788990825688073
27,CNN,"128 filters, kernel size 5",0.5333333333333333,0.3380281690140845,0.4444444444444444,0.38399999999999995,0.6808510638297872,0.5765765765765766,0.624390243902439
28,CNN,"128 filters, kernel size 3",0.5333333333333333,0.3333333333333333,0.42592592592592593,0.37398373983739835,0.6770833333333334,0.5855855855855856,0.6280193236714977
29,CNN,"256 filters, kernel size 7",0.5757575757575758,0.3787878787878788,0.46296296296296297,0.4166666666666667,0.7070707070707071,0.6306306306306306,0.6666666666666667
30,CNN,"256 filters, kernel size 5",0.5333333333333333,0.3380281690140845,0.4444444444444444,0.38399999999999995,0.6808510638297872,0.5765765765765766,0.624390243902439
31,CNN,"256 filters, kernel size 3",0.5515151515151515,0.3684210526315789,0.5185185185185185,0.4307692307692308,0.7078651685393258,0.5675675675675675,0.6299999999999999
