,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.5783783783783784,0.6296296296296297,0.2,0.3035714285714286,0.569620253164557,0.9,0.6976744186046512
1,LSTM,200 layers,0.5513513513513514,0.5357142857142857,0.17647058823529413,0.2654867256637168,0.554140127388535,0.87,0.6770428015564202
2,LSTM,100 layers,0.5945945945945946,0.6923076923076923,0.21176470588235294,0.32432432432432434,0.5786163522012578,0.92,0.7104247104247104
3,LSTM,50 layers,0.572972972972973,0.6875,0.12941176470588237,0.21782178217821782,0.5621301775147929,0.95,0.7063197026022305
4,CNN with Attention,"32 filters, kernel size 7",0.5675675675675675,0.5757575757575758,0.2235294117647059,0.3220338983050848,0.5657894736842105,0.86,0.6825396825396826
5,CNN with Attention,"32 filters, kernel size 5",0.5783783783783784,0.6206896551724138,0.21176470588235294,0.3157894736842105,0.5705128205128205,0.89,0.6953125000000001
6,CNN with Attention,"32 filters, kernel size 3",0.5945945945945946,0.625,0.29411764705882354,0.4,0.5862068965517241,0.85,0.6938775510204082
7,CNN with Attention,"64 filters, kernel size 7",0.5351351351351351,0.45454545454545453,0.058823529411764705,0.10416666666666667,0.5402298850574713,0.94,0.6861313868613138
8,CNN with Attention,"64 filters, kernel size 5",0.572972972972973,0.6071428571428571,0.2,0.30088495575221236,0.5668789808917197,0.89,0.6926070038910507
9,CNN with Attention,"64 filters, kernel size 3",0.5675675675675675,0.5714285714285714,0.23529411764705882,0.3333333333333333,0.5666666666666667,0.85,0.68
10,CNN with Attention,"128 filters, kernel size 7",0.5567567567567567,0.5454545454545454,0.21176470588235294,0.30508474576271183,0.5592105263157895,0.85,0.6746031746031746
11,CNN with Attention,"128 filters, kernel size 5",0.5837837837837838,0.6111111111111112,0.25882352941176473,0.3636363636363637,0.5771812080536913,0.86,0.6907630522088354
12,CNN with Attention,"128 filters, kernel size 3",0.5459459459459459,0.5217391304347826,0.1411764705882353,0.22222222222222218,0.5493827160493827,0.89,0.6793893129770993
13,CNN with Attention,"256 filters, kernel size 7",0.5837837837837838,0.6666666666666666,0.18823529411764706,0.29357798165137616,0.5714285714285714,0.92,0.7049808429118773
14,CNN with Attention,"256 filters, kernel size 5",0.5621621621621622,0.5769230769230769,0.17647058823529413,0.2702702702702703,0.559748427672956,0.89,0.6872586872586872
15,CNN with Attention,"256 filters, kernel size 3",0.5675675675675675,0.5757575757575758,0.2235294117647059,0.3220338983050848,0.5657894736842105,0.86,0.6825396825396826
16,RNN,200 units,0.5945945945945946,0.5694444444444444,0.4823529411764706,0.5222929936305731,0.6106194690265486,0.69,0.647887323943662
17,RNN,150 units,0.572972972972973,0.5348837209302325,0.5411764705882353,0.5380116959064327,0.6060606060606061,0.6,0.6030150753768845
18,RNN,100 units,0.5945945945945946,0.6923076923076923,0.21176470588235294,0.32432432432432434,0.5786163522012578,0.92,0.7104247104247104
19,RNN,50 units,0.518918918918919,0.4523809523809524,0.2235294117647059,0.2992125984251968,0.5384615384615384,0.77,0.6337448559670782
20,CNN,"32 filters, kernel size 7",0.5837837837837838,0.6052631578947368,0.27058823529411763,0.37398373983739835,0.5782312925170068,0.85,0.6882591093117408
21,CNN,"32 filters, kernel size 5",0.5783783783783784,0.6129032258064516,0.2235294117647059,0.32758620689655177,0.5714285714285714,0.88,0.6929133858267715
22,CNN,"32 filters, kernel size 3",0.5621621621621622,0.5714285714285714,0.18823529411764706,0.2831858407079646,0.5605095541401274,0.88,0.6848249027237354
23,CNN,"64 filters, kernel size 7",0.5783783783783784,0.6296296296296297,0.2,0.3035714285714286,0.569620253164557,0.9,0.6976744186046512
24,CNN,"64 filters, kernel size 5",0.5675675675675675,0.5806451612903226,0.21176470588235294,0.3103448275862069,0.564935064935065,0.87,0.6850393700787402
25,CNN,"64 filters, kernel size 3",0.5621621621621622,0.5555555555555556,0.23529411764705882,0.3305785123966942,0.5637583892617449,0.84,0.6746987951807228
26,CNN,"128 filters, kernel size 7",0.572972972972973,0.5833333333333334,0.24705882352941178,0.34710743801652894,0.5704697986577181,0.85,0.6827309236947792
27,CNN,"128 filters, kernel size 5",0.6054054054054054,0.6666666666666666,0.2823529411764706,0.39669421487603307,0.5906040268456376,0.88,0.7068273092369478
28,CNN,"128 filters, kernel size 3",0.6,0.6078431372549019,0.36470588235294116,0.45588235294117646,0.5970149253731343,0.8,0.6837606837606838
29,CNN,"256 filters, kernel size 7",0.5891891891891892,0.6216216216216216,0.27058823529411763,0.37704918032786877,0.581081081081081,0.86,0.6935483870967741
30,CNN,"256 filters, kernel size 5",0.5675675675675675,0.5757575757575758,0.2235294117647059,0.3220338983050848,0.5657894736842105,0.86,0.6825396825396826
31,CNN,"256 filters, kernel size 3",0.5891891891891892,0.6363636363636364,0.24705882352941178,0.3559322033898305,0.5789473684210527,0.88,0.6984126984126985
