,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.6064516129032258,0.36585365853658536,0.3,0.3296703296703297,0.6929824561403509,0.7523809523809524,0.7214611872146117
1,LSTM,200 layers,0.5096774193548387,0.2833333333333333,0.34,0.30909090909090914,0.6526315789473685,0.5904761904761905,0.6200000000000001
2,LSTM,100 layers,0.6709677419354839,0.0,0.0,0.0,0.6753246753246753,0.9904761904761905,0.803088803088803
3,LSTM,50 layers,0.6451612903225806,0.0,0.0,0.0,0.6666666666666666,0.9523809523809523,0.7843137254901961
4,CNN with Attention,"32 filters, kernel size 7",0.5548387096774193,0.3582089552238806,0.48,0.4102564102564103,0.7045454545454546,0.5904761904761905,0.6424870466321243
5,CNN with Attention,"32 filters, kernel size 5",0.632258064516129,0.3333333333333333,0.14,0.1971830985915493,0.6791044776119403,0.8666666666666667,0.7615062761506275
6,CNN with Attention,"32 filters, kernel size 3",0.5612903225806452,0.2631578947368421,0.2,0.22727272727272727,0.6581196581196581,0.7333333333333333,0.6936936936936937
7,CNN with Attention,"64 filters, kernel size 7",0.567741935483871,0.2926829268292683,0.24,0.2637362637362637,0.6666666666666666,0.7238095238095238,0.6940639269406392
8,CNN with Attention,"64 filters, kernel size 5",0.567741935483871,0.28205128205128205,0.22,0.24719101123595508,0.6637931034482759,0.7333333333333333,0.6968325791855203
9,CNN with Attention,"64 filters, kernel size 3",0.6129032258064516,0.2916666666666667,0.14,0.1891891891891892,0.6717557251908397,0.8380952380952381,0.7457627118644068
10,CNN with Attention,"128 filters, kernel size 7",0.567741935483871,0.24242424242424243,0.16,0.19277108433734938,0.6557377049180327,0.7619047619047619,0.7048458149779736
11,CNN with Attention,"128 filters, kernel size 5",0.5806451612903226,0.2222222222222222,0.12,0.15584415584415584,0.65625,0.8,0.721030042918455
12,CNN with Attention,"128 filters, kernel size 3",0.5806451612903226,0.3076923076923077,0.24,0.26966292134831465,0.6724137931034483,0.7428571428571429,0.7058823529411764
13,CNN with Attention,"256 filters, kernel size 7",0.535483870967742,0.28846153846153844,0.3,0.29411764705882354,0.6601941747572816,0.6476190476190476,0.6538461538461539
14,CNN with Attention,"256 filters, kernel size 5",0.5870967741935483,0.3055555555555556,0.22,0.2558139534883721,0.6722689075630253,0.7619047619047619,0.7142857142857143
15,CNN with Attention,"256 filters, kernel size 3",0.6,0.25,0.12,0.16216216216216217,0.6641221374045801,0.8285714285714286,0.7372881355932204
16,RNN,200 units,0.6,0.39285714285714285,0.44,0.4150943396226415,0.7171717171717171,0.6761904761904762,0.696078431372549
17,RNN,150 units,0.6838709677419355,0.6,0.06,0.1090909090909091,0.6866666666666666,0.9809523809523809,0.8078431372549019
18,RNN,100 units,0.6645161290322581,0.4166666666666667,0.1,0.16129032258064516,0.6853146853146853,0.9333333333333333,0.7903225806451613
19,RNN,50 units,0.4774193548387097,0.3368421052631579,0.64,0.4413793103448276,0.7,0.4,0.509090909090909
20,CNN,"32 filters, kernel size 7",0.5483870967741935,0.2826086956521739,0.26,0.27083333333333337,0.6605504587155964,0.6857142857142857,0.6728971962616822
21,CNN,"32 filters, kernel size 5",0.49032258064516127,0.26229508196721313,0.32,0.2882882882882883,0.6382978723404256,0.5714285714285714,0.6030150753768844
22,CNN,"32 filters, kernel size 3",0.5935483870967742,0.3142857142857143,0.22,0.25882352941176473,0.675,0.7714285714285715,0.72
23,CNN,"64 filters, kernel size 7",0.5161290322580645,0.2549019607843137,0.26,0.25742574257425743,0.6442307692307693,0.638095238095238,0.6411483253588517
24,CNN,"64 filters, kernel size 5",0.535483870967742,0.19444444444444445,0.14,0.16279069767441862,0.6386554621848739,0.7238095238095238,0.6785714285714285
25,CNN,"64 filters, kernel size 3",0.5741935483870968,0.30952380952380953,0.26,0.2826086956521739,0.672566371681416,0.7238095238095238,0.6972477064220184
26,CNN,"128 filters, kernel size 7",0.5290322580645161,0.3230769230769231,0.42,0.3652173913043478,0.6777777777777778,0.580952380952381,0.6256410256410257
27,CNN,"128 filters, kernel size 5",0.6064516129032258,0.3333333333333333,0.22,0.26506024096385544,0.680327868852459,0.7904761904761904,0.7312775330396476
28,CNN,"128 filters, kernel size 3",0.5225806451612903,0.26,0.26,0.26,0.6476190476190476,0.6476190476190476,0.6476190476190476
29,CNN,"256 filters, kernel size 7",0.49032258064516127,0.3253012048192771,0.54,0.40601503759398494,0.6805555555555556,0.4666666666666667,0.5536723163841808
30,CNN,"256 filters, kernel size 5",0.5161290322580645,0.24489795918367346,0.24,0.24242424242424243,0.6415094339622641,0.6476190476190476,0.6445497630331753
31,CNN,"256 filters, kernel size 3",0.567741935483871,0.20689655172413793,0.12,0.1518987341772152,0.6507936507936508,0.780952380952381,0.70995670995671
