"Date","Price","Open","High","Low","Vol.","Change %"
"02/23/2024","28,288.00","28,288.00","28,288.00","28,288.00","","0.00%"
"02/22/2024","28,288.00","28,288.00","28,288.00","28,288.00","","0.00%"
"02/21/2024","28,288.00","28,288.00","28,288.00","28,288.00","","0.54%"
"02/19/2024","28,137.00","28,137.00","28,137.00","28,137.00","","0.00%"
"02/16/2024","28,137.00","28,137.00","28,137.00","28,137.00","","0.00%"
"02/15/2024","28,137.00","28,137.00","28,137.00","28,137.00","","0.00%"
"02/14/2024","28,137.00","28,137.00","28,137.00","28,137.00","","0.00%"
"02/13/2024","28,137.00","28,137.00","28,137.00","28,137.00","","0.00%"
"02/12/2024","28,137.00","28,137.00","28,137.00","28,137.00","","0.00%"
"02/09/2024","28,137.00","28,137.00","28,137.00","28,137.00","","0.00%"
"02/08/2024","28,137.00","28,137.00","28,137.00","28,137.00","","-2.05%"
"02/07/2024","28,727.00","28,727.00","28,727.00","28,727.00","","0.00%"
"02/06/2024","28,727.00","28,727.00","28,727.00","28,727.00","","0.00%"
"02/05/2024","28,727.00","28,727.00","28,727.00","28,727.00","","-0.09%"
"02/02/2024","28,753.50","28,753.50","28,753.50","28,753.50","","-0.02%"
"02/01/2024","28,759.00","28,759.00","28,759.00","28,759.00","","-0.02%"
"01/31/2024","28,764.50","28,764.50","28,764.50","28,764.50","","0.00%"
"01/30/2024","28,764.50","28,764.50","28,764.50","28,764.50","","-0.02%"
"01/29/2024","28,770.00","28,770.00","28,770.00","28,770.00","","-0.06%"
"01/26/2024","28,786.50","28,786.50","28,786.50","28,786.50","","-0.02%"
"01/25/2024","28,792.00","28,792.00","28,792.00","28,792.00","","-0.02%"
"01/24/2024","28,797.00","28,797.00","28,797.00","28,797.00","","-0.02%"
"01/23/2024","28,802.50","28,802.50","28,802.50","28,802.50","","-0.02%"
"01/22/2024","28,808.00","28,808.00","28,808.00","28,808.00","","-0.06%"
"01/19/2024","28,824.00","28,824.00","28,824.00","28,824.00","","-0.02%"
"01/18/2024","28,829.50","28,829.50","28,829.50","28,829.50","","-0.02%"
"01/17/2024","28,835.00","28,835.00","28,835.00","28,835.00","","0.50%"
"01/15/2024","28,691.50","28,691.50","28,691.50","28,691.50","","-0.05%"
"01/12/2024","28,707.25","28,707.25","28,707.25","28,707.25","","-0.02%"
"01/11/2024","28,712.50","28,712.50","28,712.50","28,712.50","","-0.02%"
"01/10/2024","28,717.75","28,717.75","28,717.75","28,717.75","","-0.02%"
"01/09/2024","28,723.00","28,723.00","28,723.00","28,723.00","","-0.02%"
"01/08/2024","28,728.00","28,728.00","28,728.00","28,728.00","","-0.06%"
"01/05/2024","28,744.00","28,744.00","28,744.00","28,744.00","","-0.02%"
"01/04/2024","28,749.50","28,749.50","28,749.50","28,749.50","","-0.02%"
"01/03/2024","28,755.00","28,755.00","28,755.00","28,755.00","","-0.02%"
"01/02/2024","28,760.50","28,760.50","28,760.50","28,760.50","","-0.09%"
"12/29/2023","28,787.50","28,787.50","28,787.50","28,787.50","","0.00%"
"12/28/2023","28,787.50","28,787.50","28,787.50","28,787.50","","-0.02%"
"12/27/2023","28,792.50","28,792.50","28,792.50","28,792.50","","-0.09%"
"12/22/2023","28,819.00","28,819.00","28,819.00","28,819.00","","-0.02%"
"12/21/2023","28,824.50","28,824.50","28,824.50","28,824.50","","-0.02%"
"12/20/2023","28,830.00","28,830.00","28,830.00","28,830.00","","0.50%"
"12/18/2023","28,687.50","28,687.50","28,687.50","28,687.50","","-0.06%"
"12/15/2023","28,704.00","28,704.00","28,704.00","28,704.00","","-0.02%"
"12/14/2023","28,710.00","28,710.00","28,710.00","28,710.00","","-2.36%"
"12/13/2023","29,403.00","29,403.00","29,403.00","29,403.00","","-2.42%"
"12/12/2023","30,133.00","30,133.00","30,133.00","30,133.00","","-2.36%"
"12/11/2023","30,862.00","30,862.00","30,862.00","30,862.00","","-2.31%"
"12/08/2023","31,591.00","31,591.00","31,591.00","31,591.00","","-2.26%"
"12/07/2023","32,321.00","32,321.00","32,321.00","32,321.00","","-2.20%"
"12/06/2023","33,047.00","33,047.00","33,047.00","33,047.00","","-0.02%"
"12/05/2023","33,052.00","33,052.00","33,052.00","33,052.00","","-0.02%"
"12/04/2023","33,057.00","33,057.00","33,057.00","33,057.00","","-0.05%"
"12/01/2023","33,073.00","33,073.00","33,073.00","33,073.00","","-0.02%"
"11/30/2023","33,078.00","33,078.00","33,078.00","33,078.00","","0.00%"
"11/29/2023","33,078.00","33,078.00","33,078.00","33,078.00","","-0.02%"
"11/28/2023","33,083.00","33,083.00","33,083.00","33,083.00","","-0.02%"
"11/27/2023","33,088.50","33,088.50","33,088.50","33,088.50","","-0.06%"
"11/24/2023","33,110.00","33,110.00","33,110.00","33,110.00","","0.00%"
"11/23/2023","33,110.00","33,110.00","33,110.00","33,110.00","","-0.02%"
"11/22/2023","33,115.00","33,115.00","33,115.00","33,115.00","","-0.02%"
"11/21/2023","33,120.00","33,120.00","33,120.00","33,120.00","","-0.01%"
"11/20/2023","33,124.50","33,124.50","33,124.50","33,124.50","","-0.05%"
"11/17/2023","33,142.00","33,142.00","33,142.00","33,142.00","","0.00%"
"11/16/2023","33,142.00","33,142.00","33,142.00","33,142.00","","-0.01%"
"11/15/2023","33,146.00","33,146.00","33,146.00","33,146.00","","0.43%"
"11/13/2023","33,003.00","33,003.00","33,003.00","33,003.00","","-0.05%"
"11/10/2023","33,020.50","33,020.50","33,020.50","33,020.50","","0.00%"
"11/09/2023","33,020.50","33,020.50","33,020.50","33,020.50","","-0.01%"
"11/08/2023","33,025.00","33,025.00","33,025.00","33,025.00","","-0.01%"
"11/07/2023","33,029.50","33,029.50","33,029.50","33,029.50","","-0.01%"
"11/06/2023","33,034.00","33,034.00","33,034.00","33,034.00","","-0.05%"
"11/03/2023","33,051.00","33,051.00","33,051.00","33,051.00","","0.00%"
"11/02/2023","33,051.00","33,051.00","33,051.00","33,051.00","","-0.01%"
"11/01/2023","33,055.00","33,055.00","33,055.00","33,055.00","","-0.01%"
"10/31/2023","33,059.00","33,059.00","33,059.00","33,059.00","","-0.01%"
"10/30/2023","33,063.00","33,063.00","33,063.00","33,063.00","","-0.05%"
"10/27/2023","33,080.00","33,080.00","33,080.00","33,080.00","","0.00%"
"10/26/2023","33,080.00","33,080.00","33,080.00","33,080.00","","-0.01%"
"10/25/2023","33,084.00","33,084.00","33,084.00","33,084.00","","-0.01%"
"10/24/2023","33,088.50","33,088.50","33,088.50","33,088.50","","-0.01%"
"10/23/2023","33,093.00","33,093.00","33,093.00","33,093.00","","-0.05%"
"10/20/2023","33,110.00","33,110.00","33,110.00","33,110.00","","0.00%"
"10/19/2023","33,110.00","33,110.00","33,110.00","33,110.00","","-0.01%"
