,Date,Price,Open,High,Low,Vol.,Change %
0,"Dec 29, 2023","9,600.00","9,600.00","9,800.00","9,400.00",,0.00%
1,"Dec 28, 2023","9,600.00","9,600.00","9,800.00","9,400.00",,0.00%
2,"Dec 27, 2023","9,600.00","9,600.00","9,800.00","9,400.00",,0.00%
3,"Dec 26, 2023","9,600.00","9,600.00","9,800.00","9,400.00",,-1.03%
4,"Dec 25, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
5,"Dec 22, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
6,"Dec 21, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
7,"Dec 20, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
8,"Dec 19, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,0.00%
9,"Dec 18, 2023","9,700.00","9,700.00","9,900.00","9,500.00",,-0.51%
10,"Dec 15, 2023","9,750.00","9,750.00","9,950.00","9,550.00",,-0.41%
11,"Dec 14, 2023","9,790.00","9,790.00","9,990.00","9,590.00",,0.00%
12,"Dec 13, 2023","9,790.00","9,790.00","9,990.00","9,590.00",,0.00%
13,"Dec 12, 2023","9,790.00","9,790.00","9,990.00","9,590.00",,0.00%
14,"Dec 11, 2023","9,790.00","9,790.00","9,990.00","9,590.00",,0.00%
15,"Dec 08, 2023","9,790.00","9,790.00","9,990.00","9,590.00",,0.00%
16,"Dec 07, 2023","9,790.00","9,790.00","9,990.00","9,590.00",,0.00%
17,"Dec 06, 2023","9,790.00","9,790.00","9,990.00","9,590.00",,0.00%
18,"Dec 05, 2023","9,790.00","9,790.00","9,990.00","9,590.00",,0.00%
19,"Dec 04, 2023","9,790.00","9,790.00","9,990.00","9,590.00",,0.00%
20,"Dec 01, 2023","9,790.00","9,790.00","9,990.00","9,590.00",,0.00%
21,"Nov 30, 2023","9,790.00","9,790.00","9,990.00","9,590.00",,0.00%
22,"Nov 29, 2023","9,790.00","9,790.00","9,990.00","9,590.00",,0.00%
23,"Nov 28, 2023","9,790.00","9,790.00","9,990.00","9,590.00",,0.00%
