,Unnamed: 0.1,Unnamed: 0,Date,Price,Open,High,Low,Vol.,Change %
0,0,0,"Dec 29, 2023","16,603.00","16,525.00","16,570.00","16,525.00",9.85K,-0.78%
1,1,1,"Dec 28, 2023","16,734.00","16,850.00","16,825.00","16,740.00",7.38K,-1.20%
2,2,2,"Dec 27, 2023","16,938.00","16,750.00","16,700.00","16,725.00",10.26K,2.60%
3,3,3,"Dec 22, 2023","16,509.00","16,700.00","16,650.00","16,625.00",7.26K,-2.24%
4,4,4,"Dec 21, 2023","16,888.00","16,900.00","16,820.00","16,800.00",9.56K,0.20%
5,5,5,"Dec 20, 2023","16,854.00","16,700.00","16,600.00","16,630.00",10.68K,0.64%
6,6,6,"Dec 19, 2023","16,747.00","16,750.00","16,700.00","16,725.00",8.50K,1.48%
7,7,7,"Dec 18, 2023","16,502.00","16,900.00","16,900.00","16,900.00",8.42K,-3.78%
8,8,8,"Dec 15, 2023","17,150.00","17,025.00","16,950.00","17,000.00",12.91K,1.05%
9,9,9,"Dec 14, 2023","16,972.00","16,850.00","16,750.00","16,800.00",13.06K,3.06%
10,10,10,"Dec 13, 2023","16,468.00","16,350.00","16,320.00","16,325.00",8.72K,-0.31%
11,11,11,"Dec 12, 2023","16,520.00","16,625.00","16,525.00","16,500.00",7.62K,-0.52%
12,12,12,"Dec 11, 2023","16,607.00","16,600.00","16,525.00","16,550.00",7.79K,-1.18%
13,13,13,"Dec 08, 2023","16,806.00","16,900.00","16,855.00","16,855.00",14.27K,1.81%
14,14,14,"Dec 07, 2023","16,508.00","16,300.00","16,300.00","16,300.00",12.75K,1.79%
15,15,15,"Dec 06, 2023","16,218.00","16,500.00","16,450.00","16,500.00",12.67K,0.46%
16,16,16,"Dec 05, 2023","16,143.00","16,350.00","16,345.00","16,350.00",12.89K,-3.42%
17,17,17,"Dec 04, 2023","16,714.00","16,550.00","16,500.00","16,550.00",11.95K,-1.92%
18,18,18,"Dec 01, 2023","17,042.00","16,850.00","16,850.00","16,850.00",14.10K,2.39%
19,19,19,"Nov 30, 2023","16,645.00","16,600.00","16,590.00","16,575.00",14.30K,-2.79%
20,20,20,"Nov 29, 2023","17,122.00","17,025.00","16,995.00","17,000.00",12.61K,2.12%
21,21,21,"Nov 28, 2023","16,766.00","16,650.00","16,625.00","16,650.00",19.58K,4.27%
22,22,22,"Nov 27, 2023","16,079.00","16,100.00","16,050.00","16,060.00",14.43K,-0.37%
23,23,23,"Nov 24, 2023","16,138.00","16,250.00","16,200.00","16,250.00",11.85K,-2.89%
24,24,24,"Nov 23, 2023","16,619.00","16,500.00","16,490.00","16,500.00",8.54K,1.12%
25,25,25,"Nov 22, 2023","16,435.00","16,800.00","16,695.00","16,690.00",11.98K,-3.28%
26,26,26,"Nov 21, 2023","16,992.00","16,840.00","16,825.00","16,825.00",13.39K,0.24%
27,27,27,"Nov 20, 2023","16,952.00","17,000.00","16,880.00","16,880.00",8.52K,0.28%
28,28,28,"Nov 17, 2023","16,904.00","17,050.00","17,020.00","17,020.00",10.51K,-0.68%
29,29,29,"Nov 16, 2023","17,020.00","17,225.00","17,215.00","17,225.00",10.85K,-2.30%
30,30,30,"Nov 15, 2023","17,421.00","17,470.00","17,440.00","17,450.00",8.52K,-0.38%
31,31,31,"Nov 14, 2023","17,487.00","17,250.00","17,200.00","17,250.00",13.00K,0.51%
32,32,32,"Nov 13, 2023","17,398.00","17,250.00","17,225.00","17,225.00",12.33K,0.82%
33,33,33,"Nov 10, 2023","17,257.00","17,450.00","17,440.00","17,450.00",13.30K,-3.12%
34,34,34,"Nov 09, 2023","17,813.00","17,940.00","17,925.00","17,905.00",8.06K,-1.55%
35,35,35,"Nov 08, 2023","18,094.00","18,050.00","18,050.00","18,025.00",8.52K,1.02%
36,36,36,"Nov 07, 2023","17,912.00","17,900.00","17,850.00","17,870.00",13.37K,-2.89%
37,37,37,"Nov 06, 2023","18,445.00","18,200.00","18,125.00","18,140.00",8.28K,1.22%
38,38,38,"Nov 03, 2023","18,223.00","18,100.00","18,025.00","18,020.00",7.94K,1.36%
39,39,39,"Nov 02, 2023","17,979.00","18,050.00","18,025.00","18,050.00",10.50K,-0.19%
40,40,40,"Nov 01, 2023","18,014.00","18,100.00","18,050.00","18,050.00",8.26K,-0.64%
41,41,41,"Oct 31, 2023","18,130.00","18,150.00","18,055.00","18,055.00",10.22K,-1.94%
42,42,42,"Oct 30, 2023","18,489.00","18,500.00","18,430.00","18,445.00",7.77K,0.63%
43,43,43,"Oct 27, 2023","18,374.00","18,300.00","18,225.00","18,225.00",7.45K,1.63%
44,44,44,"Oct 26, 2023","18,079.00","18,125.00","18,120.00","18,125.00",5.92K,-1.30%
